generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,,
INSULIN LISPRO-AABC,"The drug label for LYUMJEV (insulin lispro-aabc) does not explicitly mention hematological toxicity risks or hematological reactions. However, it does discuss several related risks and reactions that could indirectly affect hematological parameters. Here is a summary of the relevant sections:

1. **Hypoglycemia (Section 5.3)**:
   - **Summary**: Hypoglycemia is the most common adverse reaction associated with LYUMJEV. Severe hypoglycemia can cause seizures, unconsciousness, and may be life-threatening.
   - **Association**: The drug itself is associated with causing hypoglycemia.

2. **Hypokalemia (Section 5.5)**:
   - **Summary**: All insulins, including LYUMJEV, cause a shift in potassium from the extracellular to intracellular space, possibly leading to hypokalemia. Untreated hypokalemia may cause respiratory paralysis, ventricular arrhythmia, and death.
   - **Association**: The drug itself is associated with causing hypokalemia.

3. **Hypersensitivity Reactions (Section 5.6)**:
   - **Summary**: Severe, life-threatening, generalized allergy, including anaphylaxis, can occur with insulins, including LYUMJEV.
   - **Association**: The drug itself is associated with causing hypersensitivity reactions.

4. **Adverse Reactions (Section 6.1)**:
   - **Summary**: Adverse reactions observed with LYUMJEV include hypoglycemia, injection/infusion site reactions, allergic reactions, rash, pruritus, lipodystrophy, and weight gain.
   - **Association**: The drug itself is associated with causing these adverse reactions.

5. **Clinical Trials Experience (Section 6.1)**:
   - **Summary**: In clinical trials, common adverse reactions included nasopharyngitis, upper respiratory tract infection, infusion site reaction, and infusion site pain.
   - **Association**: The drug itself is associated with causing these adverse reactions.

6. **Postmarketing Experience (Section 6.2)**:
   - **Summary**: Localized cutaneous amyloidosis at the injection site has occurred with insulin use. Hyperglycemia has been reported with repeated insulin injections into areas of localized cutaneous amyloidosis; hypoglycemia has been reported with a sudden change to an unaffected injection site.
   - **Association**: The drug itself is associated with causing localized cutaneous amyloidosis and related hyperglycemia and hypoglycemia.

In summary, while the drug label for LYUMJEV does not explicitly mention hematological toxicity risks or reactions, it does discuss several related risks such as hypoglycemia, hypokalemia, and hypersensitivity reactions, which are directly associated with the drug.",Less,No,3,1,,No risk would have been better answer. Overall model is hestant to call it no risk when the reasoning is long,
IVOSIDENIB,"### Summary of Hematological Toxicity Risks and Reactions for TIBSOVO

1. **Indications and Usage:**
   - TIBSOVO is indicated for patients with a susceptible IDH1 mutation in various hematological conditions, including newly diagnosed AML, relapsed or refractory AML, and relapsed or refractory MDS. 
   - **Association:** The drug is used to treat hematological conditions, implying its direct involvement in managing these diseases.

2. **Dosage and Administration:**
   - For patients with AML or MDS, continue TIBSOVO for a minimum of 6 months to allow time for clinical response.
   - **Association:** The drug is administered for an extended period to manage hematological conditions.

3. **Warnings and Precautions:**
   - **Differentiation Syndrome in AML and MDS:** Patients treated with TIBSOVO have experienced differentiation syndrome, which includes symptoms like noninfectious leukocytosis.
   - **Association:** The drug itself is associated with causing differentiation syndrome, a hematological reaction.

4. **Adverse Reactions:**
   - **AML Patients:** The most common adverse reactions include decreased leukocytes, hemoglobin, and platelets, and increased glucose.
   - **Association:** The drug itself is associated with these hematological reactions.
   - **MDS Patients:** Common adverse reactions include increased creatinine, decreased hemoglobin, and decreased albumin.
   - **Association:** The drug itself is associated with these hematological reactions.
   - **Cholangiocarcinoma Patients:** Common adverse reactions include decreased hemoglobin.
   - **Association:** The drug itself is associated with this hematological reaction.

5. **Clinical Trials Experience:**
   - **Newly Diagnosed AML (Combination with Azacitidine):** Common adverse reactions include decreased leukocytes, hemoglobin, and platelets.
   - **Association:** The drug itself is associated with these hematological reactions.
   - **Newly Diagnosed AML (Monotherapy):** Common adverse reactions include decreased hemoglobin and leukocytosis.
   - **Association:** The drug itself is associated with these hematological reactions.
   - **Relapsed or Refractory AML:** Common adverse reactions include decreased hemoglobin and leukocytosis.
   - **Association:** The drug itself is associated with these hematological reactions.
   - **Relapsed or Refractory MDS:** Common adverse reactions include decreased hemoglobin and leukocytosis.
   - **Association:** The drug itself is associated with these hematological reactions.

6. **Use in Specific Populations:**
   - **Geriatric Use:** No overall differences in effectiveness or safety were observed between older and younger patients.
   - **Association:** The drug itself is associated with hematological conditions in older patients.

7. **Clinical Studies:**
   - **Newly Diagnosed AML (Combination with Azacitidine):** Efficacy was established based on event-free survival, overall survival, and rate and duration of complete remission.
   - **Association:** The drug itself is associated with managing hematological conditions.
   - **Monotherapy in Newly Diagnosed AML:** Efficacy was based on the rate of complete remission and the rate of conversion from transfusion dependence to independence.
   - **Association:** The drug itself is associated with managing hematological conditions.
   - **Relapsed or Refractory AML:** Efficacy was based on the rate of complete remission and the rate of conversion from transfusion dependence to independence.
   - **Association:** The drug itself is associated with managing hematological conditions.
   - **Relapsed or Refractory MDS:** Efficacy was based on the rate of complete remission and the rate of conversion from transfusion dependence to independence.
   - **Association:** The drug itself is associated with managing hematological conditions.

### Conclusion
TIBSOVO is directly associated with various hematological toxicity risks and reactions, including differentiation syndrome, decreased leukocytes, hemoglobin, and platelets, and increased glucose. These associations are observed across different patient populations and clinical settings, indicating the drug's significant impact on hematological parameters.",Most,Yes,1,1,,,
LAMOTRIGINE CHEWABLE DISPERSIBLE,"### Summary of Hematological Toxicity Risks and Reactions for Lamotrigine

1. **Warnings and Precautions - Blood Dyscrasias (Section 5.3)**
   - **Summary**: There have been reports of blood dyscrasias that may or may not be associated with multiorgan hypersensitivity (also known as DRESS). These have included neutropenia, leukopenia, anemia, thrombocytopenia, pancytopenia, and, rarely, aplastic anemia and pure red cell aplasia.
   - **Association**: The drug itself has been associated with these hematological risks.

2. **Warnings and Precautions - Multiorgan Hypersensitivity Reactions and Organ Failure (Section 5.2)**
   - **Summary**: Multiorgan hypersensitivity reactions, also known as drug reaction with eosinophilia and systemic symptoms (DRESS), have occurred with lamotrigine. Some have been fatal or life-threatening. These reactions may include hematologic abnormalities.
   - **Association**: The drug itself has been associated with these hematological risks as part of multiorgan hypersensitivity reactions.

3. **Adverse Reactions - Clinical Trial Experience (Section 6.1)**
   - **Summary**: In clinical trials, there have been reports of blood dyscrasias, including neutropenia, leukopenia, anemia, thrombocytopenia, pancytopenia, and, rarely, aplastic anemia and pure red cell aplasia.
   - **Association**: The drug itself has been associated with these hematological reactions.

4. **Adverse Reactions - Postmarketing Experience (Section 6.3)**
   - **Summary**: The following adverse reactions have been identified during postapproval use of lamotrigine: agranulocytosis, hemolytic anemia, and lymphadenopathy not associated with hypersensitivity disorder.
   - **Association**: The drug itself has been associated with these hematological reactions.

5. **Use in Specific Populations - Pregnancy (Section 8.1)**
   - **Summary**: Lamotrigine decreases fetal folate concentrations in rats, an effect known to be associated with adverse pregnancy outcomes in animals and humans.
   - **Association**: The drug itself has been associated with decreased fetal folate concentrations, which can lead to hematological risks.

6. **Nonclinical Toxicology - Carcinogenesis, Mutagenesis, Impairment of Fertility (Section 13.1)**
   - **Summary**: No evidence of impaired fertility was detected in rats given oral doses of lamotrigine up to 20 mg/kg/day. The highest dose tested is less than the human dose of 400 mg/day on a mg/m2 basis.
   - **Association**: The drug itself was not associated with impaired fertility, which can be indirectly related to hematological health.

### Conclusion
Lamotrigine has been associated with various hematological risks and reactions, including blood dyscrasias, multiorgan hypersensitivity reactions involving hematologic abnormalities, and specific postmarketing adverse reactions like agranulocytosis and hemolytic anemia. These associations highlight the importance of monitoring hematological parameters in patients receiving lamotrigine.",Most,Yes,1,1,,,
LEFLUNOMIDE,"### Summary of Hematological Toxicity Risks and Hematological Reactions for ARAVA (leflunomide)

#### Warnings and Precautions
1. **Immunosuppression, Bone Marrow Suppression, and Risk of Serious Infections (Section 5.4)**
   - **ARAVA is not recommended for patients with severe immunodeficiency, bone marrow dysplasia, or severe, uncontrolled infections.** This indicates a precaution due to the drug's potential effects.
   - **If a serious infection occurs, consider interrupting ARAVA therapy and initiating the accelerated drug elimination procedure.** This suggests that ARAVA can contribute to serious infections.
   - **Medications like ARAVA that have immunosuppression potential may cause patients to be more susceptible to infections, including opportunistic infections.** This indicates that ARAVA itself has immunosuppressive properties.
   - **Severe infections including sepsis, which may be fatal, have been reported in patients receiving ARAVA.** This directly associates ARAVA with severe infections.
   - **Pancytopenia, agranulocytosis, and thrombocytopenia have been reported in patients receiving ARAVA alone.** This directly associates ARAVA with these hematological conditions.
   - **These events have been reported most frequently in patients who received concomitant treatment with methotrexate or other immunosuppressive agents.** This suggests that the risk is higher when ARAVA is used with other immunosuppressive drugs.
   - **Patients taking ARAVA should have platelet, white blood cell count, and hemoglobin or hematocrit monitored at baseline and monthly for six months following initiation of therapy and every 6 to 8 weeks thereafter.** This indicates a monitoring requirement due to ARAVA's potential hematological effects.
   - **If evidence of bone marrow suppression occurs in a patient taking ARAVA, stop treatment with ARAVA and perform an accelerated drug elimination procedure.** This directly associates ARAVA with bone marrow suppression.

#### Adverse Reactions
2. **Clinical Trials Experience (Section 6.1)**
   - **Pancytopenia, agranulocytosis, and thrombocytopenia have been reported in patients receiving ARAVA alone.** This directly associates ARAVA with these hematological conditions.
   - **These events have been reported most frequently in patients who received concomitant treatment with methotrexate or other immunosuppressive agents.** This suggests that the risk is higher when ARAVA is used with other immunosuppressive drugs.

3. **Postmarketing Experience (Section 6.2)**
   - **The following additional adverse reactions have been identified during postapproval use of ARAVA: agranulocytosis, leukopenia, neutropenia, pancytopenia.** This directly associates ARAVA with these hematological conditions.

#### Use in Specific Populations
4. **Pediatric Use (Section 8.4)**
   - **The safety of ARAVA was studied in 74 patients with polyarticular course JIA.** This indicates that the drug was studied in a pediatric population.
   - **The most common adverse events included anemia.** This directly associates ARAVA with anemia in pediatric patients.

#### Patient Counseling Information
5. **Investigations (Section 17)**
   - **Advise patients that they may develop a lowering of their blood counts and should have frequent hematologic monitoring.** This indicates a precaution due to ARAVA's potential hematological effects.
   - **Instruct patients to promptly report if they notice symptoms consistent with pancytopenia, such as easy bruising or bleeding, recurrent infections, fever, paleness, or unusual tiredness.** This directly associates ARAVA with pancytopenia and its symptoms.

### Conclusion
ARAVA (leflunomide) is associated with several hematological risks, including pancytopenia, agranulocytosis, thrombocytopenia, leukopenia, neutropenia, and anemia. These conditions have been reported both in clinical trials and postmarketing experiences. The drug's immunosuppressive properties contribute to these risks, and the likelihood of these adverse effects increases when ARAVA is used in combination with other immunosuppressive agents. Frequent hematologic monitoring is recommended for patients taking ARAVA.",Most,Yes,1,1,,,
LEVETIRACETAM IN SODIUM CHLORIDE,"### Summary of Hematological Toxicity Risks and Reactions for Levetiracetam in Sodium Chloride Injection

#### Section 5.8: Hematologic Abnormalities
1. **Levetiracetam can cause hematologic abnormalities.**
   - The drug itself is associated with causing hematologic abnormalities.
2. **Hematologic abnormalities occurred in clinical trials and included decreases in white blood cell (WBC), neutrophil, and red blood cells (RBC) counts; decreases in hemoglobin and hematocrit; and increases in eosinophil counts.**
   - The drug itself was associated with these specific hematologic abnormalities in clinical trials.
3. **Cases of agranulocytosis, pancytopenia, and thrombocytopenia have been reported in the postmarketing setting.**
   - The drug itself was associated with these conditions in postmarketing reports.
4. **A complete blood count is recommended in patients experiencing significant weakness, pyrexia, recurrent infections, or coagulation disorders.**
   - This recommendation is due to the potential hematologic risks associated with the drug.

#### Section 6.1: Clinical Trials Experience
1. **Partial-Onset Seizures: In controlled clinical studies using an oral formulation of levetiracetam in adult patients with partial-onset seizures, minor but statistically significant decreases compared to placebo in total mean RBC (0.03 × 10^6/mm^3), mean hemoglobin (0.09 g/dL), and mean hematocrit (0.38%) were seen in levetiracetam-treated patients.**
   - The drug itself was associated with these minor but statistically significant decreases in hematologic parameters.
2. **A total of 3.2% of levetiracetam-treated and 1.8% of placebo-treated patients had at least one possibly significant (≤2.8 × 10^9/L) decreased WBC, and 2.4% of levetiracetam-treated and 1.4% of placebo-treated patients had at least one possibly significant (≤1.0 × 10^9/L) decreased neutrophil count.**
   - The drug itself was associated with these decreases in WBC and neutrophil counts.
3. **Of the levetiracetam-treated patients with a low neutrophil count, all but one rose towards or to baseline with continued treatment.**
   - The drug itself was associated with low neutrophil counts, but most patients' counts improved with continued treatment.
4. **No patient was discontinued secondary to low neutrophil counts.**
   - The drug itself did not lead to discontinuation due to low neutrophil counts.

#### Section 6.2: Postmarketing Experience
1. **In addition to the adverse reactions listed above, the following adverse reactions have been reported in patients receiving marketed levetiracetam worldwide: abnormal liver function test, acute kidney injury, agranulocytosis, anaphylaxis, angioedema, choreoathetosis, drug reaction with eosinophilia and systemic symptoms (DRESS), dyskinesia, erythema multiforme, hepatic failure, hepatitis, hyponatremia, muscular weakness, obsessive-compulsive disorders (OCD), pancreatitis, pancytopenia (with bone marrow suppression identified in some of these cases), panic attack, thrombocytopenia, weight loss and worsening of seizures including in patients with SCN8A mutations.**
   - The drug itself was associated with these hematologic reactions in postmarketing reports.

### Conclusion
Levetiracetam in Sodium Chloride Injection is associated with various hematologic abnormalities and reactions, including decreases in WBC, neutrophil, and RBC counts, as well as conditions like agranulocytosis, pancytopenia, and thrombocytopenia. These effects have been observed both in clinical trials and postmarketing reports. Regular monitoring of blood counts is recommended for patients on this medication.",Most,Yes,1,1,,,
METHAZOLAMIDE,"### Summary of Hematological Toxicity Risks and Reactions for Methazolamide

1. **Warnings Section:**
   - **Fatalities and Severe Reactions:** Fatalities have occurred, although rarely, due to severe reactions to sulfonamides, including agranulocytosis, aplastic anemia, and other blood dyscrasias. 
     - **Summary:** The drug itself (methazolamide, a sulfonamide derivative) has been associated with severe hematological reactions, including agranulocytosis and aplastic anemia, which have led to fatalities.

2. **Precautions Section:**
   - **General Information:** Adverse reactions common to all sulfonamide derivatives may occur, including bone marrow depression, thrombocytopenic purpura, hemolytic anemia, leukopenia, pancytopenia, and agranulocytosis.
     - **Summary:** The drug itself (methazolamide) may cause various hematological reactions such as bone marrow depression, thrombocytopenic purpura, hemolytic anemia, leukopenia, pancytopenia, and agranulocytosis.
   - **Laboratory Tests:** To monitor for hematologic reactions common to all sulfonamides, it is recommended that a baseline CBC and platelet count be obtained on patients prior to initiating methazolamide therapy and at regular intervals during therapy.
     - **Summary:** The drug itself (methazolamide) necessitates monitoring for hematological reactions, indicating a risk of such reactions.

3. **Adverse Reactions Section:**
   - **Common Adverse Reactions:** Adverse reactions include bone marrow depression, thrombocytopenic purpura, hemolytic anemia, leukopenia, pancytopenia, and agranulocytosis.
     - **Summary:** The drug itself (methazolamide) is associated with adverse hematological reactions such as bone marrow depression, thrombocytopenic purpura, hemolytic anemia, leukopenia, pancytopenia, and agranulocytosis.
   - **Severe Reactions:** Fatalities have occurred, although rarely, due to severe reactions to sulfonamides, including agranulocytosis, aplastic anemia, and other blood dyscrasias.
     - **Summary:** The drug itself (methazolamide) has been associated with severe and potentially fatal hematological reactions, including agranulocytosis and aplastic anemia.

### Conclusion
Methazolamide, a sulfonamide derivative, is associated with several hematological toxicity risks and reactions, including severe and potentially fatal conditions such as agranulocytosis, aplastic anemia, and other blood dyscrasias. Regular monitoring of hematologic parameters is recommended due to these risks.",Most,Yes,1,1,,,
METYROSINE,"The drug label for DEMSER (metyrosine) mentions hematological toxicity risks and reactions in the following sections:

1. **Precautions: General**
   - ""Hematologic disorders (including eosinophilia, anemia, thrombocytopenia, and thrombocytosis), increased SGOT levels, peripheral edema, and hypersensitivity reactions such as urticaria and pharyngeal edema have been reported rarely.""
     - **Summary**: The drug itself has been associated with rare occurrences of hematologic disorders, including eosinophilia, anemia, thrombocytopenia, and thrombocytosis.

2. **Adverse Reactions: Miscellaneous**
   - ""Hematologic disorders (including eosinophilia, anemia, thrombocytopenia, and thrombocytosis), increased SGOT levels, peripheral edema, and hypersensitivity reactions such as urticaria and pharyngeal edema have been reported rarely.""
     - **Summary**: The drug itself has been associated with rare occurrences of hematologic disorders, including eosinophilia, anemia, thrombocytopenia, and thrombocytosis.

In both sections, the drug label indicates that DEMSER (metyrosine) has been associated with rare occurrences of hematologic disorders, including eosinophilia, anemia, thrombocytopenia, and thrombocytosis.",Less,Yes,2,1,,most would have been a more appropriate response,
MIRTAZAPINE,"### Summary of Hematological Toxicity Risks and Hematological Reactions for REMERON/REMERONSolTab

1. **Agranulocytosis**:
   - **Sentence**: ""In premarketing clinical trials, 2 (1 with Sjögren's Syndrome) out of 2796 patients treated with REMERON developed agranulocytosis [absolute neutrophil count (ANC) <500/mm3 with associated signs and symptoms, e.g., fever, infection, etc.] and a third patient developed severe neutropenia (ANC <500/mm3 without any associated symptoms).""
   - **Summary**: REMERON was associated with agranulocytosis in 2 patients and severe neutropenia in a third patient during premarketing clinical trials.
   
   - **Sentence**: ""For these 3 patients, onset of severe neutropenia was detected on days 61, 9, and 14 of treatment, respectively.""
   - **Summary**: REMERON caused severe neutropenia in 3 patients at different times during treatment.

   - **Sentence**: ""All 3 patients recovered after REMERON was stopped.""
   - **Summary**: The hematological reactions (agranulocytosis and severe neutropenia) resolved after discontinuing REMERON.

   - **Sentence**: ""If a patient develops a sore throat, fever, stomatitis, or other signs of infection, along with a low white blood cell (WBC) count, treatment with REMERON/REMERONSolTab should be discontinued and the patient should be closely monitored.""
   - **Summary**: REMERON/REMERONSolTab should be discontinued if signs of infection and low WBC count occur, indicating a potential hematological risk associated with the drug.

2. **Low White Blood Cell Count**:
   - **Sentence**: ""Low white blood cell count. Tell your healthcare provider right away if you develop any signs or symptoms of a low white blood cell count, including: fever, sore throat, flu-like symptoms, chills, mouth or nose sores, infections.""
   - **Summary**: REMERON/REMERONSolTab is associated with the risk of a low white blood cell count, and patients should be alert for symptoms.

3. **Hemic and Lymphatic System Reactions**:
   - **Sentence**: ""Hemic and Lymphatic System: rare: lymphadenopathy, leukopenia, petechia, anemia, thrombocytopenia, lymphocytosis, pancytopenia.""
   - **Summary**: REMERON/REMERONSolTab has been associated with rare hematological reactions, including lymphadenopathy, leukopenia, petechia, anemia, thrombocytopenia, lymphocytosis, and pancytopenia.

4. **Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)**:
   - **Sentence**: ""Drug reaction with eosinophilia and systemic symptoms (DRESS) has been reported with postmarketing use of mirtazapine.""
   - **Summary**: REMERON/REMERONSolTab has been associated with DRESS, a severe systemic reaction involving eosinophilia.

   - **Sentence**: ""DRESS may present with a cutaneous reaction (such as rash or exfoliative dermatitis), eosinophilia, fever, and/or lymphadenopathy with systemic complications such as hepatitis, nephritis, pneumonitis, myocarditis, and/or pericarditis.""
   - **Summary**: REMERON/REMERONSolTab can cause DRESS, which includes eosinophilia and lymphadenopathy among other systemic complications.

   - **Sentence**: ""DRESS is sometimes fatal. Discontinue REMERON/REMERONSolTab immediately if DRESS is suspected and institute appropriate treatment.""
   - **Summary**: REMERON/REMERONSolTab can cause potentially fatal DRESS, necessitating immediate discontinuation if suspected.

### Conclusion
REMERON/REMERONSolTab is associated with several hematological risks, including agranulocytosis, low white blood cell count, and rare reactions such as leukopenia, anemia, and thrombocytopenia. Additionally, it can cause DRESS, a severe systemic reaction involving eosinophilia and lymphadenopathy. These risks necessitate close monitoring and potential discontinuation of the drug if symptoms arise.",Most,Yes,1,1,,,
MITOTANE,"### Summary of Hematological Toxicity Risks and Reactions for LYSODREN (mitotane)

1. **Warnings and Precautions (Section 5.5)**
   - **Hematologic Toxicity**: LYSODREN can cause leukopenia, anemia, and thrombocytopenia. This indicates that the drug itself is associated with these hematological risks.
   - **Monitoring**: Complete blood counts, including neutrophil count, should be monitored prior to starting treatment with LYSODREN, during dose titration, and periodically during treatment as clinically indicated. This monitoring is necessary because the drug itself can cause hematological toxicity.
   - **Dosage Adjustments**: Withhold, reduce the dose, or permanently discontinue LYSODREN based on the severity of cytopenia. This recommendation is due to the drug's association with hematological risks.

2. **Adverse Reactions (Section 6.1)**
   - **Blood and Lymphatic System Disorders**: Reported adverse reactions include leukopenia, anemia, thrombocytopenia, prolonged bleeding time, hematuria, and hemorrhagic cystitis. These reactions are directly associated with the drug itself.

3. **Dosage Modifications for Adverse Reactions (Section 2.4)**
   - **Hematologic Toxicity**: 
     - **Grade 2**: Withhold LYSODREN until recovery to Grade ≤1 or baseline, then resume at the same dose. This indicates that the drug itself can cause hematological toxicity.
     - **Grade 3 or 4**: Withhold LYSODREN until recovery to Grade ≤1 or baseline, then resume at a reduced dose or permanently discontinue based on severity. This further confirms the drug's association with severe hematological risks.

4. **Patient Counseling Information (Section 17)**
   - **Hematologic Toxicity**: Advise patients to immediately contact their healthcare provider for fever, other signs of infection, unusual bruising, bleeding, tiredness, or pallor. This advice is given because the drug itself can cause hematological toxicity.

5. **Medication Guide**
   - **Low Blood Cell Counts**: LYSODREN can cause decreased blood cell counts, including decreases in white blood cells, platelets, and red blood cells. This may increase the risk of infection, bleeding, and anemia. This statement confirms that the drug itself is associated with these hematological risks.

### Conclusion
LYSODREN (mitotane) is associated with several hematological risks, including leukopenia, anemia, thrombocytopenia, and prolonged bleeding time. These risks necessitate regular monitoring of blood counts and may require dosage adjustments or discontinuation of the drug based on the severity of the hematological toxicity.",Most,Yes,1,1,,,
MORPHINE SULFATE,"The drug label for Morphine Sulfate Oral Solution mentions hematological toxicity risks and reactions in the following sections:

1. **Adverse Reactions (Section 6)**:
   - **Hemic and Lymphatic System**: The label lists anemia and thrombocytopenia as adverse reactions. 
     - **Summary**: Anemia and thrombocytopenia are associated with the use of morphine.

2. **Nonclinical Toxicology (Section 13.1)**:
   - **Mutagenesis**: The label mentions that morphine was found to be mutagenic in vitro, increasing DNA fragmentation in human T-cells, and was reported to be mutagenic in the in vivo mouse micronucleus assay and positive for the induction of chromosomal aberrations in mouse spermatids and murine lymphocytes.
     - **Summary**: Morphine was associated with mutagenic effects, including DNA fragmentation and chromosomal aberrations, in both in vitro and in vivo studies.

These sections indicate that morphine itself is associated with hematological risks, including anemia, thrombocytopenia, and mutagenic effects.",Most,Yes,1,1,,,
MYCOPHENOLATE MOFETIL,"### Summary of Hematological Toxicity Risks and Reactions for CellCept (Mycophenolate Mofetil)

1. **Neutropenia**:
   - **Risk**: Severe neutropenia (absolute neutrophil count (ANC) <0.5 × 10³/µL) developed in up to 2.0% of renal, up to 2.8% of cardiac, and up to 3.6% of hepatic transplant patients receiving CellCept 3 g daily.
   - **Association**: The development of neutropenia may be related to CellCept itself, concomitant medications, viral infections, or a combination of these causes.
   - **Management**: If neutropenia develops (ANC <1.3 × 10³/µL), dosing with CellCept should be interrupted or the dose reduced, appropriate diagnostic tests performed, and the patient managed appropriately.

2. **Pure Red Cell Aplasia (PRCA)**:
   - **Risk**: Cases of pure red cell aplasia (PRCA) have been reported in patients treated with CellCept in combination with other immunosuppressive agents.
   - **Association**: The mechanism for mycophenolate mofetil-induced PRCA is unknown; the relative contribution of other immunosuppressants and their combinations in an immunosuppression regimen are also unknown.
   - **Management**: In some cases, PRCA was found to be reversible with dose reduction or cessation of CellCept therapy. However, reduced immunosuppression may place the graft at risk.

3. **General Hematological Reactions**:
   - **Risk**: The principal adverse reactions associated with the administration of CellCept include leukopenia and sepsis.
   - **Association**: These reactions are part of the known safety profile of the drug.

4. **Hematologic and Lymphatic Adverse Events**:
   - **Incidence**: Adverse events reported in ≥20% of patients in the CellCept treatment groups include anemia and leukopenia.
   - **Specific Events**: Other hematologic and lymphatic adverse events reported in 3% to <20% of patients include coagulation disorder, ecchymosis, pancytopenia, petechia, polycythemia, prothrombin time increased, and thromboplastin time increased.

5. **Pediatric Patients**:
   - **Incidence**: In a clinical study in 100 pediatric patients, the type and frequency of adverse events were generally similar to those observed in adult patients, with a higher proportion of leukopenia and anemia in pediatric patients.

6. **Postmarketing Experience**:
   - **Risk**: Cases of pure red cell aplasia (PRCA) have been reported in patients treated with CellCept in combination with other immunosuppressive agents.
   - **Association**: The mechanism for mycophenolate mofetil-induced PRCA is unknown.

### Conclusion
CellCept is associated with several hematological toxicity risks, including neutropenia, pure red cell aplasia (PRCA), leukopenia, and anemia. These risks are either directly related to the drug itself or may be influenced by concomitant medications and other factors. Proper monitoring and management strategies are recommended to mitigate these risks.",Most,Yes,1,1,,,
NITISINONE,"### Summary of Hematological Toxicity Risks and Reactions for NITYR (Nitisinone)

1. **Warnings and Precautions (Section 5.2)**
   - **Leukopenia and Severe Thrombocytopenia:**
     - **Sentence:** ""In clinical trials, patients treated with another oral formulation of nitisinone and dietary restriction developed reversible leukopenia (3%), thrombocytopenia (3%), or both (1.5%).""
     - **Summary:** The drug nitisinone was associated with reversible leukopenia and thrombocytopenia in clinical trials.
     - **Sentence:** ""No patients developed infections or bleeding as a result of the episodes of leukopenia and thrombocytopenia.""
     - **Summary:** The drug nitisinone did not cause infections or bleeding despite the episodes of leukopenia and thrombocytopenia.
     - **Sentence:** ""Monitor platelet and white blood cell counts during NITYR therapy.""
     - **Summary:** Monitoring is recommended during therapy with the drug nitisinone due to the risk of leukopenia and thrombocytopenia.

2. **Adverse Reactions (Section 6)**
   - **Serious and/or Clinically Significant Adverse Reactions:**
     - **Sentence:** ""Serious and or clinically significant adverse reactions described elsewhere in labeling include: Leukopenia and Severe Thrombocytopenia.""
     - **Summary:** The drug nitisinone is associated with serious adverse reactions, including leukopenia and severe thrombocytopenia.
   - **Clinical Trials Experience (Section 6.1):**
     - **Sentence:** ""The most serious adverse reactions reported during nitisinone treatment were thrombocytopenia, leukopenia, porphyria, and ocular/visual complaints associated with elevated tyrosine levels.""
     - **Summary:** The drug nitisinone was associated with serious adverse reactions, including thrombocytopenia and leukopenia.
     - **Sentence:** ""Six patients had thrombocytopenia, three of which had platelet counts 30,000/microL or lower.""
     - **Summary:** The drug nitisinone was associated with thrombocytopenia, with some patients experiencing very low platelet counts.
     - **Sentence:** ""In 4 patients with thrombocytopenia, platelet counts gradually returned to normal (duration up to 47 days) without change in the nitisinone dose.""
     - **Summary:** Thrombocytopenia associated with the drug nitisinone resolved without changing the dosage.
     - **Sentence:** ""No patients developed infections or bleeding as a result of the episodes of leukopenia and thrombocytopenia.""
     - **Summary:** The drug nitisinone did not cause infections or bleeding despite the episodes of leukopenia and thrombocytopenia.
   - **Table 1 - Most Common Adverse Reactions:**
     - **Sentence:** ""Leukopenia: 3%""
     - **Summary:** The drug nitisinone was associated with leukopenia in 3% of patients.
     - **Sentence:** ""Thrombocytopenia: 3%""
     - **Summary:** The drug nitisinone was associated with thrombocytopenia in 3% of patients.
     - **Sentence:** ""Granulocytopenia: 1%""
     - **Summary:** The drug nitisinone was associated with granulocytopenia in 1% of patients.

### Conclusion
NITYR (nitisinone) is associated with hematological toxicity risks, specifically leukopenia, thrombocytopenia, and granulocytopenia. These adverse reactions were observed in clinical trials, and while they were reversible and did not lead to infections or bleeding, monitoring of platelet and white blood cell counts is recommended during therapy.",Most,Yes,1,1,,,
