generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,
OXYCODONE HYDCHLORIDE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for oxycodone hydrochloride:
 

 1. **Respiratory Depression**: ""Respiratory depression is the chief hazard from all opioid agonist preparations."" 
  - **Summary**: The drug itself is associated with respiratory depression.
 

 2. **Respiratory Depression in Specific Populations**: ""Respiratory depression occurs most frequently in elderly or debilitated patients, usually following large initial doses in non-tolerant patients, or when opioids are given in conjunction with other agents that depress respiration.""
  - **Summary**: The drug itself is associated with respiratory depression, especially in elderly or debilitated patients and when combined with other respiratory depressants.
 

 3. **Caution in Patients with Respiratory Conditions**: ""Oxycodone hydrochloride tablets should be used with extreme caution in patients with significant chronic obstructive pulmonary disease or cor pulmonale, and in patients having substantially decreased respiratory reserve, hypoxia, hypercapnia, or pre-existing respiratory depression.""
  - **Summary**: The drug itself is associated with increased risk of respiratory depression in patients with pre-existing respiratory conditions.
 

 4. **Risk of Apnea**: ""In such patients, even usual therapeutic doses of oxycodone hydrochloride tablets may decrease respiratory drive to the point of apnea.""
  - **Summary**: The drug itself is associated with the risk of apnea in patients with pre-existing respiratory conditions.
 

 5. **Respiratory Depression in Head Injury**: ""The respiratory depressant effects of narcotics and their capacity to elevate cerebrospinal fluid pressure may be markedly exaggerated in the presence of head injury, other intracranial lesions or a pre-existing increase in intracranial pressure.""
  - **Summary**: The drug itself is associated with exaggerated respiratory depression in patients with head injuries or increased intracranial pressure.
 

 6. **Respiratory Depression in Overdose**: ""Acute overdose with oxycodone hydrochloride tablets can be manifested by respiratory depression, somnolence progressing to stupor or coma, skeletal muscle flaccidity, cold and clammy skin, constricted pupils, bradycardia, hypotension, and death.""
  - **Summary**: The drug itself is associated with respiratory depression in cases of overdose.
 

 7. **Respiratory Depression in Neonates**: ""Neonates whose mothers have taken oxycodone chronically may exhibit respiratory depression and/or withdrawal symptoms, either at birth and/or in the nursery.""
  - **Summary**: The drug itself is associated with respiratory depression in neonates born to mothers who have taken the drug chronically.
 

 8. **Respiratory Depression in Labor**: ""Neonates, whose mothers received opioid analgesics during labor, should be observed closely for signs of respiratory depression.""
  - **Summary**: The drug itself is associated with respiratory depression in neonates if the mother received the drug during labor.
 

 9. **Respiratory Depression in Nursing Infants**: ""Withdrawal symptoms can occur in breast-feeding infants when maternal administration of an opioid analgesic is stopped.""
  - **Summary**: The drug itself is associated with respiratory depression in nursing infants if the mother stops taking the drug abruptly.
 

 10. **Respiratory Depression in Adverse Reactions**: ""Serious adverse reactions that may be associated with oxycodone hydrochloride tablets therapy in clinical use are those observed with other opioid analgesics and include: respiratory depression, respiratory arrest, circulatory depression, cardiac arrest, hypotension, and/or shock.""
  - **Summary**: The drug itself is associated with respiratory depression as a serious adverse reaction.
 

 11. **Respiratory Depression in Drug Abuse and Dependence**: ""Infants born to mothers physically dependent on opioids will also be physically dependent and may exhibit respiratory difficulties and withdrawal symptoms.""
  - **Summary**: The drug itself is associated with respiratory difficulties in infants born to mothers who are physically dependent on the drug.
 

 In summary, oxycodone hydrochloride is associated with various pulmonary risks and reactions, including respiratory depression, apnea, and respiratory difficulties, particularly in specific populations such as the elderly, those with pre-existing respiratory conditions, neonates, and nursing infants.",Most,Yes,1,1,
LARONIDASE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for ALDURAZYME (laronidase):
 

 1. **""Patients with compromised respiratory function or acute respiratory disease may be at risk of serious acute exacerbation of their respiratory compromise due to infusion reactions and require additional monitoring.""**
  - **Summary:** The drug itself is associated with the risk of exacerbating respiratory compromise due to infusion reactions.
 

 2. **""Patients with compromised respiratory function or acute respiratory disease may be at risk of serious acute exacerbation of their respiratory compromise due to infusion reactions and require additional monitoring.""**
  - **Summary:** The drug itself is associated with the risk of exacerbating respiratory compromise due to infusion reactions.
 

 3. **""Patients with acute febrile or respiratory illness at the time of ALDURAZYME infusion may be at greater risk for infusion reactions.""**
  - **Summary:** The drug itself is associated with an increased risk of infusion reactions in patients with acute febrile or respiratory illness.
 

 4. **""Sleep apnea is common in MPS I patients. Consider evaluating airway patency prior to initiation of treatment with ALDURAZYME. Appropriate respiratory support should be available during infusion.""**
  - **Summary:** The drug itself is associated with the need for evaluating airway patency and having respiratory support available during infusion due to the commonality of sleep apnea in MPS I patients.
 

 5. **""Patients susceptible to fluid overload may be at increased risk for serious exacerbation of their cardiac or respiratory status during infusions.""**
  - **Summary:** The drug itself is associated with an increased risk of exacerbating respiratory status in patients susceptible to fluid overload during infusions.
 

 6. **""Hypersensitivity reactions including anaphylaxis have been reported in patients during or up to 3 hours after ALDURAZYME infusions. Some of these reactions were life-threatening and included respiratory failure, respiratory distress, stridor, tachypnea, bronchospasm, obstructive airways disorder, hypoxia, hypotension, bradycardia, and urticaria.""**
  - **Summary:** The drug itself is associated with hypersensitivity reactions that can lead to severe pulmonary reactions such as respiratory failure, respiratory distress, stridor, tachypnea, bronchospasm, obstructive airways disorder, and hypoxia.
 

 7. **""One patient with acute bronchitis and hypoxia experienced increased tachypnea during the first ALDURAZYME infusion that resolved without intervention. The patient's respiratory symptoms returned within 30 minutes of completing the infusion and responded to bronchodilator therapy. Approximately 6 hours after the infusion, the patient experienced coughing, then respiratory arrest, and died.""**
  - **Summary:** The drug itself was associated with increased tachypnea, respiratory symptoms, and ultimately respiratory arrest in a patient with acute bronchitis and hypoxia.
 

 8. **""Patients with an acute febrile or respiratory illness at the time of ALDURAZYME infusion may be at greater risk for infusion reactions.""**
  - **Summary:** The drug itself is associated with an increased risk of infusion reactions in patients with acute febrile or respiratory illness.
 

 9. **""Consider evaluating airway patency prior to initiation of treatment with ALDURAZYME. Patients using supplemental oxygen or continuous positive airway pressure (CPAP) during sleep should have these treatments readily available during infusion in the event of an infusion reaction, or extreme drowsiness/sleep induced by antihistamine use.""**
  - **Summary:** The drug itself is associated with the need for evaluating airway patency and having respiratory support available during infusion due to the risk of infusion reactions.
 

 10. **""In postmarketing experience, reports of acute cardiorespiratory failure have been reported with ALDURAZYME treatment.""**
  - **Summary:** The drug itself is associated with reports of acute cardiorespiratory failure in postmarketing experience.
 

 11. **""Patients susceptible to fluid overload, or patients with acute underlying respiratory illness or compromised cardiac and/or respiratory function for whom fluid restriction is indicated may be at increased risk of serious exacerbation of their cardiac or respiratory status during infusions.""**
  - **Summary:** The drug itself is associated with an increased risk of exacerbating respiratory status in patients susceptible to fluid overload or with underlying respiratory illness during infusions.
 

 12. **""In the MPS I Registry and other postmarketing setting, laronidase-specific IgE and/or IgG antibodies appeared to be associated with anaphylaxis and suspected hypersensitivity reactions in ALDURAZYME-treated patients.""**
  - **Summary:** The drug itself is associated with anaphylaxis and hypersensitivity reactions, which can include pulmonary reactions, in patients with laronidase-specific antibodies.
 

 13. **""In postmarketing experience with ALDURAZYME, severe and serious infusion reactions have been reported, some of which were life-threatening, including anaphylactic shock and laryngeal edema.""**
  - **Summary:** The drug itself is associated with severe and serious infusion reactions, including life-threatening pulmonary reactions such as anaphylactic shock and laryngeal edema.
 

 14. **""Adverse reactions resulting in death reported in the postmarketing setting with ALDURAZYME treatment included cardiorespiratory arrest, respiratory failure, cardiac failure, and pneumonia.""**
  - **Summary:** The drug itself is associated with adverse reactions resulting in death, including cardiorespiratory arrest, respiratory failure, and pneumonia.
 

 15. **""There have been a small number of reports of extravasation in patients treated with ALDURAZYME. There have been no reports of tissue necrosis associated with extravasation.""**
  - **Summary:** The drug itself is associated with extravasation, but no tissue necrosis has been reported.",Most,Yes,1,1,
"SILDENAFIL POWDER,","Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for Sildenafil for Oral Suspension, along with a clear statement on whether the drug itself was associated with or caused the pulmonary risk:
 

 1. **Sentence:** ""Use in pulmonary veno-occlusive disease (PVOD) may cause pulmonary edema and is not recommended.""
  - **Summary:** Sildenafil use in patients with pulmonary veno-occlusive disease (PVOD) may cause pulmonary edema. The drug itself is associated with this pulmonary risk.
 

 2. **Sentence:** ""Pulmonary vasodilators may significantly worsen the cardiovascular status of patients with pulmonary veno-occlusive disease (PVOD).""
  - **Summary:** Pulmonary vasodilators, including Sildenafil, may worsen the cardiovascular status of patients with PVOD. The drug itself is associated with this pulmonary risk.
 

 3. **Sentence:** ""Should signs of pulmonary edema occur when sildenafil is administered, consider the possibility of associated PVOD.""
  - **Summary:** If pulmonary edema occurs during Sildenafil administration, PVOD should be considered as a possible cause. The drug itself is associated with this pulmonary risk.
 

 4. **Sentence:** ""Pulmonary hypertension (PH) secondary to sickle cell disease: Sildenafil for oral suspension may cause serious vaso-occlusive crises.""
  - **Summary:** Sildenafil may cause serious vaso-occlusive crises in patients with pulmonary hypertension secondary to sickle cell disease. The drug itself is associated with this pulmonary risk.
 

 5. **Sentence:** ""In a small, prematurely terminated study of patients with pulmonary hypertension (PH) secondary to sickle cell disease, vaso-occlusive crises requiring hospitalization were more commonly reported by patients who received sildenafil than by those randomized to placebo.""
  - **Summary:** In a study, patients with pulmonary hypertension secondary to sickle cell disease who received Sildenafil experienced more vaso-occlusive crises requiring hospitalization compared to those who received a placebo. The drug itself is associated with this pulmonary risk.
 

 6. **Sentence:** ""The effectiveness and safety of sildenafil in the treatment of PH secondary to sickle cell disease has not been established.""
  - **Summary:** The safety of Sildenafil in treating pulmonary hypertension secondary to sickle cell disease is not established, indicating potential risks. The drug itself is associated with this pulmonary risk.
 

 These sentences collectively indicate that Sildenafil for Oral Suspension is associated with specific pulmonary risks, particularly in patients with PVOD and pulmonary hypertension secondary to sickle cell disease.",Most,Yes,1,1,
IBALIZUMAB,"The drug label for TROGARZO (ibalizumab-uiyk) does not explicitly mention any pulmonary toxicity risks or pulmonary reactions. The label discusses various other risks and adverse reactions, such as hypersensitivity reactions, immune reconstitution inflammatory syndrome, and embryo-fetal toxicity, but it does not specifically address any pulmonary-related issues.
 

 Therefore, based on the provided drug label, there are no sentences that discuss pulmonary toxicity risks or pulmonary reactions associated with TROGARZO.",No,No,1,1,
BROMFENAC,"The provided drug label for BromSite (bromfenac ophthalmic solution) 0.075% does not contain any sentences that discuss pulmonary toxicity risks or pulmonary reactions. The label focuses on the ophthalmic use of the drug, its indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and other relevant information, but it does not mention any pulmonary-related risks or reactions. Therefore, there are no sentences to summarize regarding pulmonary toxicity or reactions associated with this drug.",No,No,1,1,
ALMOTRIPTAN,"The drug label for Almotriptan tablets does not explicitly mention pulmonary toxicity risks or pulmonary reactions. However, it does discuss cardiovascular and other systemic risks, which may indirectly affect pulmonary function. Here is a summary of the relevant sections:
 

 1. **Section 5.7 Increases in Blood Pressure**:
  - ""An 18% increase in mean pulmonary artery pressure was seen following dosing with another triptan in a study evaluating subjects undergoing cardiac catheterization.""
  - **Summary**: This sentence does not directly associate Almotriptan with increased pulmonary artery pressure but mentions that another triptan caused an increase in pulmonary artery pressure.
 

 2. **Section 10.1 Signs and Symptoms**:
  - ""Based on the pharmacology of triptans, hypertension or other more serious cardiovascular symptoms could occur after overdosage.""
  - **Summary**: This sentence suggests that hypertension, which could potentially affect pulmonary function, may occur with triptan overdosage. However, it does not specifically associate Almotriptan with pulmonary toxicity.
 

 3. **Section 5.1 Risk of Myocardial Ischemia and Infarction and Other Adverse Cardiac Events**:
  - ""Serious adverse cardiac events, including acute myocardial infarction, have been reported within a few hours following administration of almotriptan tablets.""
  - **Summary**: This sentence associates Almotriptan with serious cardiac events, which could indirectly impact pulmonary function, but does not specifically mention pulmonary toxicity.
 

 4. **Section 5.4 Other Vasospasm-Related Events, Including Peripheral Vascular Ischemia and Colonic Ischemia**:
  - ""Triptans, including almotriptan tablets, may cause vasospastic reactions other than coronary artery vasospasm, such as peripheral and gastrointestinal vascular ischemia with abdominal pain and bloody diarrhea.""
  - **Summary**: This sentence associates Almotriptan with vasospastic reactions, which could theoretically affect pulmonary vasculature, but does not specifically mention pulmonary toxicity.
 

 In summary, the drug label does not explicitly state that Almotriptan is associated with or causes pulmonary toxicity or specific pulmonary reactions. The closest mention is an increase in pulmonary artery pressure observed with another triptan, not Almotriptan.",No,No,1,1,
DEXAMETHASONE SODIUM PHOSPHATE,"The provided drug label for Dexamethasone Sodium Phosphate Injection, USP does not explicitly mention pulmonary toxicity risks or pulmonary reactions directly associated with the drug itself. The label primarily focuses on the drug's indications, usage, contraindications, warnings, precautions, adverse reactions, and dosage administration. 
 

 However, it does mention the use of the drug in treating certain respiratory diseases and conditions, which could imply its involvement in pulmonary contexts. Here are the relevant points:
 

 1. **Indications & Usage - Respiratory Diseases**:
  - The drug is indicated for the treatment of various respiratory diseases such as symptomatic sarcoidosis, berylliosis, fulminating or disseminated pulmonary tuberculosis (when used concurrently with appropriate anti-tuberculosis chemotherapy), Loeffler's syndrome not manageable by other means, and aspiration pneumonitis. 
  - **Summary**: The drug is used to treat certain pulmonary conditions, but the label does not state that the drug itself causes pulmonary toxicity.
 

 2. **Warnings - Serious Neurologic Adverse Reactions with Epidural Administration**:
  - The label warns about serious neurologic events, including stroke, which could indirectly affect pulmonary function due to compromised neurological control over respiratory muscles.
  - **Summary**: The drug, when administered epidurally, has been associated with serious neurologic events that could indirectly impact pulmonary function, but it does not directly cause pulmonary toxicity.
 

 3. **Precautions - Tuberculous Meningitis**:
  - The drug should be used with caution in patients with active tuberculosis, and close observation is necessary as reactivation of the disease may occur.
  - **Summary**: The drug may exacerbate pulmonary tuberculosis if not used cautiously, but it does not directly cause pulmonary toxicity.
 

 4. **Adverse Reactions - Respiratory**:
  - The label does not list specific pulmonary adverse reactions directly caused by the drug.
  - **Summary**: No direct pulmonary toxicity or reactions are listed as adverse effects of the drug.
 

 In conclusion, the drug label does not explicitly state that Dexamethasone Sodium Phosphate Injection, USP causes pulmonary toxicity or pulmonary reactions. Instead, it is used to treat certain pulmonary conditions and requires caution in patients with pulmonary tuberculosis.",No,No,1,1,
SELPERCATINIB,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for RETEVMO (selpercatinib):
 

 1. **Interstitial Lung Disease (ILD)/Pneumonitis:**
  - **Sentence:** ""Severe, life-threatening, and fatal interstitial lung disease (ILD)/pneumonitis can occur in patients treated with RETEVMO.""
  - **Summary:** RETEVMO itself is associated with severe, life-threatening, and fatal ILD/pneumonitis.
 

 2. **Monitoring for Pulmonary Symptoms:**
  - **Sentence:** ""Monitor for pulmonary symptoms indicative of ILD/pneumonitis.""
  - **Summary:** Monitoring for pulmonary symptoms is recommended due to the risk associated with RETEVMO.
 

 3. **Withholding RETEVMO for Pulmonary Symptoms:**
  - **Sentence:** ""Withhold RETEVMO and promptly investigate for ILD in any patient who presents with acute or worsening of respiratory symptoms which may be indicative of ILD (e.g., dyspnea, cough, and fever).""
  - **Summary:** RETEVMO should be withheld and investigated if respiratory symptoms indicative of ILD occur, suggesting the drug is associated with these risks.
 

 4. **Dosage Adjustment Based on Severity:**
  - **Sentence:** ""Withhold, reduce dose or permanently discontinue RETEVMO based on severity of confirmed ILD.""
  - **Summary:** RETEVMO dosage should be adjusted or discontinued based on the severity of ILD, indicating the drug's association with this condition.
 

 5. **Clinical Trials Experience:**
  - **Sentence:** ""ILD/pneumonitis occurred in 1.8% of patients who received RETEVMO, including 0.3% with Grade 3 or 4 events, and 0.3% with fatal reactions.""
  - **Summary:** RETEVMO was associated with ILD/pneumonitis in 1.8% of patients, including severe and fatal cases.
 

 6. **Patient Counseling Information:**
  - **Sentence:** ""Advise patients that ILD/pneumonitis can occur and to contact their healthcare provider immediately for signs or symptoms of ILD including new or worsening cough or shortness of breath.""
  - **Summary:** Patients should be advised that ILD/pneumonitis can occur with RETEVMO and to seek medical attention for related symptoms, indicating the drug's association with these risks.
 

 7. **Patient Information Leaflet:**
  - **Sentence:** ""RETEVMO may cause severe or life-threatening inflammation of the lungs during treatment, that can lead to death.""
  - **Summary:** RETEVMO itself may cause severe or life-threatening lung inflammation, which can be fatal.
 

 8. **Symptoms to Report:**
  - **Sentence:** ""Tell your healthcare provider right away if you have any new or worsening lung symptoms, including shortness of breath, cough, fever.""
  - **Summary:** Patients are instructed to report new or worsening lung symptoms, indicating these symptoms are associated with RETEVMO.
 

 In summary, RETEVMO (selpercatinib) is associated with severe, life-threatening, and potentially fatal pulmonary toxicity risks, including interstitial lung disease (ILD) and pneumonitis. Monitoring, dosage adjustments, and patient counseling are recommended to manage these risks.",Most,Yes,1,1,
METHIMAZOLE,"The drug label for Methimazole discusses pulmonary toxicity risks and pulmonary reactions in the context of vasculitis. Here is a summary of the relevant sentences:
 

 1. **Sentence:** ""Cases of vasculitis resulting in severe complications have been reported in patients receiving methimazole therapy.""
  - **Summary:** Methimazole therapy has been associated with cases of vasculitis that resulted in severe complications.
 

 2. **Sentence:** ""These cases of vasculitis include: leukocytoclastic cutaneous vasculitis, acute kidney injury and glomerulonephritis, alveolar/pulmonary hemorrhage, CNS vasculitis, and neuropathy.""
  - **Summary:** Methimazole therapy has been associated with vasculitis cases that include alveolar/pulmonary hemorrhage among other complications.
 

 3. **Sentence:** ""Inform patients that cases of vasculitis resulting in severe complications have occurred with methimazole tablets.""
  - **Summary:** Methimazole tablets have been associated with cases of vasculitis that resulted in severe complications.
 

 4. **Sentence:** ""Inform patients to promptly report symptoms that may be associated with vasculitis including new rash, hematuria or decreased urine output, dyspnea or hemoptysis.""
  - **Summary:** Patients taking methimazole should be informed to report symptoms such as dyspnea or hemoptysis, which may be associated with vasculitis caused by the drug.
 

 In summary, Methimazole has been associated with pulmonary risks in the form of alveolar/pulmonary hemorrhage as part of vasculitis complications. Patients are advised to report pulmonary symptoms like dyspnea or hemoptysis, which may indicate vasculitis.",Most,Yes,1,1,
SUCCINYLCHOLINE CHLORIDE,"The drug label for Succinylcholine Chloride Injection does not explicitly mention pulmonary toxicity risks or pulmonary reactions directly associated with the drug. However, there are several points related to respiratory effects and risks that can be summarized:
 

 1. **Risk of Death Due to Medication Errors**: ""Administration of Succinylcholine Chloride Injection results in paralysis, which may lead to respiratory arrest and death; this progression may be more likely to occur in a patient for whom it is not intended."" 
  - **Summary**: The drug itself can cause respiratory arrest and death if administered incorrectly.
 

 2. **Prolonged Neuromuscular Block due to Phase II Block and Tachyphylaxis**: ""Prolonged respiratory muscle paralysis or weakness may be observed in patients manifesting this transition to Phase II block.""
  - **Summary**: The drug itself can cause prolonged respiratory muscle paralysis or weakness.
 

 3. **Prolonged Neuromuscular Block in Patients with Reduced Plasma Cholinesterase Activity**: ""If Succinylcholine Chloride Injection is administered to a patient homozygous for atypical plasma cholinesterase, resulting in apnea or prolonged muscle paralysis should be treated with controlled respiration.""
  - **Summary**: The drug itself can cause apnea or prolonged muscle paralysis in patients with reduced plasma cholinesterase activity.
 

 4. **Overdosage**: ""Overdosage with Succinylcholine Chloride Injection may result in neuromuscular block beyond the time needed for surgery and anesthesia. This may be manifested by skeletal muscle weakness, decreased respiratory reserve, low tidal volume, or apnea.""
  - **Summary**: The drug itself can cause decreased respiratory reserve, low tidal volume, or apnea in cases of overdosage.
 

 5. **Adverse Reactions**: ""Prolonged respiratory depression or apnea.""
  - **Summary**: The drug itself is associated with prolonged respiratory depression or apnea as an adverse reaction.
 

 6. **Mechanism of Action**: ""Succinylcholine has no effect on consciousness, pain threshold or cerebration.""
  - **Summary**: This statement clarifies that the drug does not affect consciousness, pain threshold, or cerebration, indirectly implying that respiratory effects are due to its neuromuscular blocking action.
 

 In summary, the drug label indicates that Succinylcholine Chloride Injection itself is associated with or can cause respiratory arrest, prolonged respiratory muscle paralysis, apnea, decreased respiratory reserve, low tidal volume, and prolonged respiratory depression.",Most,No,1,1,
RETIFANLIMAB-DLWR,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for ZYNYZ (retifanlimab-dlwr):
 

 1. **""Immune-mediated adverse reactions, which may be severe or fatal, can occur in any organ system or tissue, including the following: immune-mediated pneumonitis...""**
  - **Summary:** The drug itself is associated with immune-mediated pneumonitis, which can be severe or fatal.
 

 2. **""Immune-mediated pneumonitis occurred in 3% (13/440) of patients receiving ZYNYZ, including 1 (0.2%) patient with fatal pneumonitis, Grade 3 (0.9%), and Grade 2 (1.4%).""**
  - **Summary:** The drug itself caused immune-mediated pneumonitis in 3% of patients, including one fatal case.
 

 3. **""Pneumonitis led to permanent discontinuation of ZYNYZ in 1 patient and withholding of ZYNYZ in 0.9% of patients.""**
  - **Summary:** The drug itself caused pneumonitis severe enough to lead to permanent discontinuation in one patient and withholding in 0.9% of patients.
 

 4. **""Systemic corticosteroids were required in 77% (10/13) of patients with pneumonitis.""**
  - **Summary:** The drug itself caused pneumonitis that required systemic corticosteroids in 77% of affected patients.
 

 5. **""Pneumonitis resolved in 10 of the 13 patients.""**
  - **Summary:** The drug itself caused pneumonitis that resolved in 10 out of 13 patients.
 

 6. **""Of the 4 patients in whom ZYNYZ was withheld for pneumonitis, 3 reinitiated ZYNYZ after symptom improvement; of these, 1 had recurrence of pneumonitis.""**
  - **Summary:** The drug itself caused pneumonitis that led to withholding the drug in 4 patients, with 1 patient experiencing recurrence upon reinitiation.
 

 7. **""In patients treated with other PD-1/PD-L1–blocking antibodies, the incidence of pneumonitis is higher in patients who have received prior thoracic radiation.""**
  - **Summary:** The drug class (PD-1/PD-L1–blocking antibodies), which includes ZYNYZ, is associated with a higher incidence of pneumonitis in patients with prior thoracic radiation.
 

 8. **""A severe infusion-related reaction (Grade 3) occurred in 1 (0.2%) of 440 patients receiving ZYNYZ.""**
  - **Summary:** The drug itself caused a severe infusion-related reaction in 0.2% of patients, which could potentially include pulmonary symptoms.
 

 9. **""Advise patients to contact their healthcare provider immediately for signs or symptoms of pneumonitis, including new or worsening symptoms of cough, chest pain, or shortness of breath.""**
  - **Summary:** The drug itself is associated with the risk of pneumonitis, and patients are advised to seek medical attention for related symptoms.
 

 10. **""Lung problems: cough, shortness of breath, chest pain.""**
  - **Summary:** The drug itself is associated with lung problems, including cough, shortness of breath, and chest pain.
 

 These summaries indicate that ZYNYZ is associated with significant pulmonary toxicity risks, including immune-mediated pneumonitis, which can be severe or fatal.",Most,Yes,1,1,
ACETAZOLAMIDE EXTENDED-RELEASE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for Acetazolamide Extended Release:
 

 1. **""In patients with pulmonary obstruction or emphysema where alveolar ventilation may be impaired, acetazolamide which may precipitate or aggravate acidosis should be used with caution.""**
  - **Summary:** Acetazolamide itself may precipitate or aggravate acidosis in patients with pulmonary obstruction or emphysema.
 

 2. **""Gradual ascent is desirable to try to avoid acute mountain sickness. If rapid ascent is undertaken and acetazolamide is used, it should be noted that such use does not obviate the need for prompt descent if severe forms of high altitude sickness occur, i.e., high altitude pulmonary edema (HAPE) or high altitude cerebral edema.""**
  - **Summary:** Acetazolamide does not prevent the need for prompt descent in cases of severe high altitude sickness, including high altitude pulmonary edema (HAPE). The drug itself is not associated with causing HAPE but does not eliminate the risk.
 

 These sentences indicate that while acetazolamide may exacerbate acidosis in patients with certain pulmonary conditions, it does not directly cause high altitude pulmonary edema but does not prevent it either.",Less,No,1,1,
SACROSIDASE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for Sucraid (sacrosidase):
 

 1. **""Severe wheezing 90 minutes after a second dose of sacrosidase necessitated admission into the ICU for a 4-year-old boy.""**
  - **Summary:** Severe wheezing occurred 90 minutes after a second dose of sacrosidase, leading to ICU admission. 
  - **Association:** The drug itself was associated with the pulmonary reaction.
 

 2. **""The wheezing was probably caused by sacrosidase.""**
  - **Summary:** The wheezing was likely caused by sacrosidase.
  - **Association:** The drug itself was likely the cause of the pulmonary reaction.
 

 3. **""He had asthma and was being treated with steroids.""**
  - **Summary:** The patient had asthma and was on steroid treatment.
  - **Association:** This provides context about the patient's pre-existing condition but does not directly associate the drug with pulmonary toxicity.
 

 4. **""A skin test for sacrosidase was positive.""**
  - **Summary:** The patient had a positive skin test for sacrosidase.
  - **Association:** This indicates a hypersensitivity to the drug, which could be related to the pulmonary reaction.
 

 5. **""Other serious events have not been linked to Sucraid.""**
  - **Summary:** No other serious events have been linked to Sucraid.
  - **Association:** This clarifies that other serious pulmonary events have not been associated with the drug.
 

 6. **""One asthmatic child experienced a serious hypersensitivity reaction (wheezing) probably related to sacrosidase (see Warnings).""**
  - **Summary:** An asthmatic child experienced serious wheezing likely related to sacrosidase.
  - **Association:** The drug itself was likely the cause of the pulmonary reaction.
 

 In summary, the drug label indicates that sacrosidase was associated with severe wheezing in a child with asthma, and this reaction was likely caused by the drug. No other serious pulmonary events have been linked to Sucraid.",Less,Yes,1,1,
AVACOPAN,"The drug label for TAVNEOS (avacopan) does not explicitly mention pulmonary toxicity risks or pulmonary reactions associated with the drug itself. The label primarily focuses on other serious risks such as hepatotoxicity, hypersensitivity reactions, hepatitis B virus reactivation, and serious infections. The most common serious infections reported include pneumonia, but it does not specifically attribute this to pulmonary toxicity caused by TAVNEOS. Here is a summary of the relevant information:
 

 1. **Serious Infections**: The label mentions that serious infections, including fatal infections, have been reported in patients receiving TAVNEOS. The most common serious infections reported in the TAVNEOS group were pneumonia and urinary tract infections. However, it does not explicitly state that TAVNEOS itself caused these pulmonary infections (pneumonia).
 

 2. **Clinical Trials Experience**: In the phase 3 clinical trial, pneumonia was reported as a serious adverse reaction more frequently in patients treated with TAVNEOS (4.8%) compared to those treated with prednisone (3.7%). Again, the label does not explicitly state that TAVNEOS caused these pulmonary reactions.
 

 In summary, while pneumonia is mentioned as a serious infection observed in patients treated with TAVNEOS, the label does not explicitly attribute pulmonary toxicity or pulmonary reactions directly to the drug itself.",Less,No,1,1,
HYDRALAZINE HYDROCHLORIDE,"The drug label for Hydralazine Hydrochloride mentions the following points related to pulmonary toxicity risks and pulmonary reactions:
 

 1. **General Precautions Section:**
  - ""The 'hyperdynamic' circulation caused by hydrALAZINE may accentuate specific cardiovascular inadequacies. For example, hydrALAZINE may increase pulmonary artery pressure in patients with mitral valvular disease.""
  - **Summary:** Hydralazine itself may increase pulmonary artery pressure in patients with mitral valvular disease.
 

 2. **Adverse Reactions Section:**
  - ""Respiratory: dyspnea.""
  - **Summary:** Dyspnea (difficulty breathing) has been observed as an adverse reaction associated with Hydralazine.
 

 These are the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions, and they indicate that Hydralazine itself is associated with these risks.",Less,Yes,1,1,
DEFLAZACORT,"The drug label for EMFLAZA (deflazacort) does not explicitly mention pulmonary toxicity risks or pulmonary reactions. The label primarily focuses on other types of risks and adverse reactions, such as endocrine function alterations, immunosuppression, cardiovascular and renal function alterations, gastrointestinal perforation, behavioral and mood disturbances, effects on bones, ophthalmic effects, serious skin rashes, and various other conditions. 
 

 Therefore, there are no sentences in the provided drug label that discuss pulmonary toxicity risks or pulmonary reactions associated with EMFLAZA.",No,No,1,11,
