generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries
GLOFITAMAB,"### Summary of Hematological Toxicity Risks and Reactions for COLUMVI

1. **Adverse Reactions (Section 6.1)**
   - **Neutropenia**: COLUMVI was associated with decreased neutrophil counts. Grade 3 or 4 neutrophil decrease occurred in 26% of patients, with Grade 4 neutrophil decrease in 9% of patients.
   - **Lymphocyte Count Decreased**: COLUMVI was associated with decreased lymphocyte counts in 90% of patients, with 83% experiencing Grade 3 or 4 decreases.
   - **Platelets Decreased**: COLUMVI was associated with decreased platelet counts in 56% of patients, with 8% experiencing Grade 3 or 4 decreases.
   - **Hemoglobin Decreased**: COLUMVI was associated with decreased hemoglobin levels in 72% of patients, with 8% experiencing Grade 3 or 4 decreases.

2. **Dosage Modifications for Adverse Reactions (Section 2.4)**
   - **Neutropenia**: If the absolute neutrophil count is less than 0.5 × 10^9/L, COLUMVI should be withheld until the count is 0.5 × 10^9/L or higher.
   - **Thrombocytopenia**: If the platelet count is less than 50 × 10^9/L, COLUMVI should be withheld until the count is 50 × 10^9/L or higher.

3. **Clinical Trials Experience (Section 6.1)**
   - **Febrile Neutropenia**: COLUMVI was associated with febrile neutropenia in 3.4% of patients.
   - **Laboratory Abnormalities**: COLUMVI was associated with several hematological laboratory abnormalities, including decreased lymphocyte counts, decreased hemoglobin, decreased neutrophil counts, and decreased platelet counts.

4. **Warnings and Precautions (Section 5.3)**
   - **Serious Infections**: COLUMVI can cause serious or fatal infections, and febrile neutropenia was reported in 3.4% of patients.

### Conclusion
COLUMVI is associated with several hematological toxicities, including neutropenia, lymphocyte count decrease, thrombocytopenia, and hemoglobin decrease. These adverse reactions necessitate careful monitoring and potential dosage modifications to manage the risks effectively.",Most,Yes,1,1,
GUSELKUMAB,"The drug label for TREMFYA (guselkumab) includes the following information related to hematological toxicity risks and hematological reactions:

1. **Neutrophil Count Decreased**:
   - **Psoriatic Arthritis Clinical Trials**: In the 24-week placebo-controlled period, combined across two studies, neutrophil count decreased occurred in 0.3% of subjects in the TREMFYA q8w group and 1.6% of subjects in the TREMFYA q4w group compared to 0% of subjects in the placebo group. The majority of events of neutrophil count decreased were mild, transient, not associated with infection, and did not lead to discontinuation.
     - **Summary**: The drug itself was associated with a decrease in neutrophil count, but these events were generally mild and transient.

2. **Elevated Liver Enzymes**:
   - **Plaque Psoriasis Clinical Trials**: Elevated liver enzymes were reported more frequently in the TREMFYA group (2.6%) than in the placebo group (1.9%). Of the 21 subjects who were reported to have elevated liver enzymes in the TREMFYA group, all events except one were mild to moderate in severity and none of the events led to discontinuation of TREMFYA.
     - **Summary**: The drug itself was associated with elevated liver enzymes, which is a hematological reaction, but these events were generally mild to moderate.

3. **General Infections**:
   - **Clinical Trials**: Infections occurred in 23% of subjects in the TREMFYA group compared to 21% of subjects in the placebo group. The most common infections were upper respiratory infections, gastroenteritis, tinea infections, and herpes simplex infections; all cases were mild to moderate in severity and did not lead to discontinuation of TREMFYA.
     - **Summary**: The drug itself was associated with an increased risk of infections, which can be related to hematological toxicity, but these infections were generally mild to moderate.

4. **Hypersensitivity Reactions**:
   - **Postmarketing Experience**: Hypersensitivity, including anaphylaxis, has been reported. Some cases required hospitalization.
     - **Summary**: The drug itself was associated with hypersensitivity reactions, including anaphylaxis, which can be considered a hematological reaction.

In summary, TREMFYA is associated with certain hematological risks, including decreased neutrophil count, elevated liver enzymes, increased risk of infections, and hypersensitivity reactions. These events were generally mild to moderate and did not typically lead to discontinuation of the drug.",Less,Yes,1,1,
IMATINIB,"### Summary of Hematological Toxicity Risks and Reactions for Imatinib Mesylate Tablets

1. **Warnings and Precautions (Section 5.2)**
   - **Sentence:** ""Treatment with imatinib mesylate is associated with anemia, neutropenia, and thrombocytopenia.""
   - **Summary:** The drug itself is associated with anemia, neutropenia, and thrombocytopenia.

   - **Sentence:** ""Perform complete blood counts weekly for the first month, biweekly for the second month, and periodically thereafter as clinically indicated.""
   - **Summary:** Regular blood count monitoring is recommended due to the drug's association with hematological toxicity.

   - **Sentence:** ""In CML, the occurrence of these cytopenias is dependent on the stage of disease and is more frequent in patients with accelerated phase CML or blast crisis than in patients with chronic phase CML.""
   - **Summary:** The drug's association with cytopenias varies with the stage of CML, being more frequent in advanced stages.

   - **Sentence:** ""In pediatric CML patients the most frequent toxicities observed were Grade 3 or 4 cytopenias, including neutropenia, thrombocytopenia and anemia.""
   - **Summary:** The drug itself caused Grade 3 or 4 cytopenias in pediatric CML patients.

2. **Adverse Reactions (Section 6.1)**
   - **Sentence:** ""The following serious adverse reactions are described elsewhere in the labeling: Hematologic Toxicity.""
   - **Summary:** Hematologic toxicity is a serious adverse reaction associated with the drug.

   - **Sentence:** ""Cytopenias, and particularly neutropenia and thrombocytopenia, were a consistent finding in all studies, with a higher frequency at doses greater than or equal to 750 mg (Phase 1 study).""
   - **Summary:** The drug itself consistently caused cytopenias, especially neutropenia and thrombocytopenia, at higher doses.

   - **Sentence:** ""The occurrence of cytopenias in CML patients was also dependent on the stage of the disease.""
   - **Summary:** The drug's association with cytopenias varies with the stage of CML.

   - **Sentence:** ""In patients with newly diagnosed CML, cytopenias were less frequent than in the other CML patients.""
   - **Summary:** The drug caused fewer cytopenias in newly diagnosed CML patients compared to those in advanced stages.

   - **Sentence:** ""The frequency of Grade 3 or 4 neutropenia and thrombocytopenia was between 2- and 3-fold higher in blast crisis and accelerated phase compared to chronic phase.""
   - **Summary:** The drug caused more frequent Grade 3 or 4 neutropenia and thrombocytopenia in advanced stages of CML.

   - **Sentence:** ""These reactions can usually be managed with either a reduction of the dose or an interruption of treatment with imatinib mesylate, but may require permanent discontinuation of treatment.""
   - **Summary:** The drug's hematological toxicities can often be managed by dose adjustment or treatment interruption.

3. **Dose Adjustment for Hematologic Adverse Reactions (Section 2.14)**
   - **Sentence:** ""Dose reduction or treatment interruptions for severe neutropenia and thrombocytopenia are recommended.""
   - **Summary:** The drug itself necessitates dose reduction or treatment interruption for severe neutropenia and thrombocytopenia.

4. **Adverse Reactions in Pediatric Population (Section 6.1)**
   - **Sentence:** ""The incidence of Grade 3/4 events across all types of adverse reactions was 75%; the events with the highest Grade 3/4 incidence in CML pediatric patients were mainly related to myelosuppression.""
   - **Summary:** The drug itself caused a high incidence of Grade 3/4 myelosuppression in pediatric CML patients.

5. **Adverse Reactions in Other Subpopulations (Section 6.1)**
   - **Sentence:** ""In women there was an increase in the frequency of neutropenia.""
   - **Summary:** The drug itself caused an increased frequency of neutropenia in women.

6. **Acute Lymphoblastic Leukemia (Section 14.3)**
   - **Sentence:** ""The most frequently reported drug-related adverse reactions reported in the Ph+ ALL studies were mild nausea and vomiting, diarrhea, myalgia, muscle cramps and rash.""
   - **Summary:** The drug itself caused mild nausea, vomiting, diarrhea, myalgia, muscle cramps, and rash in Ph+ ALL studies.

7. **Hematologic and Biochemistry Laboratory Abnormalities (Section 6.1)**
   - **Sentence:** ""Severe elevation of transaminases or bilirubin occurred in approximately 5% of CML patients.""
   - **Summary:** The drug itself caused severe elevation of transaminases or bilirubin in approximately 5% of CML patients.

8. **Adverse Reactions from Multiple Clinical Trials (Section 6.1)**
   - **Sentence:** ""Hematologic and Biochemistry Laboratory Abnormalities: Cytopenias, and particularly neutropenia and thrombocytopenia, were a consistent finding in all studies.""
   - **Summary:** The drug itself consistently caused cytopenias, particularly neutropenia and thrombocytopenia, in all studies.

### Conclusion
Imatinib mesylate tablets are consistently associated with hematological toxicities, including anemia, neutropenia, and thrombocytopenia, across various patient populations and stages of disease. These toxicities are dose-dependent and more frequent in advanced stages of CML. Regular monitoring and dose adjustments are recommended to manage these adverse reactions.",Most,Yes,1,1,
IODINATED I-125 ALBUMIN,"The drug label for JEANATOPE (iodinated I 125 albumin) does not explicitly mention any hematological toxicity risks or hematological reactions directly associated with the drug itself. Here is a summary of the relevant sections:

1. **Adverse Reactions**:
   - The label lists ""Hypersensitivity"" under immune system disorders as an identified adverse reaction. However, it does not specify any hematological reactions or toxicity directly caused by JEANATOPE.

2. **Warnings**:
   - The label mentions ""aseptic meningitis and pyrogenic reactions"" following cisternography with JEANATOPE, but these are not hematological reactions and the drug is not approved for cisternography.

3. **Precautions**:
   - The label advises minimizing radiation exposure to patients and healthcare providers, but this is a general precaution for all radiopharmaceuticals and not specific to hematological toxicity.

4. **Pregnancy and Nursing Mothers**:
   - The label discusses the potential for iodine-125 to cross the placenta and affect fetal thyroid function, and the presence of iodine-125 in human milk, but does not mention hematological risks.

5. **Pediatric and Geriatric Use**:
   - The label states that safety and effectiveness in pediatric patients have not been established and that there is insufficient data to determine if elderly patients respond differently, but does not mention hematological risks.

In summary, the drug label does not provide any specific information indicating that JEANATOPE is associated with or causes hematological toxicity or reactions.",No,No,1,1,
ISOSORBIDE MONONITRATE,"The drug label for Isosorbide Mononitrate Extended-Release Tablets, USP, mentions hematological toxicity risks and reactions in the following sections:

1. **Overdosage - Methemoglobinemia**:
   - **Sentence**: ""Methemoglobinemia has been reported in patients receiving other organic nitrates, and it probably could also occur as a side effect of isosorbide mononitrate.""
     - **Summary**: Methemoglobinemia has been associated with other organic nitrates and could potentially occur with isosorbide mononitrate.
   - **Sentence**: ""Certainly nitrate ions liberated during metabolism of isosorbide mononitrate can oxidize hemoglobin into methemoglobin.""
     - **Summary**: The drug itself can cause methemoglobinemia by oxidizing hemoglobin into methemoglobin.
   - **Sentence**: ""Even in patients totally without cytochrome b5 reductase activity, however, and even assuming that the nitrate moiety of isosorbide mononitrate is quantitatively applied to oxidation of hemoglobin, about 2 mg/kg of isosorbide mononitrate should be required before any of these patients manifest clinically significant (≥10%) methemoglobinemia.""
     - **Summary**: The drug itself requires a specific dose to cause clinically significant methemoglobinemia in patients without cytochrome b5 reductase activity.
   - **Sentence**: ""In patients with normal reductase function, significant production of methemoglobin should require even larger doses of isosorbide mononitrate.""
     - **Summary**: The drug itself requires larger doses to cause significant methemoglobinemia in patients with normal reductase function.
   - **Sentence**: ""In one study in which 36 patients received 2 to 4 weeks of continuous nitroglycerin therapy at 3.1 to 4.4 mg/hr (equivalent, in total administered dose of nitrate ions, to 7.8 to 11.1 mg of isosorbide mononitrate per hour), the average methemoglobin level measured was 0.2%; this was comparable to that observed in parallel patients who received placebo.""
     - **Summary**: The drug itself did not cause significant methemoglobinemia in a study, as levels were comparable to placebo.
   - **Sentence**: ""Not with standing these observations, there are case reports of significant methemoglobinemia in association with moderate overdoses of organic nitrates.""
     - **Summary**: Moderate overdoses of organic nitrates, including isosorbide mononitrate, have been associated with significant methemoglobinemia.
   - **Sentence**: ""None of the affected patients had been thought to be unusually susceptible.""
     - **Summary**: The drug itself caused methemoglobinemia in patients not thought to be unusually susceptible.

2. **Adverse Reactions - Red Blood Cell Disorder**:
   - **Sentence**: ""Hypochromic anemia.""
     - **Summary**: The drug itself has been associated with hypochromic anemia.

In summary, the drug label indicates that isosorbide mononitrate can potentially cause methemoglobinemia and hypochromic anemia. Methemoglobinemia is a risk particularly in cases of overdose or in patients with certain enzyme deficiencies, while hypochromic anemia is listed as an adverse reaction.",Less,Yes,1,1,
LIFITEGRAST,"The drug label for Xiidra (lifitegrast ophthalmic solution) does not explicitly mention hematological toxicity risks or hematological reactions. The sections of the label that discuss adverse reactions, clinical trials experience, and postmarketing experience do not include any references to hematological issues. The focus is primarily on ocular and systemic reactions such as instillation-site irritation, dysgeusia, decreased visual acuity, and hypersensitivity reactions.

Here is a summary of the relevant sections:

1. **Adverse Reactions (Section 6)**:
   - **Clinical Trials Experience (6.1)**: The most common adverse reactions were instillation-site irritation, dysgeusia, and decreased visual acuity. Other reactions included blurred vision, conjunctival hyperemia, eye irritation, headache, increased lacrimation, eye discharge, eye discomfort, eye pruritus, and sinusitis. No hematological reactions were mentioned.
   - **Postmarketing Experience (6.2)**: Rare serious cases of hypersensitivity, including anaphylactic reaction, bronchospasm, respiratory distress, pharyngeal edema, swollen tongue, urticaria, allergic conjunctivitis, dyspnea, angioedema, and allergic dermatitis were reported. Eye swelling and rash were also reported. No hematological reactions were mentioned.

2. **Nonclinical Toxicology (Section 13)**:
   - **Carcinogenesis, Mutagenesis, Impairment of Fertility (13.1)**: Lifitegrast was not mutagenic in the in vitro Ames assay and not clastogenic in the in vivo mouse micronucleus assay. In an in vitro chromosomal aberration assay using mammalian cells, lifitegrast was positive at the highest concentration tested, without metabolic activation. No hematological toxicity was mentioned.

In conclusion, the drug label for Xiidra does not associate the drug with hematological toxicity risks or hematological reactions. The adverse reactions and nonclinical toxicology sections do not mention any hematological issues related to the use of Xiidra.",No,No,1,1,
LOFEXIDINE HYDROCHLORIDE,"The drug label for LUCEMYRA (lofexidine) does not explicitly discuss hematological toxicity risks or hematological reactions. The provided label focuses on various other risks and adverse reactions, such as hypotension, bradycardia, syncope, QT prolongation, CNS depression, and opioid overdose risk after discontinuation. It also details the drug's pharmacokinetics, interactions, and specific population considerations, but there is no mention of hematological toxicity or reactions associated with LUCEMYRA.

Therefore, based on the provided drug label, there are no hematological toxicity risks or reactions associated with LUCEMYRA.",No,No,1,1,
MEROPENEM,"### Summary of Hematological Toxicity Risks and Hematological Reactions for Meropenem for Injection

1. **Thrombocytopenia in Patients with Renal Dysfunction (Section 5.8)**
   - **Summary:** Thrombocytopenia has been observed in patients with renal impairment.
   - **Association:** The drug itself was associated with thrombocytopenia in patients with renal dysfunction.

2. **Hematologic Laboratory Abnormalities (Section 6.1)**
   - **Summary:** Laboratory abnormalities in hematologic parameters were observed in greater than 0.2% of patients treated with meropenem for injection. These included increased platelets, increased eosinophils, decreased platelets, decreased hemoglobin, decreased hematocrit, decreased white blood cell (WBC) count, shortened prothrombin time, and shortened partial thromboplastin time.
   - **Association:** The drug itself was associated with these hematologic laboratory abnormalities.

3. **Post-marketing Experience (Section 6.2)**
   - **Summary:** Post-marketing reports identified hematological reactions such as agranulocytosis, neutropenia, leukopenia, a positive direct or indirect Coombs test, and hemolytic anemia.
   - **Association:** The drug itself was associated with these hematological reactions based on post-marketing reports.

### Detailed Breakdown

1. **Thrombocytopenia in Patients with Renal Dysfunction (Section 5.8)**
   - **Text:** ""In patients with renal dysfunction, thrombocytopenia has been observed but no clinical bleeding reported.""
   - **Summary:** Thrombocytopenia has been observed in patients with renal impairment.
   - **Association:** The drug itself was associated with thrombocytopenia in patients with renal dysfunction.

2. **Hematologic Laboratory Abnormalities (Section 6.1)**
   - **Text:** ""Laboratory abnormalities that occurred in greater than 0.2% of the meropenem for injection-treated patients were as follows: increased platelets, increased eosinophils, decreased platelets, decreased hemoglobin, decreased hematocrit, decreased white blood cell (WBC), shortened prothrombin time and shortened partial thromboplastin time, leukocytosis, hypokalemia.""
   - **Summary:** Laboratory abnormalities in hematologic parameters were observed in greater than 0.2% of patients treated with meropenem for injection. These included increased platelets, increased eosinophils, decreased platelets, decreased hemoglobin, decreased hematocrit, decreased white blood cell (WBC) count, shortened prothrombin time, and shortened partial thromboplastin time.
   - **Association:** The drug itself was associated with these hematologic laboratory abnormalities.

3. **Post-marketing Experience (Section 6.2)**
   - **Text:** ""Worldwide post-marketing adverse reactions not otherwise listed under the Clinical Trials Experience subsection and reported as possibly, probably, or definitely drug related are listed within each body system in order of decreasing severity. Blood and Lymphatic System Disorders: agranulocytosis, neutropenia, and leukopenia; a positive direct or indirect Coombs test, and hemolytic anemia.""
   - **Summary:** Post-marketing reports identified hematological reactions such as agranulocytosis, neutropenia, leukopenia, a positive direct or indirect Coombs test, and hemolytic anemia.
   - **Association:** The drug itself was associated with these hematological reactions based on post-marketing reports.",Most,Yes,1,1,
NIMODIPINE,"The provided drug label for NYMALIZE (nimodipine) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, drug interactions, and use in specific populations. 

Here is a summary of the relevant sections that might indirectly relate to hematological concerns, although they do not specifically address hematological toxicity:

1. **Adverse Reactions (Section 6.1)**:
   - The most common adverse reactions reported were hypotension, headache, nausea, and bradycardia. 
   - **Summary**: No hematological toxicity or reactions were associated with the drug itself in this section.

2. **Warnings and Precautions (Section 5)**:
   - **Hypotension (5.1)**: Blood pressure should be carefully monitored during treatment.
   - **Possible Increased Risk of Adverse Reactions in Patients with Cirrhosis (5.2)**: Patients with cirrhosis are at higher risk of adverse reactions due to increased plasma levels of nimodipine.
   - **Possible Increased Risk of Hypotension with Strong CYP3A4 Inhibitors (5.3)**: Concomitant use with strong CYP3A4 inhibitors should generally be avoided due to the risk of significant hypotension.
   - **Possible Reduced Efficacy with Strong CYP3A4 Inducers (5.4)**: Concomitant use with strong CYP3A4 inducers should generally be avoided as it may reduce the efficacy of nimodipine.
   - **Summary**: No hematological toxicity or reactions were associated with the drug itself in this section.

3. **Drug Interactions (Section 7)**:
   - **Blood Pressure Lowering Drugs (7.1)**: Nimodipine may increase the blood pressure-lowering effect of concomitantly administered antihypertensives.
   - **CYP3A4 Inhibitors (7.2)**: Nimodipine plasma concentration can be significantly increased with strong CYP3A4 inhibitors, increasing the risk of hypotension.
   - **CYP3A4 Inducers (7.3)**: Nimodipine plasma concentration and efficacy may be significantly reduced with strong CYP3A4 inducers.
   - **Summary**: No hematological toxicity or reactions were associated with the drug itself in this section.

4. **Use in Specific Populations (Section 8)**:
   - **Pregnancy (8.1)**: Based on animal data, nimodipine may cause fetal harm.
   - **Lactation (8.2)**: Nimodipine has been detected in human milk.
   - **Pediatric Use (8.4)**: Safety and effectiveness in pediatric patients have not been established.
   - **Geriatric Use (8.5)**: Dosing in elderly patients should be cautious due to the greater frequency of decreased hepatic, renal, or cardiac function.
   - **Summary**: No hematological toxicity or reactions were associated with the drug itself in this section.

5. **Clinical Studies (Section 14)**:
   - The clinical studies section discusses the efficacy of nimodipine in reducing the severity of neurological deficits resulting from vasospasm in patients with subarachnoid hemorrhage.
   - **Summary**: No hematological toxicity or reactions were associated with the drug itself in this section.

In conclusion, the drug label for NYMALIZE does not provide any information indicating that the drug itself is associated with or causes hematological toxicity risks or hematological reactions.",No,No,1,1,
NIVOLUMAB,"### Summary of Hematological Toxicity Risks and Reactions for OPDIVO (Nivolumab)

#### Hematological Toxicity Risks and Reactions

1. **Immune-Mediated Adverse Reactions:**
   - **Blood and Lymphatic System Disorders:**
     - **Hemophagocytic Lymphohistiocytosis (HLH):** The drug itself has been associated with HLH, including fatal cases.
     - **Autoimmune Hemolytic Anemia:** The drug itself has been associated with autoimmune hemolytic anemia, including fatal cases.

2. **Adverse Reactions in Clinical Trials:**
   - **Classical Hodgkin Lymphoma (cHL):**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 32% of patients, with 11% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 26% of patients, with 2.6% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 37% of patients, with 3% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 38% of patients, with 4.5% experiencing Grade 3-4 severity.

   - **Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck (SCCHN):**
     - **Hematology:**
       - **Increased Alkaline Phosphatase:** The drug itself was associated with increased alkaline phosphatase in ≥10% of patients.
       - **Increased Amylase:** The drug itself was associated with increased amylase in ≥10% of patients.
       - **Hypercalcemia:** The drug itself was associated with hypercalcemia in ≥10% of patients.
       - **Hyperkalemia:** The drug itself was associated with hyperkalemia in ≥10% of patients.
       - **Increased TSH:** The drug itself was associated with increased TSH in ≥10% of patients.

   - **Adjuvant Treatment of Urothelial Carcinoma (UC):**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 33% of patients, with 2.9% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 30% of patients, with 1.4% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 11% of patients, with 0.6% experiencing Grade 3-4 severity.

   - **First-line Treatment of Unresectable or Metastatic UC:**
     - **Hematology:**
       - **Anemia:** The drug itself was associated with anemia in 88% of patients, with 21% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 82% of patients, with 35% experiencing Grade 3-4 severity.
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 71% of patients, with 17% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 60% of patients, with 13% experiencing Grade 3-4 severity.

   - **Previously Treated Advanced or Metastatic UC:**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 42% of patients, with 9% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 40% of patients, with 7% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 15% of patients, with 2.4% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 11% of patients, with 0% experiencing Grade 3-4 severity.

   - **MSI-H or dMMR Metastatic Colorectal Cancer:**
     - **Hematology:**
       - **Anemia:** The drug itself was associated with anemia in 50% of patients, with 7% experiencing Grade 3-4 severity.
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 36% of patients, with 7% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 20% of patients, with 4.3% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 16% of patients, with 1.4% experiencing Grade 3-4 severity.

   - **Hepatocellular Carcinoma:**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 53% of patients, with 13% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 43% of patients, with 4.3% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 43% of patients, with 9% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 40% of patients, with 2.1% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 34% of patients, with 4.3% experiencing Grade 3-4 severity.

   - **Esophageal Cancer:**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 44% of patients, with 17% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 27% of patients, with 0.8% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 24% of patients, with 1.5% experiencing Grade 3-4 severity.

   - **First-line Treatment of Unresectable Advanced or Metastatic ESCC:**
     - **Hematology:**
       - **Anemia:** The drug itself was associated with anemia in 81% of patients, with 21% experiencing Grade 3-4 severity.
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 67% of patients, with 23% experiencing Grade 3-4 severity.
       - **Neutropenia:** The drug itself was associated with neutropenia in 61% of patients, with 18% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 53% of patients, with 11% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 43% of patients, with 3.3% experiencing Grade 3-4 severity.

   - **Previously Treated Unresectable Advanced, Recurrent or Metastatic ESCC:**
     - **Hematology:**
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 46% of patients, with 19% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 42% of patients, with 9% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 11% of patients, with 0.5% experiencing Grade 3-4 severity.

   - **Gastric Cancer, Gastroesophageal Junction Cancer, and Esophageal Adenocarcinoma:**
     - **Hematology:**
       - **Neutropenia:** The drug itself was associated with neutropenia in 73% of patients, with 29% experiencing Grade 3-4 severity.
       - **Leukopenia:** The drug itself was associated with leukopenia in 69% of patients, with 12% experiencing Grade 3-4 severity.
       - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia in 68% of patients, with 7% experiencing Grade 3-4 severity.
       - **Anemia:** The drug itself was associated with anemia in 59% of patients, with 14% experiencing Grade 3-4 severity.
       - **Lymphopenia:** The drug itself was associated with lymphopenia in 59% of patients, with 12% experiencing Grade 3-4 severity.

#### Postmarketing Experience:
- **Complications of OPD",Most,Yes,1,1,
OXYMORPHONE HYDROCHLORIDE,"The provided drug label for OPANA (oxymorphone hydrochloride) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, drug interactions, use in specific populations, drug abuse and dependence, overdosage, and clinical pharmacology.

However, for completeness, here is a summary of the relevant sections that might indirectly relate to hematological concerns:

1. **Adverse Reactions (Section 6.1)**:
   - The label lists various adverse reactions observed in clinical trials, but none are specifically hematological in nature. The common adverse reactions include nausea, pyrexia, somnolence, vomiting, pruritus, headache, dizziness, constipation, and confusion. These reactions are associated with the drug itself.

2. **Drug Interactions (Section 7.1)**:
   - The label mentions that the concomitant use of OPANA with other CNS depressants can produce additive CNS depressant effects, including hypoventilation, hypotension, profound sedation, coma, and death. This is related to the drug itself but does not specifically mention hematological toxicity.

3. **Use in Specific Populations (Section 8.1)**:
   - The label discusses the potential risks of using OPANA during pregnancy, including possible fetal harm based on animal data. It mentions decreased fetal and pup weights, an increase in stillbirth, and a decrease in postnatal pup survival. These effects are associated with the drug itself but are not specifically hematological.

4. **Nonclinical Toxicology (Section 13.1)**:
   - The label includes information on carcinogenesis, mutagenesis, and impairment of fertility. It mentions that oxymorphone hydrochloride tested positive in both the rat and mouse in vivo micronucleus assays, indicating an increase in micronucleated polychromatic erythrocytes. This suggests a potential genotoxic effect associated with the drug itself, which could be considered a hematological concern.

In summary, while the label does not explicitly discuss hematological toxicity risks or reactions, it does mention a potential genotoxic effect (increase in micronucleated polychromatic erythrocytes) in nonclinical studies, which is associated with the drug itself.",Less,Yes,1,1,
PARATHYROID HORMONE,"The drug label for NATPARA does not explicitly discuss hematological toxicity risks or hematological reactions. The primary focus of the warnings and precautions sections is on the potential risk of osteosarcoma, hypercalcemia, hypocalcemia, digoxin toxicity, and hypersensitivity reactions. 

Here is a summary of the relevant sections that might indirectly relate to hematological concerns, although they do not specifically mention hematological toxicity or reactions:

1. **Warnings and Precautions:**
   - **Potential Risk of Osteosarcoma:** NATPARA is associated with an increased risk of osteosarcoma in animal studies, and this risk cannot be excluded in humans.
   - **Hypercalcemia:** NATPARA can cause severe hypercalcemia, which requires monitoring and management.
   - **Hypocalcemia:** Severe hypocalcemia can occur if NATPARA is interrupted or discontinued abruptly.
   - **Risk of Digoxin Toxicity:** Hypercalcemia due to NATPARA can increase the risk of digoxin toxicity.
   - **Hypersensitivity:** NATPARA has been associated with hypersensitivity reactions, including anaphylaxis, dyspnea, angioedema, urticaria, and rash.

2. **Adverse Reactions:**
   - **Clinical Trials:** The most common adverse reactions associated with NATPARA include paresthesia, hypocalcemia, headache, hypercalcemia, nausea, hypoesthesia, diarrhea, vomiting, arthralgia, hypercalciuria, and pain in extremity. There is no mention of hematological toxicity or reactions.
   - **Immunogenicity:** NATPARA may trigger the development of antibodies, but this is not directly related to hematological toxicity.

3. **Postmarketing Experience:**
   - **Hypersensitivity Reactions:** Post-approval use of NATPARA has identified hypersensitivity reactions, including anaphylaxis, dyspnea, angioedema, urticaria, and rash. These are not hematological reactions.

In summary, the drug label for NATPARA does not provide information on hematological toxicity risks or hematological reactions directly associated with the drug. The primary concerns are related to bone cancer risk, calcium level abnormalities, digoxin toxicity, and hypersensitivity reactions.",No,No,1,1,
