generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,,
NERATINIB,"### Summary of Dermatological and Cutaneous Risks and Reactions for NERLYNX (neratinib)
 

 1. **Adverse Reactions in Extended Adjuvant Treatment of Early-Stage Breast Cancer (ExteNET Trial)**
  - **Rash**: NERLYNX was associated with rash in 18% of patients, with 0.6% experiencing Grade 3 rash. (Table 7)
  - **Dry Skin**: NERLYNX was associated with dry skin in 6% of patients, with no Grade 3 or 4 cases reported. (Table 7)
  - **Nail Disorder**: NERLYNX was associated with nail disorders in 8% of patients, with 0.3% experiencing Grade 3 nail disorders. (Table 7)
  - **Skin Fissures**: NERLYNX was associated with skin fissures in 2% of patients, with 0.1% experiencing Grade 3 skin fissures. (Table 7)
 

 2. **Adverse Reactions in Advanced or Metastatic Breast Cancer (NALA Trial)**
  - **Rash**: Not specifically mentioned in the NALA trial summary, but other cutaneous reactions were noted.
  - **Dry Skin**: Not specifically mentioned in the NALA trial summary.
  - **Nail Disorder**: Not specifically mentioned in the NALA trial summary.
  - **Skin Fissures**: Not specifically mentioned in the NALA trial summary.
 

 3. **Patient Information Section**
  - **Rash**: NERLYNX was associated with rash as a common side effect when used alone. (Patient Information)
  - **Dry Skin**: NERLYNX was associated with dry skin as a common side effect when used alone. (Patient Information)
  - **Nail Problems**: NERLYNX was associated with nail problems, including color change, as a common side effect when used alone. (Patient Information)
 

 ### Conclusion
 NERLYNX (neratinib) is associated with several dermatological and cutaneous risks, including rash, dry skin, nail disorders, and skin fissures. These reactions were observed in clinical trials and are listed as common side effects in the patient information section.",Most,Yes,1,1,,
DEMECLOCYCLINE HYDROCHLORIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Demeclocycline Hydrochloride Tablets
 

 1. **Photosensitivity**:
  - **Description**: Photosensitivity manifested by an exaggerated sunburn reaction has been observed in some individuals taking tetracyclines, including demeclocycline.
  - **Association**: The drug itself is associated with this dermatological risk.
 

 2. **Phototoxic Reactions**:
  - **Description**: Phototoxic reactions can occur in individuals taking demeclocycline, characterized by severe burns on exposed surfaces resulting from direct exposure to sunlight during therapy with moderate or large doses.
  - **Association**: The drug itself is associated with this dermatological risk.
 

 3. **Skin Erythema**:
  - **Description**: Patients apt to be exposed to direct sunlight or ultraviolet light should be advised that this reaction can occur, and treatment should be discontinued at the first evidence of erythema of the skin.
  - **Association**: The drug itself is associated with this dermatological risk.
 

 4. **Maculopapular and Erythematous Rashes**:
  - **Description**: Maculopapular and erythematous rashes have been reported in patients receiving tetracyclines.
  - **Association**: The drug itself is associated with these dermatological reactions.
 

 5. **Erythema Multiforme**:
  - **Description**: Erythema multiforme has been reported in patients receiving tetracyclines.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 6. **Exfoliative Dermatitis**:
  - **Description**: Exfoliative dermatitis has been reported but is uncommon.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 7. **Fixed Drug Eruptions and Stevens-Johnson Syndrome**:
  - **Description**: Fixed drug eruptions and Stevens-Johnson syndrome have been reported rarely.
  - **Association**: The drug itself is associated with these dermatological reactions.
 

 8. **Lesions on the Glans Penis**:
  - **Description**: Lesions occurring on the glans penis have caused balanitis.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 9. **Pigmentation of the Skin and Mucous Membranes**:
  - **Description**: Pigmentation of the skin and mucous membranes has also been reported.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 10. **Tooth Discoloration**:
  - **Description**: Tooth discoloration has occurred in pediatric patients less than 8 years of age and has been reported rarely in adults.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 ### Conclusion
 Demeclocycline hydrochloride tablets are associated with several dermatological and cutaneous risks and reactions, including photosensitivity, phototoxic reactions, various types of rashes, erythema multiforme, exfoliative dermatitis, fixed drug eruptions, Stevens-Johnson syndrome, lesions causing balanitis, pigmentation changes, and tooth discoloration. These reactions highlight the importance of monitoring and advising patients regarding potential skin-related side effects while on this medication.",Most,Yes,1,1,,
ALBENDAZOLE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Albendazole:
 

 1. **Warnings and Precautions (5.1 Bone Marrow Suppression)**:
  - **Reversible Alopecia**: The drug itself was associated with reversible alopecia (hair loss).
 

 2. **Adverse Reactions (6.1 Clinical Trials Experience)**:
  - **Reversible Alopecia**: The drug itself was associated with reversible alopecia in less than 1% of patients with neurocysticercosis.
 

 3. **Adverse Reactions (6.2 Postmarketing Experience)**:
  - **Erythema Multiforme**: The drug itself was associated with erythema multiforme (a skin reaction).
  - **Stevens-Johnson Syndrome**: The drug itself was associated with Stevens-Johnson syndrome (a severe skin reaction).
 

 These sections indicate that Albendazole has been associated with several dermatological reactions, including reversible alopecia, erythema multiforme, and Stevens-Johnson syndrome.",Less,Yes,2,1,,
MARIBAVIR,"The drug label for LIVTENCITY (maribavir) does not explicitly mention any dermatological or cutaneous risks or reactions associated with the drug. The sections of the label that discuss adverse reactions, clinical trials, and safety information do not include any references to skin-related issues. 
 

 Here is a summary of the relevant sections that were reviewed for dermatological and cutaneous risks:
 

 1. **Adverse Reactions (Section 6)**:
  - The most common adverse events listed include taste disturbance, nausea, diarrhea, vomiting, and fatigue. There is no mention of dermatological reactions.
 

 2. **Clinical Trials Experience (Section 6.1)**:
  - The safety data from clinical trials do not report any dermatological or cutaneous adverse events.
 

 3. **Warnings and Precautions (Section 5)**:
  - This section discusses the risk of reduced antiviral activity, virologic failure, and drug interactions but does not mention any dermatological risks.
 

 4. **Patient Information**:
  - The patient information leaflet also does not mention any dermatological or cutaneous side effects.
 

 Based on the provided drug label, there are no dermatological or cutaneous risks or reactions associated with LIVTENCITY (maribavir).",No,No,1,1,,
FLUOXETINE; FLUOXETINE HYDROCHLORIDE,"The drug label for fluoxetine discusses several dermatological and cutaneous risks and reactions associated with the drug. Here is a summary of those parts:
 

 1. **Allergic Reactions and Rash (Section 5.3)**
  - **Rash and Urticaria**: In U.S. fluoxetine clinical trials, 7% of 10,782 patients developed various types of rashes and/or urticaria. The drug itself was associated with these reactions.
  - **Systemic Signs or Symptoms**: Among the cases of rash and/or urticaria, almost a third were withdrawn from treatment because of the rash and/or systemic signs or symptoms associated with the rash. The drug itself was associated with these reactions.
  - **Clinical Findings**: Clinical findings reported in association with rash include fever, leukocytosis, arthralgias, edema, carpal tunnel syndrome, respiratory distress, lymphadenopathy, proteinuria, and mild transaminase elevation. The drug itself was associated with these reactions.
  - **Serious Cutaneous Systemic Illness**: Two patients developed a serious cutaneous systemic illness, with one considered to have leukocytoclastic vasculitis and the other a severe desquamating syndrome. The drug itself was associated with these reactions.
  - **Systemic Syndromes**: Other patients have had systemic syndromes suggestive of serum sickness. The drug itself was associated with these reactions.
  - **Systemic Reactions**: Systemic reactions, possibly related to vasculitis and including lupus-like syndrome, have developed in patients with rash. The drug itself was associated with these reactions.
  - **Anaphylactoid Reactions**: Anaphylactoid reactions, including bronchospasm, angioedema, laryngospasm, and urticaria alone and in combination, have been reported. The drug itself was associated with these reactions.
  - **Pulmonary Reactions**: Pulmonary reactions, including inflammatory processes of varying histopathology and/or fibrosis, have been reported rarely. The drug itself was associated with these reactions.
  - **Discontinuation**: Upon the appearance of rash or other possibly allergic phenomena for which an alternative etiology cannot be identified, fluoxetine should be discontinued. The drug itself was associated with these reactions.
 

 2. **Adverse Reactions (Section 6)**
  - **Common Adverse Reactions**: Rash was reported in 4% of patients with major depressive disorder, 6% with OCD, 4% with bulimia, and 2% with panic disorder. The drug itself was associated with these reactions.
  - **Pruritus**: Pruritus was reported in 3% of patients in combined studies. The drug itself was associated with this reaction.
  - **Sweating**: Sweating was reported in 8% of patients with major depressive disorder, 7% with OCD, 8% with bulimia, and 2% with panic disorder. The drug itself was associated with this reaction.
  - **Purpuric Rash**: Rare cases of purpuric rash were reported. The drug itself was associated with this reaction.
  - **Photosensitivity Reaction**: Rare cases of photosensitivity reaction were reported. The drug itself was associated with this reaction.
 

 3. **Post-Marketing Experience (Section 6.3)**
  - **Erythema Multiforme and Stevens-Johnson Syndrome**: Erythema multiforme and Stevens-Johnson Syndrome have been reported. The drug itself was associated with these reactions.
  - **Exfoliative Dermatitis**: Exfoliative dermatitis has been reported. The drug itself was associated with this reaction.
  - **Epidermal Necrolysis**: Epidermal necrolysis has been reported. The drug itself was associated with this reaction.
  - **Erythema Nodosum**: Erythema nodosum has been reported. The drug itself was associated with this reaction.
 

 4. **Patient Counseling Information (Section 17.4)**
  - **Rash or Hives**: Patients should be advised to notify their physician if they develop a rash or hives. The drug itself was associated with these reactions.
  - **Severe Allergic Reaction**: Patients should be advised of the signs and symptoms associated with a severe allergic reaction, including swelling of the face, eyes, or mouth, or trouble breathing. The drug itself was associated with these reactions.
 

 In summary, fluoxetine is associated with various dermatological and cutaneous risks, including rashes, urticaria, serious cutaneous systemic illnesses, systemic syndromes, anaphylactoid reactions, pulmonary reactions, pruritus, sweating, purpuric rash, photosensitivity reactions, erythema multiforme, Stevens-Johnson Syndrome, exfoliative dermatitis, epidermal necrolysis, and erythema nodosum. Patients are advised to monitor for these reactions and seek medical attention if they occur.",Most,Yes,1,1,,
METHYLPHENIDATE,"### Summary of Dermatological and Cutaneous Risks and Reactions for DAYTRANA
 

 1. **Chemical Leukoderma**:
  - **Summary**: DAYTRANA use may result in a persistent loss of skin pigmentation at and around the application site. In some cases, loss of pigmentation has been reported at other sites distant from the application site. 
  - **Association**: The drug itself is associated with causing chemical leukoderma.
 

 2. **Contact Sensitization**:
  - **Summary**: Use of DAYTRANA may lead to contact sensitization. Erythema is commonly seen with use of DAYTRANA and is not by itself an indication of sensitization. However, contact sensitization should be suspected if erythema is accompanied by a more intense local reaction (edema, papules, vesicles) that does not significantly improve within 48 hours or spreads beyond the transdermal system site.
  - **Association**: The drug itself is associated with causing contact sensitization.
 

 3. **Skin Irritation and Application Site Reactions**:
  - **Summary**: DAYTRANA is a dermal irritant. The majority of subjects in clinical studies had minimal to definite skin erythema at the transdermal system application site. This erythema generally caused no or minimal discomfort and did not usually interfere with therapy or result in discontinuation from treatment.
  - **Association**: The drug itself is associated with causing skin irritation and application site reactions.
 

 4. **Adverse Reactions in Clinical Studies with Discontinuation of Treatment**:
  - **Summary**: In clinical studies, the most common adverse reaction leading to discontinuation was application site reactions.
  - **Association**: The drug itself is associated with causing application site reactions that led to discontinuation of treatment.
 

 5. **Postmarketing Experience**:
  - **Summary**: Application site reactions such as bleeding, bruising, burn, burning, dermatitis, discharge, discoloration, discomfort, dryness, eczema, edema, erosion, erythema, excoriation, exfoliation, fissure, hyperpigmentation, hypopigmentation, induration, infection, inflammation, irritation, pain, papules, paresthesia, pruritus, rash, scab, swelling, ulcer, urticaria, vesicles, and warmth have been reported.
  - **Association**: The drug itself is associated with causing a wide range of application site reactions.
 

 6. **Instructions for Use**:
  - **Summary**: Patients or caregivers should not apply hydrocortisone or other solutions, creams, ointments, or emollients immediately prior to DAYTRANA application, since the effect on transdermal system adhesion and methylphenidate absorption has not been established.
  - **Association**: This is a precaution related to the drug's application, not a direct dermatological risk caused by the drug itself.
 

 7. **Medication Guide**:
  - **Summary**: DAYTRANA may cause skin problems where it is applied (redness, small bumps, itching). If any swelling or blistering occurs, the DAYTRANA should not be worn, and the patient should be seen by the prescriber.
  - **Association**: The drug itself is associated with causing skin problems at the application site.
 

 8. **Allergic Skin Rash (Contact Sensitization)**:
  - **Summary**: Stop using DAYTRANA and tell your child's healthcare provider right away if your child develops swelling or blisters at or around the application site. Your child may have a skin allergy to DAYTRANA.
  - **Association**: The drug itself is associated with causing allergic skin rash and contact sensitization.
 

 ### Conclusion
 DAYTRANA is associated with several dermatological and cutaneous risks, including chemical leukoderma, contact sensitization, skin irritation, and a variety of application site reactions. These reactions can range from mild erythema to more severe conditions such as swelling, blistering, and persistent loss of skin pigmentation. Patients are advised to monitor for these reactions and consult their healthcare provider if they occur.",Most,Yes,1,1,,
EMICIZUMAB,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Hemlibra (emicizumab-kxwh):
 

 1. **Injection Site Reactions (ISRs)**:
  - **Summary**: Injection site reactions were reported in 22% of patients treated with Hemlibra.
  - **Association**: The drug itself was associated with these reactions.
  - **Details**: All ISRs were mild to moderate in intensity, and 93% resolved without treatment. Common ISR symptoms included injection site erythema (11%), injection site pain (4%), and injection site pruritus (4%).
 

 2. **Other Less Common Reactions**:
  - **Summary**: Skin necrosis and superficial thrombophlebitis were reported as reasons for treatment withdrawal in clinical trials.
  - **Association**: The drug itself was associated with these reactions.
 

 3. **Postmarketing Experience**:
  - **Summary**: Rash, urticaria, and angioedema have been identified during post-approval use of Hemlibra.
  - **Association**: The drug itself was associated with these reactions.
 

 4. **Patient Counseling Information**:
  - **Summary**: Patients are advised to follow proper injection techniques and to avoid injecting into areas where the skin is tender, bruised, red, hard, or not intact.
  - **Association**: This is a precaution to minimize dermatological risks associated with the drug's administration.
 

 5. **Instructions for Use**:
  - **Summary**: Patients are instructed to clean the injection site with an alcohol wipe and to avoid injecting into moles, scars, bruises, or areas where the skin is tender, red, hard, or broken.
  - **Association**: This is a precaution to minimize dermatological risks associated with the drug's administration.
 

 In summary, Hemlibra is associated with several dermatological reactions, primarily injection site reactions, and less commonly, skin necrosis, superficial thrombophlebitis, rash, urticaria, and angioedema. Proper injection techniques and site selection are emphasized to minimize these risks.",Less,Yes,2,1,,
CEPHALEXIN,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Cephalexin:
 

 1. **Warnings and Precautions (5.1 Hypersensitivity Reactions)**
  - **Summary**: Allergic reactions such as rash, urticaria, angioedema, anaphylaxis, erythema multiforme, Stevens-Johnson syndrome, or toxic epidermal necrolysis have been reported with the use of cephalexin.
  - **Association**: The drug itself is associated with these dermatological risks.
 

 2. **Adverse Reactions (6.1 Clinical Trials Experience)**
  - **Summary**: Hypersensitivity reactions, including rash and urticaria, have been reported in patients treated with cephalexin.
  - **Association**: The drug itself is associated with these dermatological reactions.
 

 3. **Patient Counseling Information (17 Allergic Reactions)**
  - **Summary**: Patients are advised that allergic reactions, including serious allergic reactions, could occur with cephalexin and require immediate treatment.
  - **Association**: The drug itself is associated with these dermatological risks.
 

 In summary, Cephalexin is associated with several dermatological and cutaneous risks and reactions, including rash, urticaria, angioedema, erythema multiforme, Stevens-Johnson syndrome, and toxic epidermal necrolysis. These reactions are directly linked to the use of the drug.",Most,Yes,1,1,,
DURVALUMAB,"### Summary of Dermatological and Cutaneous Risks and Reactions for IMFINZI (Durvalumab)
 

 1. **Immune-Mediated Dermatologic Adverse Reactions (Section 5.1)**
  - **General Statement**: IMFINZI can cause immune-mediated dermatologic adverse reactions, which may be severe or fatal. (IMFINZI is associated with this risk.)
  - **Specific Conditions**: Exfoliative dermatitis, including Stevens-Johnson Syndrome (SJS), Drug Rash with Eosinophilia and Systemic Symptoms (DRESS), and Toxic Epidermal Necrolysis (TEN), has occurred with PD-1/L-1 blocking antibodies. (IMFINZI is associated with this risk.)
  - **Management**: Topical emollients and/or topical corticosteroids may be adequate to treat mild to moderate non-exfoliative rashes. (IMFINZI is associated with this risk.)
  - **Action Based on Severity**: Withhold or permanently discontinue IMFINZI depending on severity. (IMFINZI is associated with this risk.)
 

 2. **IMFINZI as a Single Agent (Section 5.1)**
  - **Incidence**: Immune-mediated rash or dermatitis occurred in 1.8% (34/1889) of patients receiving IMFINZI, including Grade 3 (0.4%) adverse reactions. (IMFINZI caused this reaction.)
  - **Resolution and Discontinuation**: Events resolved in 19 of the 34 patients and resulted in permanent discontinuation in 2 patients. (IMFINZI caused this reaction.)
  - **Systemic Corticosteroids**: Systemic corticosteroids were required in all patients with immune-mediated rash or dermatitis. (IMFINZI caused this reaction.)
 

 3. **IMFINZI with Tremelimumab-actl (Section 5.1)**
  - **Incidence**: Immune-mediated rash or dermatitis occurred in 4.9% (19/388) of patients receiving IMFINZI in combination with tremelimumab-actl, including Grade 4 (0.3%) and Grade 3 (1.5%) adverse reactions. (IMFINZI in combination caused this reaction.)
  - **Resolution and Discontinuation**: Events resolved in 13 of the 19 patients and resulted in permanent discontinuation in 2 patients. (IMFINZI in combination caused this reaction.)
  - **Systemic Corticosteroids**: Systemic corticosteroids were required in all patients with immune-mediated rash or dermatitis; of these, 12 patients required high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). (IMFINZI in combination caused this reaction.)
  - **Other Immunosuppressants**: One patient received other immunosuppressants. (IMFINZI in combination caused this reaction.)
 

 4. **IMFINZI with Tremelimumab-actl and Platinum-Based Chemotherapy (Section 5.1)**
  - **Incidence**: Immune-mediated rash or dermatitis occurred in 7.2% (43/596) of patients receiving IMFINZI in combination with tremelimumab-actl and platinum-based chemotherapy, including Grade 3 (0.3%) adverse reactions. (IMFINZI in combination caused this reaction.)
  - **Resolution and Discontinuation**: Events resolved in 32 of the 43 patients and resulted in permanent discontinuation in 2 patients. (IMFINZI in combination caused this reaction.)
  - **Systemic Corticosteroids**: Systemic corticosteroids were required in all patients with immune-mediated rash or dermatitis. (IMFINZI in combination caused this reaction.)
 

 5. **Warnings and Precautions (Section 5.1)**
  - **General Statement**: IMFINZI can cause immune-mediated dermatologic adverse reactions. (IMFINZI is associated with this risk.)
 

 6. **Adverse Reactions in Clinical Trials (Section 6.1)**
  - **Stage III NSCLC - PACIFIC Study**: Rash occurred in 23% of patients treated with IMFINZI, compared to 12% in the placebo group. (IMFINZI caused this reaction.)
  - **Metastatic NSCLC - POSEIDON Study**: Rash occurred in 27% of patients treated with IMFINZI in combination with tremelimumab-actl and platinum-based chemotherapy, compared to 10% in the chemotherapy group. (IMFINZI in combination caused this reaction.)
  - **ES-SCLC - CASPIAN Study**: Rash occurred in 11% of patients treated with IMFINZI in combination with etoposide and either carboplatin or cisplatin, compared to 6% in the chemotherapy group. (IMFINZI in combination caused this reaction.)
  - **BTC - TOPAZ-1 Study**: Rash occurred in 23% of patients treated with IMFINZI in combination with gemcitabine and cisplatin, compared to 14% in the placebo group. (IMFINZI in combination caused this reaction.)
  - **uHCC - HIMALAYA Study**: Rash occurred in 32% of patients treated with IMFINZI in combination with tremelimumab-actl, compared to 57% in the sorafenib group. (IMFINZI in combination caused this reaction.)
 

 7. **Patient Counseling Information (Section 17)**
  - **Dermatological Reactions**: Advise patients to contact their healthcare provider immediately for signs or symptoms of severe dermatological reactions. (IMFINZI is associated with this risk.)
 

 ### Conclusion
 IMFINZI (durvalumab) is associated with various dermatological and cutaneous risks, including immune-mediated rash or dermatitis, exfoliative dermatitis, Stevens-Johnson Syndrome (SJS), Drug Rash with Eosinophilia and Systemic Symptoms (DRESS), and Toxic Epidermal Necrolysis (TEN). These reactions can be severe or fatal and may require systemic corticosteroids or other immunosuppressants for management. The incidence of these reactions varies depending on whether IMFINZI is used alone or in combination with other therapies.",Most,Yes,1,1,,
EPHEDRINE SULFATE,"The drug label for Ephedrine Sulfate Injection does not explicitly mention any dermatological or cutaneous risks or reactions associated with the drug itself. The sections of the label that discuss adverse reactions, drug interactions, and specific populations do not include any references to skin-related issues. Therefore, based on the provided drug label, there are no dermatological risks or reactions directly associated with the use of Ephedrine Sulfate Injection.",No,No,1,1,,
MARALIXIBAT CHLORIDE,"The drug label for LIVMARLI (maralixibat) does not explicitly mention any dermatological or cutaneous risks or reactions associated with the drug. The provided text focuses on other types of adverse reactions and warnings, such as hepatotoxicity, gastrointestinal issues, and fat-soluble vitamin deficiencies, but does not include any specific information about dermatological or cutaneous risks or reactions. 
 

 If you have any other specific concerns or need information on a different aspect of the drug, please let me know!",No,No,1,1,,
LOSARTAN POTASSIUM,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for COZAAR (losartan potassium):
 

 1. **Section 6.1 Clinical Trials Experience:**
  - **Skin and subcutaneous tissue disorders:**
  - **Urticaria:** The drug itself was associated with urticaria.
  - **Pruritus:** The drug itself was associated with pruritus.
  - **Rash:** The drug itself was associated with rash.
  - **Photosensitivity:** The drug itself was associated with photosensitivity.
 

 2. **Section 6.2 Postmarketing Experience:**
  - **Hypersensitivity:**
  - **Angioedema:** The drug itself was associated with angioedema, including swelling of the larynx and glottis, causing airway obstruction and/or swelling of the face, lips, pharynx, and/or tongue.
  - **Skin:**
  - **Erythroderma:** The drug itself was associated with erythroderma.
 

 3. **Patient Information:**
  - **Allergic reaction:** The drug itself was associated with allergic reactions, including symptoms such as swelling of the face, lips, throat, or tongue.
 

 In summary, COZAAR (losartan potassium) has been associated with several dermatological and cutaneous reactions, including urticaria, pruritus, rash, photosensitivity, angioedema, and erythroderma. These reactions have been observed both in clinical trials and postmarketing experience.",Most,Yes,2,1,,
TRAZODONE HYDROCHLORIDE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Trazodone Hydrochloride:
 

 1. **Section 6.1 Clinical Trials Experience:**
  - **Allergic Skin Condition/Edema:** 
  - **Summary:** Allergic skin conditions and edema were reported in 3% of inpatients and 7% of outpatients treated with trazodone hydrochloride.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 2. **Section 6.2 Postmarketing Experience:**
  - **Skin and subcutaneous tissue disorders:**
  - **Summary:** The following dermatological reactions have been identified during post-approval use of trazodone hydrochloride: alopecia, hirsutism, leukonychia, pruritus, psoriasis, rash, and urticaria.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 3. **Section 17 Patient Counseling Information:**
  - **Visual problems:**
  - **Summary:** Patients are advised to seek medical help if they experience eye pain, changes in vision, swelling, or redness in or around the eye.
  - **Association:** The drug itself was associated with these cutaneous reactions around the eye.
 

 In summary, Trazodone Hydrochloride is associated with several dermatological and cutaneous risks and reactions, including allergic skin conditions, edema, alopecia, hirsutism, leukonychia, pruritus, psoriasis, rash, urticaria, and cutaneous reactions around the eye.",Most,Yes,1,1,,
CEFUROXIME SODIUM,"### Summary of Dermatological and Cutaneous Risks and Reactions for Cefuroxime for Injection
 

 1. **Hypersensitivity Reactions**:
  - **Sentence**: ""Hypersensitivity reactions have been reported in fewer than 1% of the patients treated with Cefuroxime for Injection and include rash (1 in 125).""
  - **Summary**: The drug itself was associated with hypersensitivity reactions, including rash, in fewer than 1% of patients.
 

 2. **Pruritus, Urticaria, and Positive Coombs' Test**:
  - **Sentence**: ""Pruritus, urticaria, and positive Coombs' test each occurred in fewer than 1 in 250 patients, and, as with other cephalosporins, rare cases of anaphylaxis, drug fever, erythema multiforme, interstitial nephritis, toxic epidermal necrolysis, and Stevens-Johnson syndrome have occurred.""
  - **Summary**: The drug itself was associated with pruritus, urticaria, and positive Coombs' test in fewer than 1 in 250 patients. Rare cases of erythema multiforme, toxic epidermal necrolysis, and Stevens-Johnson syndrome have also been reported.
 

 3. **Cephalosporin-class Adverse Reactions**:
  - **Sentence**: ""In addition to the adverse reactions listed above that have been observed in patients treated with cefuroxime, the following adverse reactions and altered laboratory tests have been reported for cephalosporin-class antibiotics: Vomiting, abdominal pain, colitis, vaginitis including vaginal candidiasis, toxic nephropathy, hepatic dysfunction including cholestasis, aplastic anemia, hemolytic anemia, hemorrhage.""
  - **Summary**: The drug itself was associated with adverse reactions typical of cephalosporin-class antibiotics, which include various systemic reactions but also dermatological reactions like vaginitis including vaginal candidiasis.
 

 4. **Immune System Disorders**:
  - **Sentence**: ""Cutaneous vasculitis, angioedema, acute myocardial ischemia with or without myocardial infarction may occur as part of an allergic reaction.""
  - **Summary**: The drug itself was associated with cutaneous vasculitis and angioedema as part of allergic reactions.
 

 ### Conclusion
 Cefuroxime for Injection has been associated with several dermatological and cutaneous risks and reactions, including rash, pruritus, urticaria, erythema multiforme, toxic epidermal necrolysis, Stevens-Johnson syndrome, cutaneous vasculitis, and angioedema. These reactions are relatively rare but are significant considerations for patient safety.",Less,Yes,2,1,,
FOSINOPIRL SODIUM,"### Summary of Dermatological and Cutaneous Risks and Reactions for Fosinopril Sodium Tablets
 

 1. **General Dermatological Reactions:**
  - **Urticaria, rash, photosensitivity, pruritus:** These reactions were observed in patients treated with fosinopril sodium. 
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 2. **Specific Dermatological Reactions in Heart Failure Trials:**
  - **Pruritus:** This reaction was noted in patients treated with fosinopril sodium during heart failure trials.
  - **Association:** The drug itself was associated with this dermatological reaction.
 

 3. **Potential Adverse Effects Reported with ACE Inhibitors:**
  - **Bullous pemphigus, exfoliative dermatitis:** These severe dermatological conditions have been reported with ACE inhibitors, including fosinopril sodium.
  - **Association:** The drug itself was associated with these severe dermatological risks.
 

 4. **Other Clinical Events in Heart Failure Trials:**
  - **Rash:** This reaction was observed in patients treated with fosinopril sodium.
  - **Association:** The drug itself was associated with this dermatological reaction.
 

 ### Conclusion
 Fosinopril sodium tablets have been associated with various dermatological and cutaneous reactions, including urticaria, rash, photosensitivity, pruritus, bullous pemphigus, and exfoliative dermatitis. These reactions were observed in both hypertension and heart failure trials, indicating a direct association with the drug.",Most,Yes,1,1,,
FLUCICLOVINE F-18,"The drug label for Axumin mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Warnings and Precautions (Section 5.2 Hypersensitivity Reactions)**
  - **Sentence:** ""Hypersensitivity reactions including anaphylaxis may occur in patients who receive Axumin.""
  - **Summary:** The drug itself (Axumin) may cause hypersensitivity reactions, which can include dermatological reactions such as anaphylaxis.
 

 2. **Adverse Reactions (Section 6)**
  - **Sentence:** ""Most commonly reported adverse reactions are injection site pain, erythema, and dysgeusia.""
  - **Summary:** The drug itself (Axumin) is associated with dermatological reactions such as injection site erythema (redness).
 

 3. **Clinical Trials Experience (Section 6)**
  - **Sentence:** ""Adverse reactions were reported in ≤1% of subjects during clinical studies with Axumin. The most common adverse reactions were injection site pain, injection site erythema and dysgeusia.""
  - **Summary:** The drug itself (Axumin) caused dermatological reactions such as injection site erythema in clinical trials, although these reactions were reported in a small percentage (≤1%) of subjects.
 

 In summary, the drug Axumin is associated with causing dermatological reactions, specifically hypersensitivity reactions including anaphylaxis and injection site erythema. These reactions were observed in clinical trials and are noted as common adverse reactions.",Less,Yes,1,1,,
SONIDEGIB,"### Summary of Dermatological and Cutaneous Risks and Reactions for ODOMZO (sonidegib)
 

 1. **Adverse Reactions (Section 6)**
  - **Alopecia**: The drug itself was associated with alopecia, occurring in 53% of patients treated with ODOMZO 200 mg.
  - **Pruritus**: The drug itself was associated with pruritus, occurring in 10% of patients treated with ODOMZO 200 mg.
 

 2. **Clinical Trials Experience (Section 6.1)**
  - **Alopecia**: The drug itself was associated with a higher frequency of alopecia in patients treated with ODOMZO 800 mg compared to 200 mg.
  - **Pruritus**: The drug itself was associated with pruritus, occurring in 10% of patients treated with ODOMZO 200 mg.
 

 3. **Table 1: Adverse Reactions Occurring in ≥10% of Patients in BOLT (Section 6.1)**
  - **Alopecia**: The drug itself was associated with alopecia, occurring in 53% of patients treated with ODOMZO 200 mg.
  - **Pruritus**: The drug itself was associated with pruritus, occurring in 10% of patients treated with ODOMZO 200 mg.
 

 4. **Patient Counseling Information (Section 17)**
  - **Hair Loss**: The drug itself was associated with hair loss, which is listed as one of the most common side effects.
 

 ### Conclusion
 ODOMZO (sonidegib) is associated with several dermatological and cutaneous reactions, including alopecia and pruritus. These reactions were observed in clinical trials and are listed among the most common side effects of the drug.",Most,Yes,1,1,,
