generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,
FAMOTIDINE,"The drug label for Famotidine Tablets USP discusses infertility risks in the section titled ""Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **""In studies with rats given oral doses of up to 2000 mg/kg/day or intravenous doses of up to 200 mg/kg/day, fertility and reproductive performance were not affected.""**
  - **Summary:** The drug itself was not associated with or did not cause infertility risk in rats at high doses.
 

 2. **""Reproductive studies have been performed in rats and rabbits at oral doses of up to 2000 and 500 mg/kg/day, respectively and in both species at I.V. doses of up to 200 mg/kg/day, and have revealed no significant evidence of impaired fertility or harm to the fetus due to famotidine.""**
  - **Summary:** The drug itself was not associated with or did not cause infertility risk in rats and rabbits at high doses.
 

 In conclusion, the drug label indicates that Famotidine was not associated with or did not cause infertility risks in the animal studies conducted.",No,No,1,1,
PYRAZINAMIDE TABLET,"The drug label for Pyrazinamide includes a section on ""Carcinogenicity, Mutagenicity, Impairment of Fertility,"" which discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **""Pyrazinamide was not carcinogenic in rats or male mice and no conclusion was possible for female mice due to insufficient numbers of surviving control mice.""**
  - **Summary:** The drug itself was not associated with causing cancer in rats or male mice, and no conclusion could be drawn for female mice.
 

 2. **""Pyrazinamide was not mutagenic in the Ames bacterial test, but induced chromosomal aberrations in human lymphocyte cell cultures.""**
  - **Summary:** The drug itself was not associated with causing mutations in the Ames bacterial test but was associated with causing chromosomal aberrations in human lymphocyte cell cultures.
 

 3. **""Animal reproduction studies have not been conducted with pyrazinamide. It is also not known whether pyrazinamide can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""**
  - **Summary:** The drug itself has not been studied for its effects on animal reproduction, and it is not known whether it is associated with causing fetal harm or affecting reproductive capacity in humans.
 

 In summary, the drug label indicates that pyrazinamide has not been conclusively associated with causing infertility, but there are concerns due to its ability to induce chromosomal aberrations in human cell cultures and the lack of comprehensive reproductive studies.",Less,No,1,3,
LEVOCARNITINE ORAL,"The drug label for Levocarnitine Oral Solution, USP includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **Mutagenicity tests performed in Salmonella typhimurium, Saccharomyces cerevisiae, and Schizosaccharomyces pombe indicate that levocarnitine is not mutagenic.**
  - **Summary:** The drug itself was not associated with mutagenicity, which is a factor that could potentially lead to infertility.
 

 2. **No long-term animal studies have been performed to evaluate the carcinogenic potential of levocarnitine.**
  - **Summary:** The drug itself has not been studied for long-term carcinogenic potential, so no direct association with infertility risk can be made.
 

 3. **Reproductive studies have been performed in rats and rabbits at doses up to 3.8 times the human dose on the basis of surface area and have revealed no evidence of impaired fertility or harm to the fetus due to levocarnitine.**
  - **Summary:** The drug itself was not associated with or did not cause infertility in animal studies.
 

 In conclusion, the drug label indicates that levocarnitine has not been associated with or caused infertility based on the available mutagenicity and reproductive studies. However, it also notes the absence of long-term carcinogenic studies, which means that potential long-term effects on fertility have not been fully evaluated.",No,No,1,1,
TRIHEXYPHENIDYL HYDROCHLORIDE,"The drug label for Trihexyphenidyl Hydrochloride Oral Solution USP includes the following information related to infertility risks:
 

 1. **Carcinogenesis, Mutagenesis, Impairment of Fertility Section:**
  - ""No carcinogenicity studies or adequate genotoxicity or fertility studies have been conducted for trihexyphenidyl.""
  - **Summary:** There is no information available on whether the drug itself is associated with or causes infertility because no fertility studies have been conducted.
 

 2. **Pregnancy Section:**
  - ""Animal reproduction studies to evaluate teratogenic and embryotoxic potential have not been conducted with trihexyphenidyl.""
  - **Summary:** There is no information available on whether the drug itself is associated with or causes infertility because no animal reproduction studies have been conducted.
  - ""It is also not known whether trihexyphenidyl can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""
  - **Summary:** It is not known if the drug itself is associated with or causes infertility because its effects on reproduction capacity are unknown.
 

 3. **Nursing Mothers Section:**
  - ""As with other anticholinergics, trihexyphenidyl may cause suppression of lactation.""
  - **Summary:** The drug itself may be associated with suppression of lactation, which could indirectly affect fertility by impacting breastfeeding.
 

 In summary, the drug label indicates that there is no definitive information on whether Trihexyphenidyl Hydrochloride itself is associated with or causes infertility due to the lack of specific studies on fertility and reproduction. However, it does mention that the drug may cause suppression of lactation, which could indirectly affect fertility.",Less,No,2,2,lack of study
BETAXOLOL,"The drug label for Betaxolol Tablets USP includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses the potential risks related to infertility. Here is a summary of the relevant parts:
 

 1. **Sentence:** ""Betaxolol did not adversely affect fertility or mating performance of male or female rats at doses up to 256 mg/kg/day (380 × MRHD).""
  - **Summary:** The drug itself was not associated with or did not cause infertility risks in male or female rats at doses up to 256 mg/kg/day.
 

 2. **Sentence:** ""In a study in which pregnant rats received betaxolol at doses of 4, 40, or 400 mg/kg/day, the highest dose (600 × MRHD) was associated with increased postimplantation loss, reduced litter size and weight, and an increased incidence of skeletal and visceral abnormalities, which may have been a consequence of drug-related maternal toxicity.""
  - **Summary:** The drug itself was associated with increased postimplantation loss, reduced litter size and weight, and increased skeletal and visceral abnormalities at the highest dose, potentially due to drug-related maternal toxicity.
 

 3. **Sentence:** ""Other than a possible increased incidence of incomplete descent of testes and sternebral reductions, betaxolol at 4 mg/kg/day and 40 mg/kg/day (6 × MRHD and 60 × MRHD) caused no fetal abnormalities.""
  - **Summary:** The drug itself was not associated with or did not cause significant fetal abnormalities at lower doses, except for a possible increased incidence of incomplete descent of testes and sternebral reductions.
 

 4. **Sentence:** ""In a second study with a different strain of rat, 200 mg betaxolol/kg/day (300 × MRHD) was associated with maternal toxicity and an increase in resorptions, but no teratogenicity.""
  - **Summary:** The drug itself was associated with maternal toxicity and an increase in resorptions at a high dose, but it did not cause teratogenicity.
 

 5. **Sentence:** ""In a peri- and postnatal study in rats at doses of 4, 32, and 256 mg betaxolol/kg/day (380 × MRHD), the highest dose was associated with a marked increase in total litter loss within 4 days postpartum.""
  - **Summary:** The drug itself was associated with a marked increase in total litter loss at the highest dose.
 

 6. **Sentence:** ""In surviving offspring, growth and development were also affected.""
  - **Summary:** The drug itself was associated with adverse effects on the growth and development of surviving offspring at the highest dose.
 

 In summary, while Betaxolol did not adversely affect fertility or mating performance in rats at doses up to 256 mg/kg/day, it was associated with increased postimplantation loss, reduced litter size and weight, increased skeletal and visceral abnormalities, maternal toxicity, increased resorptions, and marked litter loss at higher doses.",Less,No,1,1,
VELAGLUCERASE ALFA,"The drug label for VPRIV (velaglucerase alfa) includes information on infertility risks in the section titled ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Long-term studies in animals to evaluate carcinogenic potential or studies to evaluate mutagenic potential have not been performed with velaglucerase alfa.**
  - **Summary:** No long-term studies have been conducted to assess whether the drug itself causes cancer or genetic mutations.
 

 2. **In a fertility study in male and female rats, velaglucerase alfa did not cause any significant adverse effect on male or female fertility parameters up to a maximum intravenous dose of 17 mg/kg (102 mg/m², about 1.8 times the recommended human dose of 60 Units/kg based on the body surface area).**
  - **Summary:** The drug itself was not associated with or did not cause infertility in male or female rats at doses up to 1.8 times the recommended human dose.
 

 In summary, the drug label indicates that velaglucerase alfa was not associated with or did not cause infertility in animal studies.",No,No,1,1,
AMOXICILLIN ORAL SUSP,"The drug label for Amoxicillin Oral Suspension includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility"" that discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **Long-term studies in animals have not been performed to evaluate carcinogenic potential.**
  - **Summary:** No information is available on whether the drug itself is associated with or causes carcinogenic effects, as long-term studies have not been conducted.
 

 2. **Studies to detect mutagenic potential of Amoxicillin alone have not been conducted; however, the following information is available from tests on a 4:1 mixture of Amoxicillin and potassium clavulanate.**
  - **Summary:** The mutagenic potential of the drug itself has not been studied, so it is not clear if the drug is associated with or causes mutagenic effects.
 

 3. **Amoxicillin and potassium clavulanate was non-mutagenic in the Ames bacterial mutation assay, and the yeast gene conversion assay.**
  - **Summary:** The drug, when combined with potassium clavulanate, was not associated with or did not cause mutagenic effects in these specific tests.
 

 4. **Amoxicillin and clavulanate potassium was weakly positive in the mouse lymphoma assay, but the trend toward increased mutation frequencies in this assay occurred at doses that were also associated with decreased cell survival.**
  - **Summary:** The drug, when combined with potassium clavulanate, showed a weak association with mutagenic effects in this assay, but this was at doses that also caused decreased cell survival.
 

 5. **Amoxicillin and clavulanate potassium was negative in the mouse micronucleus test and in the dominant lethal assay in mice.**
  - **Summary:** The drug, when combined with potassium clavulanate, was not associated with or did not cause mutagenic effects in these tests.
 

 6. **Potassium clavulanate alone was tested in the Ames bacterial mutation assay and in the mouse micronucleus test, and was negative in each of these assays.**
  - **Summary:** Potassium clavulanate alone was not associated with or did not cause mutagenic effects in these tests.
 

 7. **In a multi-generation reproduction study in rats, no impairment of fertility or other adverse reproductive effects were seen at doses up to 500 mg/kg (approximately 2 times the 3 g human dose based on body surface area).**
  - **Summary:** The drug itself was not associated with or did not cause infertility or other adverse reproductive effects in this animal study.
 

 In conclusion, the drug label indicates that Amoxicillin, either alone or in combination with potassium clavulanate, has not been shown to cause infertility or adverse reproductive effects based on the available studies.",No,No,1,1,
SELUMETINIB,"The drug label for KOSELUGO (selumetinib) discusses infertility risks in the following sections:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Impairment of Fertility:** This section states that KOSELUGO can cause fetal harm when administered to a pregnant woman. However, it does not explicitly mention infertility risks directly associated with the drug itself.
 

 2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Impairment of Fertility:** In a 6-month mouse study, selumetinib did not affect male mating performance at any dose up to 20 mg/kg twice daily (approximately 33-times the human exposure based on AUC at the clinical dose of 25 mg/m² twice daily). This indicates that the drug itself was not associated with infertility risk in male mice.
  - In female mice exposed to selumetinib at 12.5 mg/kg twice daily, mating performance and fertility were not affected. This indicates that the drug itself was not associated with infertility risk in female mice.
  - The NOAEL (No Observed Adverse Effect Level) for both maternal toxicity and effects on reproductive performance was 2.5 mg/kg twice daily (approximately 5-times the human exposure based on AUC at the clinical dose of 25 mg/m² twice daily). This further supports that the drug itself was not associated with infertility risk at this exposure level.
 

 In summary, the drug label indicates that KOSELUGO (selumetinib) was not associated with or did not cause infertility risks in the animal studies conducted.",No,No,3,3,
APRACLONIDINE HYDROCHLORIDE,"The drug label for IOPIDINE 1% Ophthalmic Solution includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses the potential risks related to infertility. Here is a summary of the relevant parts:
 

 1. **Sentence:** ""Reproduction and fertility studies in rats showed no adverse effect on male or female fertility at a dose of 0.5 mg/kg/day (25 times the maximum recommended human dose).""
  - **Summary:** The drug itself was not associated with or did not cause infertility in rats at a dose significantly higher than the maximum recommended human dose.
 

 In conclusion, the drug label indicates that IOPIDINE 1% Ophthalmic Solution was not associated with or did not cause infertility in the animal studies conducted.",No,No,1,1,
ELETRIPTAN HBR,"The drug label for Eletriptan HBR discusses infertility risks in the section titled ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Study on Fertility and Early Embryonic Development in Rats:**
  - **Summary:** Eletriptan was administered to male and female rats prior to and throughout mating and continuing in females to implantation.
  - **Infertility Risk:** The drug itself was associated with prolongation of the estrous cycle and decreases in the number of corpora lutea, implants, and viable fetuses per dam at the highest dose tested (200 mg/kg/day). This indicates that Eletriptan caused these infertility risks.
  - **Male Fertility Parameters:** The drug itself did not affect male fertility parameters.
 

 2. **Plasma Exposures:**
  - **Summary:** Plasma exposures (AUC) were 4, 8, and 16 times in males and 7, 14, and 28 times in females, respectively, that in humans at the maximum recommended human dose (MRHD).
  - **Infertility Risk:** This information provides context for the dosage levels at which the drug caused infertility risks in the study.
 

 In summary, Eletriptan itself was associated with and caused infertility risks in female rats at high doses, specifically by prolonging the estrous cycle and decreasing the number of corpora lutea, implants, and viable fetuses. Male fertility parameters were not affected by the drug.",Most,Yes,1,1,
LUSPATERCEPT,"The drug label for REBLOZYL (luspatercept-aamt) discusses infertility risks in the following sections:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Infertility:**
  - **Females:** ""Based on findings in animals, REBLOZYL may impair female fertility [see Nonclinical Toxicology (13.1)]. Adverse effects on fertility in female rats were reversible after a 14-week recovery period.""
  - **Summary:** The drug itself was associated with the risk of impairing female fertility based on animal studies. However, these adverse effects were reversible after a 14-week recovery period.
 

 2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""In a combined male and female fertility and early embryonic development study in rats, luspatercept-aamt was administered subcutaneously to animals at doses of 1 to 15 mg/kg. There were significant reductions in the average numbers of corpora lutea, implantations, and viable embryos in luspatercept-aamt-treated females. Effects on female fertility were observed at the highest dose with exposures (based on AUC) approximately 7-times the MRHD of 1.75 mg/kg. Adverse effects on fertility in female rats were reversible after a 14-week recovery period. No adverse effects were noted in male rats.""
  - **Summary:** The drug itself caused significant reductions in fertility parameters (corpora lutea, implantations, and viable embryos) in female rats at high doses. These adverse effects were reversible after a 14-week recovery period. The drug did not cause adverse effects on male fertility.
 

 3. **Patient Information Section:**
  - ""REBLOZYL may cause fertility problems in females. This could affect your ability to become pregnant. Talk to your healthcare provider if this is a concern for you.""
  - **Summary:** The drug itself may cause fertility problems in females, potentially affecting their ability to become pregnant.
 

 In summary, REBLOZYL is associated with the risk of impairing female fertility based on animal studies, and these effects were reversible after a recovery period. No adverse effects on male fertility were noted. The drug may cause fertility problems in females, potentially affecting their ability to become pregnant.",Most,Yes,1,1,
COBICISTAT,"The drug label for TYBOST (cobicistat) includes a section on nonclinical toxicology that discusses the potential impact of the drug on fertility. Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility**:
  - **Sentence**: ""Cobicistat did not affect fertility in male or female rats at daily exposures (AUC) approximately 3-fold higher than human exposures at the recommended 150 mg daily dose.""
  - **Summary**: The drug itself was not associated with or did not cause infertility in male or female rats at exposure levels higher than those recommended for humans.
 

  - **Sentence**: ""Fertility was normal in the offspring of rats exposed daily from before birth (in utero) through sexual maturity at daily exposures (AUC) of approximately similar human exposures at the recommended 150 mg daily dose.""
  - **Summary**: The drug itself was not associated with or did not cause infertility in the offspring of rats exposed to the drug from before birth through sexual maturity at exposure levels similar to those recommended for humans.
 

 In conclusion, the drug label indicates that TYBOST (cobicistat) was not associated with or did not cause infertility in the animal studies conducted.",No,No,1,1,
EXENATIDE,"The drug label for BYDUREON BCISE (exenatide) does not explicitly discuss infertility risks in humans. However, it does provide information on nonclinical toxicology studies related to fertility in animals. Here is a summary of the relevant parts:
 

 1. **Nonclinical Toxicology - Impairment of Fertility (Section 13.1)**
  - **Sentence:** ""In mouse fertility studies with exenatide, the active ingredient in BYDUREON BCISE, at twice-daily subcutaneous doses of 6, 68, or 760 mcg/kg/day, males were treated for 4 weeks prior to and throughout mating, and females were treated 2 weeks prior to mating and throughout mating until gestation day 7.""
  - **Summary:** This sentence describes the design of the fertility studies in mice but does not state whether the drug was associated with or caused infertility.
  - **Sentence:** ""No adverse effect on fertility was observed at 760 mcg/kg/day, a systemic exposure 163-times the human exposure resulting from the recommended dose of 2 mg/week, based on AUC.""
  - **Summary:** This sentence states that the drug (exenatide) was not associated with or did not cause infertility in mice at the tested doses.
 

 In summary, the drug label indicates that exenatide, the active ingredient in BYDUREON BCISE, was not associated with or did not cause infertility in animal studies (mice) at doses significantly higher than the recommended human dose. There is no mention of infertility risks in humans.",No,No,1,1,
SUVOREXANT,"The drug label for BELSOMRA (suvorexant) includes a section on nonclinical toxicology that discusses the potential risks of infertility associated with the drug. Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility**:
  - **Sentence**: ""In two separate studies, suvorexant was orally administered to male and female rats at doses of 80, 160, and 325 mg/kg/day or 100, 300, and 1200 mg/kg/day [males] and 30, 80, and 325 mg/kg/day or 25, 75, and 1200 mg/kg/day [females] prior to and throughout mating and continuing in females to gestation day 7.""
  - **Summary**: The drug itself was administered to rats in studies to assess its impact on fertility.
  - **Sentence**: ""Increases in pre-implantation loss and resorption and decreases in live fetuses were observed at the highest doses of 325 or 1200 mg/kg/day, when treated males and females were mated with untreated animals.""
  - **Summary**: The drug itself caused increases in pre-implantation loss and resorption and decreases in live fetuses at high doses.
  - **Sentence**: ""The NOAELs for fertility are 160 and 80 mg/kg/day in males and females, respectively, which are approximately 20 times the MRHD based on AUC.""
  - **Summary**: The drug itself did not cause fertility issues at doses up to 160 mg/kg/day in males and 80 mg/kg/day in females, which are significantly higher than the maximum recommended human dose.
 

 In summary, the drug label indicates that BELSOMRA (suvorexant) was associated with infertility risks at high doses in animal studies, specifically causing increases in pre-implantation loss, resorption, and decreases in live fetuses. However, no adverse effects on fertility were observed at doses up to 160 mg/kg/day in males and 80 mg/kg/day in females, which are much higher than the doses used in humans.",Less,Yes,1,1,
CHOLESTYRAMINE,"The drug label for Cholestyramine for Oral Suspension, USP includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **Carcinogenesis, Mutagenesis, Impairment of Fertility Section:**
  - **Sentence:** ""In studies conducted in rats in which cholestyramine resin was used as a tool to investigate the role of various intestinal factors, such as fat, bile salts and microbial flora, in the development of intestinal tumors induced by potent carcinogens, the incidence of such tumors was observed to be greater in cholestyramine resin-treated rats than in control rats.""
  - **Summary:** This sentence does not discuss infertility risks directly but mentions an increased incidence of tumors in cholestyramine-treated rats. The drug itself was associated with a higher incidence of tumors in this context.
  
  - **Sentence:** ""The relevance of this laboratory observation from studies in rats to the clinical use of cholestyramine resin is not known.""
  - **Summary:** This sentence states that the relevance of the rat study findings to human use is unknown. It does not directly discuss infertility risks or associate the drug with infertility.
 

  - **Sentence:** ""In the LRC-CPPT study referred to above, the total incidence of fatal and nonfatal neoplasms was similar in both treatment groups.""
  - **Summary:** This sentence indicates that in a human study, the incidence of neoplasms was similar between the cholestyramine and placebo groups. It does not discuss infertility risks or associate the drug with infertility.
 

  - **Sentence:** ""When the many different categories of tumors are examined, various alimentary system cancers were somewhat more prevalent in the cholestyramine group.""
  - **Summary:** This sentence notes a higher prevalence of alimentary system cancers in the cholestyramine group but does not discuss infertility risks or associate the drug with infertility.
 

  - **Sentence:** ""The small numbers and the multiple categories prevent conclusions from being drawn.""
  - **Summary:** This sentence states that no definitive conclusions can be drawn due to the small numbers and multiple categories. It does not discuss infertility risks or associate the drug with infertility.
 

  - **Sentence:** ""However, in view of the fact that cholestyramine resin is confined to the GI tract and not absorbed and in light of the animal experiments referred to above, a six-year post-trial follow-up of the LRC-CPPT patient population has been completed (a total of 13.4 years of in-trial plus post-trial follow-up) and revealed no significant difference in the incidence of cause-specific mortality or cancer morbidity between cholestyramine and placebo treated patients.""
  - **Summary:** This sentence indicates that long-term follow-up revealed no significant difference in mortality or cancer morbidity between cholestyramine and placebo groups. It does not discuss infertility risks or associate the drug with infertility.
 

 In summary, the drug label does not provide any direct evidence or statements associating cholestyramine with infertility risks. The section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility"" primarily discusses tumor incidence and cancer morbidity without mentioning infertility.",No,No,1,1,
FOSINOPRIL,"The drug label for Fosinopril Sodium Tablets, USP, includes a section on ""Carcinogenesis, Mutagenesis, and Impairment of Fertility,"" which discusses the potential risks related to infertility. Here is a summary of the relevant parts:
 

 1. **No evidence of a carcinogenic effect**:
  - **Summary**: The drug itself was not associated with a carcinogenic effect when given to mice and rats for up to 24 months at high doses.
 

 2. **Neither fosinopril nor the active fosinoprilat was mutagenic**:
  - **Summary**: The drug itself was not associated with mutagenic effects in various tests, including the Ames microbial mutagen test, the mouse lymphoma forward mutation assay, and a mitotic gene conversion assay.
 

 3. **Fosinopril was also not genotoxic**:
  - **Summary**: The drug itself was not associated with genotoxic effects in a mouse micronucleus test in vivo and a mouse bone marrow cytogenetic assay in vivo.
 

 4. **In the Chinese hamster ovary cell cytogenetic assay**:
  - **Summary**: The drug itself increased the frequency of chromosomal aberrations at toxic concentrations without metabolic activation, but not at lower concentrations or with metabolic activation.
 

 5. **No adverse reproductive effects in male and female rats**:
  - **Summary**: The drug itself was not associated with adverse reproductive effects in male and female rats treated with high doses.
 

 6. **No effect on pairing time prior to mating in rats until a toxic dose was given**:
  - **Summary**: The drug itself caused a slight increase in pairing time at a toxic dose, but not at lower doses.
 

 In summary, the drug label indicates that Fosinopril Sodium itself was not associated with or did not cause infertility risks at non-toxic doses. However, at toxic doses, there was a slight increase in pairing time prior to mating in rats.",Less,No,1,2,
DESVENLAFAXINE SUCCINATE,"The drug label for PRISTIQ (desvenlafaxine) includes information about infertility risks in the following sections:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility**:
  - **Impairment of Fertility**: 
  - ""When desvenlafaxine succinate was administered orally to male and female rats, fertility was reduced at the high dose of 300 mg/kg/day, which is 10 (males) and 19 (females) times the AUC exposure at an adult human dose of 100 mg per day.""
  - **Summary**: The drug itself was associated with reduced fertility in rats at high doses.
  - ""There was no effect on fertility at 100 mg/kg/day, which is 3 (males) or 5 (females) times the AUC exposure at an adult human dose of 100 mg per day.""
  - **Summary**: The drug itself was not associated with reduced fertility in rats at lower doses.
  - ""These studies did not address reversibility of the effect on fertility.""
  - **Summary**: The drug label does not provide information on whether the infertility risk is reversible.
  - ""The relevance of these findings to humans is not known.""
  - **Summary**: It is unclear if the infertility risk observed in rats applies to humans.
 

 2. **Section 8.4 Pediatric Use**:
  - **Juvenile Animal Studies**:
  - ""In a second juvenile animal study, male and female rats were administered desvenlafaxine (75, 225 or 675 mg/kg/day) for 8–9 weeks starting on PND 22 and were mated with naïve counterparts. Delays in sexual maturation and decreased fertility, number of implantation sites and total live embryos were observed in treated females at all doses.""
  - **Summary**: The drug itself was associated with decreased fertility and delays in sexual maturation in juvenile rats at all tested doses.
  - ""The LOAEL for these findings is 75 mg/kg/day which was associated with an AUC twice the levels measured with a pediatric dose of 100 mg/day.""
  - **Summary**: The lowest observed adverse effect level (LOAEL) for decreased fertility in juvenile rats was associated with a dose that is twice the exposure level of a pediatric dose in humans.
  - ""These findings were reversed at the end of a 4-week recovery period.""
  - **Summary**: The infertility risk observed in juvenile rats was reversible after a 4-week recovery period.
  - ""The relevance of these findings to humans is not known.""
  - **Summary**: It is unclear if the infertility risk observed in juvenile rats applies to humans.
 

 In summary, the drug label indicates that PRISTIQ was associated with reduced fertility in animal studies (both adult and juvenile rats) at certain doses. However, the relevance of these findings to humans is not known, and in some cases, the infertility risk was reversible in animal studies.",Most,Yes,1,1,
ILOPROST,"The drug label for AURLUMYN (iloprost) includes information on infertility risks in the section ""13 NONCLINICAL TOXICOLOGY,"" specifically under ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **""Iloprost was not mutagenic in bacterial and mammalian cells in the presence or absence of extrinsic metabolic activation.""**
  - **Summary:** The drug itself was not associated with mutagenicity.
 

 2. **""Iloprost did not cause chromosomal aberrations in vitro in human lymphocytes and was not clastogenic in vivo in NMRI/SPF mice.""**
  - **Summary:** The drug itself was not associated with causing chromosomal aberrations or clastogenic effects.
 

 3. **""There was no evidence of a tumorigenic effect of iloprost clathrate (13% iloprost by weight) in Sprague-Dawley rats dosed orally for up to 8 months at doses of up to 125 mg/kg/day (Cmax of 45 ng/mL serum, 556 times the Cmax at maximum recommended human dose), followed by 16 months at 100 mg/kg/day, or in Crl:CD-1® (ICR)BR albino mice dosed orally for up to 24 months at doses of up to 125 mg/kg/day (Cmax of 156 ng/mL serum, 1926 times the Cmax at maximum recommended human dose).""**
  - **Summary:** The drug itself was not associated with tumorigenic effects in long-term studies in rats and mice.
 

 4. **""Fertility of males or females was not impaired in Han-Wistar rats at intravenous doses up to 1 mg/kg/day, 225 times the maximum recommended daily dose of Iloprost on a mg/m2 basis.""**
  - **Summary:** The drug itself was not associated with impaired fertility in male or female rats at high doses.
 

 In summary, the drug label indicates that iloprost was not associated with or did not cause infertility risks based on the nonclinical studies conducted.",No,No,1,1,
NORETHINDRONE,"The drug label for ORTHO MICRONOR® (norethindrone) discusses infertility risks in several sections. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Delayed Follicular Atresia/Ovarian Cysts**:
  - **Summary**: The label mentions that if follicular development occurs, atresia of the follicle is sometimes delayed, and the follicle may continue to grow beyond its normal size. These enlarged follicles generally disappear spontaneously and are often asymptomatic, but in rare cases, they may twist or rupture, requiring surgical intervention.
  - **Association with Drug**: The drug is associated with the risk of delayed follicular atresia and ovarian cysts, but it does not explicitly state that the drug causes infertility.
 

 2. **Ectopic Pregnancy**:
  - **Summary**: The incidence of ectopic pregnancies for progestin-only oral contraceptive users is 5 per 1000 woman-years. Up to 10% of pregnancies reported in clinical studies of progestin-only oral contraceptive users are extrauterine. Healthcare professionals should be alert to the possibility of an ectopic pregnancy in women who become pregnant or complain of lower abdominal pain while on progestin-only oral contraceptives.
  - **Association with Drug**: The drug is associated with an increased risk of ectopic pregnancy, which can impact fertility, but it does not explicitly state that the drug causes infertility.
 

 3. **Fertility Following Discontinuation**:
  - **Summary**: The limited available data indicate a rapid return of normal ovulation and fertility following discontinuation of progestin-only oral contraceptives.
  - **Association with Drug**: The drug is not associated with long-term infertility. Fertility is expected to return rapidly after discontinuation.
 

 4. **Cancer of the Reproductive Organs and Breasts**:
  - **Summary**: Some studies in women who use combined oral contraceptives that contain both estrogen and a progestin have reported an increase in the risk of developing breast cancer, particularly at a younger age and apparently related to the duration of use. There is insufficient data to determine whether the use of POPs similarly increases this risk.
  - **Association with Drug**: The drug is not explicitly associated with causing infertility due to cancer of the reproductive organs and breasts. The risk is mentioned in the context of combined oral contraceptives, and there is insufficient data for progestin-only pills.
 

 5. **General Precautions**:
  - **Summary**: Patients should be counseled that this product does not protect against HIV infection (AIDS) and other sexually transmitted diseases.
  - **Association with Drug**: This statement does not discuss infertility risks directly related to the drug.
 

 In summary, the drug label for ORTHO MICRONOR® (norethindrone) associates the drug with risks of delayed follicular atresia, ovarian cysts, and ectopic pregnancy, which can impact fertility. However, it does not explicitly state that the drug causes long-term infertility, and it mentions that fertility is expected to return rapidly after discontinuation.",Less,No,1,2,
