generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,My score
DACOMITINIB,"### Summary of Dermatological and Cutaneous Risks and Reactions for VIZIMPRO (Dacomitinib)
 

 1. **Warnings and Precautions (Section 5.3)**
  - **Rash and Exfoliative Skin Reactions**: 
  - **Association**: Rash and exfoliative skin reactions occurred in patients treated with VIZIMPRO.
  - **Incidence**: Rash occurred in 78% of the 394 VIZIMPRO-treated patients; Grade 3 or 4 rash was reported in 21% of patients. Exfoliative skin reactions of any severity were reported in 7% of patients. Grade 3 or 4 exfoliative skin reactions were reported in 1.8% of patients.
  - **Management**: Withhold VIZIMPRO for persistent Grade 2 or any Grade 3 or 4 dermatologic adverse reaction until recovery to less than or equal to Grade 1 severity, then resume VIZIMPRO at the same or a reduced dose depending on the severity of the dermatologic adverse reaction.
  - **Sun Exposure**: The incidence and severity of rash and exfoliative skin reactions may increase with sun exposure. Initiate use of moisturizers and appropriate measures to limit sun exposure at the time of initiation of VIZIMPRO. Upon development of Grade 1 rash, initiate treatment with topical antibiotics and topical steroids. Initiate oral antibiotics for Grade 2 or more severe dermatologic adverse reactions.
 

 2. **Adverse Reactions (Section 6.1)**
  - **Clinical Trials Experience**:
  - **Incidence**: The most common (>20%) adverse reactions in patients treated with VIZIMPRO included rash (69%), dry skin (30%), and pruritus (21%).
  - **Serious Adverse Reactions**: The most common (≥1%) serious adverse reactions included rash (23%).
  - **Dose Reductions**: The most frequent (>5%) adverse reactions leading to dose reductions included rash (29%).
  - **Permanent Discontinuation**: The most common (>0.5%) adverse reactions leading to permanent discontinuation of VIZIMPRO included rash (2.6%).
 

 3. **Patient Counseling Information (Section 17)**
  - **Dermatologic Adverse Reactions**:
  - **Advice**: Advise patients to initiate use of moisturizers and to minimize sun exposure with protective clothing and use of sunscreen at the time of initiation of VIZIMPRO. Advise patients to contact their healthcare provider immediately to report new or worsening rash, erythematous and exfoliative reactions.
 

 4. **Patient Information Leaflet**
  - **Skin Reactions**:
  - **Commonality**: Skin reactions are common with VIZIMPRO and can be severe. These skin reactions may include dry skin, redness, rash, acne, itching, and peeling or blistering of the skin.
  - **Management**: Use moisturizers every day when taking VIZIMPRO. Use sunscreen and wear protective clothing that covers the skin while exposed to sunlight. Healthcare providers may prescribe other medicines to help with skin reactions. Patients should report any worsening skin reactions to their healthcare provider immediately.
 

 ### Conclusion
 VIZIMPRO (dacomitinib) is associated with several dermatological and cutaneous risks, including rash, dry skin, pruritus, and exfoliative skin reactions. These reactions can be severe and may require dose adjustments or discontinuation of the drug. Patients are advised to use moisturizers, limit sun exposure, and report any worsening skin conditions to their healthcare provider.",Most,Yes,1,1,,
DOXY 100(TM) DOXYCYCLINE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Doxycycline
 

 1. **Warnings Section:**
  - **Severe Skin Reactions:** The drug itself has been associated with severe skin reactions, such as exfoliative dermatitis, erythema multiforme, Stevens-Johnson syndrome, toxic epidermal necrolysis, and drug reaction with eosinophilia and systemic symptoms (DRESS). If these severe skin reactions occur, doxycycline should be discontinued immediately and appropriate therapy should be instituted.
 

 2. **Photosensitivity:**
  - **Photosensitivity Reaction:** The drug itself has been associated with photosensitivity, which is manifested by an exaggerated sunburn reaction. Patients exposed to direct sunlight or ultraviolet light should be advised that this reaction can occur with tetracycline drugs, including doxycycline, and treatment should be discontinued at the first evidence of skin erythema.
 

 3. **Adverse Reactions Section:**
  - **Maculopapular and Erythematous Rashes:** The drug itself has been associated with maculopapular and erythematous rashes.
  - **Exfoliative Dermatitis:** The drug itself has been associated with exfoliative dermatitis, although it is uncommon.
  - **Photosensitivity:** The drug itself has been associated with photosensitivity, as discussed in the warnings section.
 

 ### Conclusion
 Doxycycline is associated with several dermatological and cutaneous risks, including severe skin reactions, photosensitivity, maculopapular and erythematous rashes, and exfoliative dermatitis. These reactions necessitate careful monitoring and, in some cases, discontinuation of the drug.",Most,Yes,1,1,,
USODIOL,"The drug label for Ursodiol mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Adverse Reactions - Gallstone Prevention**:
  - **Alopecia**: The label reports that alopecia (hair loss) occurred in 5.3% of patients taking Ursodiol for gallstone prevention, compared to 2.5% in the placebo group. This indicates that the drug itself was associated with an increased incidence of alopecia.
 

 2. **Carcinogenesis, Mutagenesis, Impairment of Fertility**:
  - **Dietary administration of lithocholic acid to chickens**: The label mentions that dietary administration of lithocholic acid (a metabolite of Ursodiol) to chickens is reported to cause hepatic adenomatous hyperplasia. This is not directly related to dermatological risks in humans but indicates a potential risk associated with a metabolite of the drug.
 

 In summary:
 - **Alopecia**: The drug itself was associated with an increased incidence of alopecia in patients undergoing treatment for gallstone prevention.
 - **Lithocholic acid in chickens**: While not directly related to dermatological risks in humans, the administration of a metabolite of Ursodiol caused hepatic adenomatous hyperplasia in chickens, indicating a potential risk.",Less,Yes,1,1,,
CHLOROPROCAINE HYDROCHLORIDE OPHTHALMIC GEL,"The drug label for IHEEZO™ (chloroprocaine hydrochloride ophthalmic gel) does not explicitly discuss dermatological and cutaneous risks or reactions. The label primarily focuses on ocular administration and associated risks, precautions, and adverse reactions related to the eyes. Here is a summary of the relevant sections:
 

 1. **Contraindications (Section 4)**:
  - IHEEZO™ is contraindicated in patients with a history of hypersensitivity to any component of this preparation.
  - **Summary**: The drug itself is associated with hypersensitivity reactions, which could potentially include dermatological reactions, although this is not explicitly stated.
 

 2. **Warnings and Precautions (Section 5)**:
  - **5.1 Not for Injection or Intraocular Administration**: IHEEZO™ should not be injected or intraocularly administered.
  - **Summary**: This warning does not discuss dermatological risks.
  - **5.2 Corneal Injury Due to Insensitivity**: Patients should not touch the eye for at least 10 to 20 minutes after using the anesthetic as accidental injuries can occur due to insensitivity of the eye.
  - **Summary**: This warning does not discuss dermatological risks.
  - **5.3 Corneal Opacification**: Prolonged use of a topical ocular anesthetic may produce permanent corneal opacification and ulceration with accompanying visual loss.
  - **Summary**: This warning does not discuss dermatological risks.
  - **5.4 Risk of Contamination**: Do not touch the dropper tip to any surface as this may contaminate the gel.
  - **Summary**: This warning does not discuss dermatological risks.
  - **5.5 For Administration by Healthcare Provider**: IHEEZO™ is indicated for administration under the direct supervision of a healthcare provider. IHEEZO™ is not intended for patient self-administration.
  - **Summary**: This warning does not discuss dermatological risks.
 

 3. **Adverse Reactions (Section 6)**:
  - The most common adverse reaction is mydriasis (approximately 25%).
  - **Summary**: The drug itself is associated with mydriasis, which is not a dermatological reaction.
  - **6.1 Clinical Trials Experience**: The most common adverse reactions in these studies, with an incidence greater than or equal to 5%, following IHEEZO™ administration were mydriasis, conjunctival hyperemia, and eye irritation.
  - **Summary**: The drug itself is associated with mydriasis, conjunctival hyperemia, and eye irritation, none of which are dermatological reactions.
 

 4. **Use in Specific Populations (Section 8)**:
  - **8.1 Pregnancy**: There are no adequate and well-controlled studies of IHEEZO™ use in pregnant women to inform a drug-associated risk. There are no animal reproduction studies for chloroprocaine.
  - **Summary**: This section does not discuss dermatological risks.
  - **8.2 Lactation**: There are no data on the presence of chloroprocaine in human milk, the effects on the breastfed infant, or the effects on milk production.
  - **Summary**: This section does not discuss dermatological risks.
  - **8.4 Pediatric Use**: The safety and effectiveness of IHEEZO™ have not been established in pediatric patients.
  - **Summary**: This section does not discuss dermatological risks.
  - **8.5 Geriatric Use**: No overall differences in safety or effectiveness of IHEEZO™ have been observed between elderly and younger patients.
  - **Summary**: This section does not discuss dermatological risks.
 

 5. **Nonclinical Toxicology (Section 13)**:
  - **13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility**: Long-term studies in animals to evaluate carcinogenic potential of chloroprocaine have not been conducted. 2-chloroprocaine and the main metabolite, ACBA, were negative in the in vitro bacterial reverse mutation test (Ames assay) and the in vitro chromosome aberrations assay. Studies in animals to evaluate the impairment of fertility have not been conducted with chloroprocaine.
  - **Summary**: This section does not discuss dermatological risks.
 

 In summary, the drug label for IHEEZO™ does not explicitly mention any dermatological or cutaneous risks or reactions associated with the drug. The primary focus is on ocular administration and related adverse effects.",No,No,1,1,,
ACETIC ACID,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Acetic Acid Otic Solution, USP:
 

 1. **CONTRAINDICATIONS**:
  - **Hypersensitivity to acetic acid or any of the ingredients**: The drug itself is associated with dermatological risk if the patient has a hypersensitivity to acetic acid or any of the other ingredients.
 

 2. **WARNINGS**:
  - **Discontinue promptly if sensitization or irritation occurs**: The drug itself may cause dermatological reactions such as sensitization or irritation, and use should be discontinued if these occur.
 

 3. **PRECAUTIONS**:
  - **Transient stinging or burning may be noted occasionally when the solution is first instilled into the acutely inflamed ear**: The drug itself may cause transient stinging or burning, which are cutaneous reactions, especially when the ear is acutely inflamed.
 

 4. **ADVERSE REACTIONS**:
  - **Stinging or burning may be noted occasionally; local irritation has occurred very rarely**: The drug itself is associated with occasional stinging or burning and very rare local irritation, which are dermatological reactions.
 

 In summary, the drug label indicates that Acetic Acid Otic Solution, USP can cause dermatological reactions such as hypersensitivity, sensitization, irritation, stinging, and burning. These reactions are directly associated with the use of the drug.",Less,Yes,1,1,,
ADO-TRASTUZUMAB EMTANSINE,"The drug label for KADCYLA (ado-trastuzumab emtansine) mentions several dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Infusion-Related Reactions, Hypersensitivity Reactions**:
  - **Infusion-related reactions**: These reactions, which can include flushing, chills, and rash, were reported in clinical trials of KADCYLA. The drug itself was associated with these reactions.
  - **Allergic/anaphylactic-like reaction**: One case of a serious allergic/anaphylactic-like reaction was observed in clinical trials of single-agent KADCYLA. The drug itself was associated with this reaction.
 

 2. **Adverse Reactions in Clinical Trials**:
  - **Rash**: In the EMILIA trial, rash was reported in 12% of patients treated with KADCYLA. The drug itself was associated with this reaction.
  - **Pruritus (itching)**: Pruritus was reported in 6% of patients in the KADCYLA-treated group in the EMILIA trial. The drug itself was associated with this reaction.
  - **Dry eye**: Dry eye was reported in 3.9% of patients in the KADCYLA-treated group in the EMILIA trial. The drug itself was associated with this reaction.
  - **Lacrimation increased (increased tearing)**: Lacrimation increased was reported in 3.3% of patients in the KADCYLA-treated group in the EMILIA trial. The drug itself was associated with this reaction.
  - **Vision blurred**: Vision blurred was reported in 4.5% of patients in the KADCYLA-treated group in the EMILIA trial. The drug itself was associated with this reaction.
  - **Conjunctivitis**: Conjunctivitis was reported in 3.9% of patients in the KADCYLA-treated group in the EMILIA trial. The drug itself was associated with this reaction.
  - **Dry eye**: Dry eye was reported in 4.5% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
  - **Lacrimation increased (increased tearing)**: Lacrimation increased was reported in 6% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
  - **Vision blurred**: Vision blurred was reported in 3.9% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
  - **Conjunctivitis**: Conjunctivitis was reported in 3.5% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
  - **Rash**: Rash was reported in 1.1% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
  - **Pruritus (itching)**: Pruritus was reported in 7% of patients in the KADCYLA-treated group in the KATHERINE trial. The drug itself was associated with this reaction.
 

 3. **Post-Marketing Experience**:
  - **Skin/tissue necrosis after extravasation**: This adverse reaction has been identified during post-approval use of KADCYLA. The drug itself was associated with this reaction.
 

 In summary, KADCYLA is associated with several dermatological and cutaneous risks and reactions, including rash, pruritus, dry eye, increased lacrimation, vision blurred, conjunctivitis, and skin/tissue necrosis after extravasation. These reactions were observed in clinical trials and post-marketing experiences.",Most,Yes,1,1,,
CHLORPROMAZINE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Chlorpromazine Hydrochloride Tablets
 

 1. **Photosensitivity and Urticaria:**
  - **Summary:** Mild urticarial type of photosensitivity reactions are seen.
  - **Association:** The drug itself is associated with causing photosensitivity and urticarial reactions.
 

 2. **Severe Dermatological Reactions:**
  - **Summary:** More severe reactions, including exfoliative dermatitis and toxic epidermal necrolysis (TEN), have been reported occasionally.
  - **Association:** The drug itself is associated with causing severe dermatological reactions such as exfoliative dermatitis and TEN.
 

 3. **Contact Dermatitis:**
  - **Summary:** Contact dermatitis has been reported in nursing personnel; the use of rubber gloves when administering chlorpromazine liquid or injectable is recommended.
  - **Association:** The drug itself is associated with causing contact dermatitis in nursing personnel.
 

 4. **Skin Pigmentation:**
  - **Summary:** Rare instances of skin pigmentation have been observed in hospitalized mental patients, primarily females who have received the drug usually for 3 years or more in dosages ranging from 500 mg to 1500 mg daily.
  - **Association:** The drug itself is associated with causing skin pigmentation changes.
 

 5. **Histological Examination of Pigmentation:**
  - **Summary:** Histological examination reveals a pigment, chiefly in the dermis, which is probably a melanin-like complex. This pigmentation may fade following discontinuance of the drug.
  - **Association:** The drug itself is associated with causing pigmentation changes that may involve melanin-like complexes in the dermis.
 

 6. **Etiology of Pigmentation and Ocular Changes:**
  - **Summary:** Etiology of both skin pigmentation and ocular changes is not clear, but exposure to light, along with dosage/duration of therapy, appears to be the most significant factor.
  - **Association:** The drug itself is associated with causing pigmentation changes, with light exposure and dosage/duration being significant factors.
 

 ### Conclusion
 Chlorpromazine Hydrochloride Tablets are associated with several dermatological and cutaneous risks, including photosensitivity, urticarial reactions, severe dermatological reactions like exfoliative dermatitis and TEN, contact dermatitis, and skin pigmentation changes. The drug itself is the causative agent for these reactions, with factors such as light exposure and dosage/duration of therapy playing a significant role in the severity and occurrence of these conditions.",Most,Yes,1,1,,
RANOLAZINE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for ASPRUZYO Sprinkle (ranolazine):
 

 1. **Adverse Reactions (6.1 Clinical Trial Experience)**
  - **Skin and Subcutaneous Tissue Disorders:**
  - **Hyperhidrosis:** The drug itself was associated with increased sweating.
  - **Other (< 0.5%) but potentially medically important adverse reactions:**
  - **Angioedema:** The drug itself was associated with angioedema, a condition characterized by deep swelling beneath the skin.
  - **Pulmonary Fibrosis:** The drug itself was associated with pulmonary fibrosis, which can have cutaneous manifestations.
  - **Eosinophilia:** The drug itself was associated with eosinophilia, which can sometimes present with skin rashes.
  - **Chromaturia:** The drug itself was associated with chromaturia, which can sometimes be accompanied by skin discoloration.
  - **Hypoesthesia:** The drug itself was associated with hypoesthesia, which can affect skin sensation.
  - **Paresthesia:** The drug itself was associated with paresthesia, which involves abnormal skin sensations.
  - **Tremor:** The drug itself was associated with tremor, which can sometimes be accompanied by skin symptoms.
  - **Thrombocytopenia:** The drug itself was associated with thrombocytopenia, which can lead to skin bruising and petechiae.
  - **Leukopenia:** The drug itself was associated with leukopenia, which can increase the risk of skin infections.
  - **Pancytopenia:** The drug itself was associated with pancytopenia, which can have various skin manifestations.
 

 2. **Post-marketing Experience (6.2)**
  - **Skin and Subcutaneous Tissue Disorders:**
  - **Angioedema:** The drug itself was associated with angioedema, a serious skin reaction.
  - **Pruritus:** The drug itself was associated with pruritus, which is itching of the skin.
  - **Rash:** The drug itself was associated with rash, a common skin reaction.
 

 3. **Patient Medication Information**
  - **Possible Side Effects:**
  - **Rash:** The drug itself was associated with rash as a possible side effect.
 

 In summary, ASPRUZYO Sprinkle (ranolazine) has been associated with several dermatological and cutaneous risks and reactions, including hyperhidrosis, angioedema, pruritus, rash, and other conditions that can affect the skin either directly or indirectly.",Less,Yes,2,1,,More
RESMETIROM,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for REZDIFFRA (resmetirom):
 

 1. **Warnings and Precautions (5.1 Hepatotoxicity)**
  - **Sentence:** ""Monitor for symptoms and signs of hepatotoxicity (e.g., fatigue, nausea, vomiting, right upper quadrant pain or tenderness, jaundice, fever, rash, and/or eosinophilia [>5%]).""
  - **Summary:** The drug itself is associated with the risk of rash as a symptom of hepatotoxicity.
 

 2. **Adverse Reactions (6.1 Clinical Trials Experience)**
  - **Sentence:** ""Reactions such as urticaria and rash, which may reflect drug hypersensitivity, were observed in patients receiving REZDIFFRA.""
  - **Summary:** The drug itself caused urticaria and rash, indicating potential drug hypersensitivity.
 

 3. **Adverse Reactions (6.1 Clinical Trials Experience)**
  - **Sentence:** ""The EAIRs for urticaria were 0.2 per 100 PY, 0.7 per 100 PY, and 1.5 per 100 PY in the placebo, REZDIFFRA 80 mg once daily, and REZDIFFRA 100 mg once daily arms, respectively.""
  - **Summary:** The drug itself caused urticaria, with higher incidence rates in the REZDIFFRA treatment arms compared to placebo.
 

 4. **Adverse Reactions (6.1 Clinical Trials Experience)**
  - **Sentence:** ""The EAIRs for rash were 3 per 100 PY in the placebo and REZDIFFRA 80 mg once daily arms compared to 5 per 100 PY in the REZDIFFRA 100 mg once daily arm.""
  - **Summary:** The drug itself caused rash, with higher incidence rates in the REZDIFFRA 100 mg treatment arm compared to placebo and the 80 mg arm.
 

 5. **Patient Information**
  - **Sentence:** ""Stop taking REZDIFFRA and call your healthcare provider right away if you develop the following signs or symptoms of hepatotoxicity: ... rash.""
  - **Summary:** The drug itself is associated with the risk of rash as a sign of hepatotoxicity, warranting immediate discontinuation and medical consultation.
 

 6. **Patient Information**
  - **Sentence:** ""The most common side effects of REZDIFFRA include: ... itching.""
  - **Summary:** The drug itself caused itching as one of the most common side effects.
 

 In summary, REZDIFFRA is associated with and has caused dermatological reactions such as rash, urticaria, and itching. These reactions are noted as potential signs of drug hypersensitivity and hepatotoxicity.",Most,Yes,2,1,,Less
NALTREXONE HYDROCHLORIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Naltrexone Hydrochloride
 

 1. **Adverse Reactions in Opioid Addiction Trials:**
  - **Dermatologic Reactions:**
  - **Oily skin, pruritus, acne, athlete's foot, cold sores, alopecia:** These reactions were reported in less than 1% of subjects. It is not explicitly stated that these reactions were caused by the drug itself, but they were observed during the clinical trials.
 

 2. **Postmarketing Experience:**
  - **Rash, increased sweating:** These events have been reported during postmarketing use. It is not always possible to distinguish these occurrences from those signs and symptoms that may result from a withdrawal syndrome. Therefore, it is unclear if the drug itself caused these reactions.
 

 ### Conclusion
 The drug label mentions several dermatological reactions such as oily skin, pruritus, acne, athlete's foot, cold sores, alopecia, rash, and increased sweating. However, it is not definitively stated that these reactions were directly caused by naltrexone hydrochloride. Some of these reactions were observed during clinical trials, while others were reported in postmarketing experience, where it is difficult to distinguish them from withdrawal symptoms.",Less,Yes,1,1,,
VORINOSTAT,"### Summary of Dermatological and Cutaneous Risks and Reactions for ZOLINZA (vorinostat)
 

 1. **Indications and Usage**:
  - ZOLINZA is indicated for the treatment of cutaneous manifestations in patients with cutaneous T-cell lymphoma (CTCL) who have progressive, persistent, or recurrent disease on or following two systemic therapies.
  - **Association**: The drug is used specifically to treat cutaneous manifestations of CTCL.
 

 2. **Warnings and Precautions**:
  - **Severe Thrombocytopenia with Concomitant Use of other HDAC Inhibitors**: Severe thrombocytopenia with gastrointestinal bleeding has been reported with concomitant use of ZOLINZA and other HDAC inhibitors (e.g., valproic acid).
  - **Association**: The drug itself, when used with other HDAC inhibitors, can cause severe thrombocytopenia, which may lead to gastrointestinal bleeding, but no direct mention of cutaneous reactions here.
 

 3. **Adverse Reactions**:
  - **Common Adverse Reactions**: The most common drug-related adverse reactions include gastrointestinal symptoms, constitutional symptoms, hematologic abnormalities, and taste disorders.
  - **Association**: The drug itself is associated with these adverse reactions, but no specific mention of cutaneous reactions in this section.
 

 4. **Clinical Trials Experience**:
  - **Common Adverse Reactions in CTCL Patients**: The most common drug-related adverse reactions were gastrointestinal symptoms, constitutional symptoms, hematologic abnormalities, and taste disorders. Specific cutaneous reactions mentioned include alopecia (18.6%) and pruritus (11.6%).
  - **Association**: The drug itself caused alopecia and pruritus in a significant percentage of patients.
 

 5. **Serious Adverse Reactions**:
  - **Squamous Cell Carcinoma**: Reported in 3.5% (3/86) of patients.
  - **Association**: The drug itself was associated with the development of squamous cell carcinoma in a small percentage of patients.
 

 6. **Discontinuations**:
  - **Exfoliative Dermatitis**: One of the reasons for discontinuation of ZOLINZA in 9.3% (8/86) of patients.
  - **Association**: The drug itself caused exfoliative dermatitis, leading to discontinuation in some patients.
 

 7. **Dose Modifications**:
  - **Exfoliative Dermatitis**: Mentioned as a reason for dose modification.
  - **Association**: The drug itself caused exfoliative dermatitis, necessitating dose modifications.
 

 8. **Adverse Reactions in Non-CTCL Patients**:
  - **Exfoliative Dermatitis**: Reported as a serious drug-related adverse reaction.
  - **Association**: The drug itself caused exfoliative dermatitis in non-CTCL patients as well.
 

 9. **Patient Counseling Information**:
  - **Signs of Deep Vein Thrombosis**: Patients should be instructed about the signs of deep vein thrombosis and should consult their physician should any evidence of deep vein thrombosis develop.
  - **Association**: No direct mention of cutaneous reactions here, but it is part of the overall patient counseling.
 

 ### Conclusion
 ZOLINZA (vorinostat) is associated with several dermatological and cutaneous risks and reactions, including alopecia, pruritus, squamous cell carcinoma, and exfoliative dermatitis. These reactions were observed both in clinical trials and in post-marketing experiences, leading to dose modifications and discontinuations in some cases.",Most,Yes,1,1,,
PIOGLITAZONE,"The drug label for ACTOS (pioglitazone) does not explicitly mention dermatological or cutaneous risks and reactions. The provided text does not include any sections or sentences that discuss skin-related side effects or conditions directly associated with the use of ACTOS. The focus of the warnings and precautions is primarily on cardiovascular risks, hepatic effects, bladder cancer, edema, fractures, macular edema, and hypoglycemia. 
 

 If you have any specific concerns about dermatological reactions or need information on a different aspect of the drug, please let me know!",No,No,1,1,,
ZINC CHLORIDE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions:
 

 1. **Clinical Pharmacology Section:**
  - ""The initial manifestations of hypozincemia in total parenteral nutrition are diarrhea, apathy and depression. At plasma levels below 20 mcg zinc/100 mL dermatitis followed by alopecia has been reported for total parenteral nutrition patients.""
  - **Summary:** Low plasma zinc levels (hypozincemia) in patients receiving total parenteral nutrition can cause dermatitis and alopecia. This indicates that a deficiency of zinc, rather than the drug itself, is associated with these dermatological risks.
 

 2. **Warnings Section:**
  - ""Direct intramuscular or intravenous injection of Zinc 1 mg/mL (Zinc Chloride Injection, USP) is contraindicated as the acidic pH of the solution (2) may cause considerable tissue irritation.""
  - **Summary:** Direct injection of the drug can cause considerable tissue irritation due to its acidic pH. This indicates that the drug itself can cause cutaneous irritation if not properly diluted.
 

 3. **Overdosage Section:**
  - ""Symptoms of zinc toxicity included hypotension (80/40 mm Hg), pulmonary edema, diarrhea, vomiting, jaundice, and oliguria, with a serum zinc level of 4184 mcg/dl.""
  - **Summary:** While this sentence does not explicitly mention dermatological symptoms, it is important to note that zinc toxicity can cause a range of severe symptoms. The drug itself, when overdosed, can lead to these adverse effects, although specific dermatological reactions are not listed here.
 

 In summary, the drug label indicates that:
 - Zinc deficiency (not the drug itself) can cause dermatitis and alopecia.
 - The drug itself can cause considerable tissue irritation if injected directly without proper dilution.
 - Zinc toxicity from overdose can lead to severe symptoms, though specific dermatological reactions are not detailed in the overdosage section.",Less,No,2,1,,
DOXEPIN HYDROCHLORIDE,"The drug label for SILENOR (doxepin) includes several mentions of dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Section 6.3: Other Reactions Observed During the Pre-marketing Evaluation of SILENOR**
  - **Skin and Subcutaneous Tissue Disorders:**
  - **Infrequent:**
  - Skin irritation: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with skin irritation.
  - **Rare:**
  - Cold sweat: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with cold sweat.
  - Dermatitis: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with dermatitis.
  - Erythema: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with erythema.
  - Hyperhidrosis: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with hyperhidrosis.
  - Pruritis: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with pruritis.
  - Rash: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with rash.
  - Rosacea: This reaction was observed in clinical trials, indicating that SILENOR itself was associated with rosacea.
 

 2. **Section 13.1: Carcinogenesis, Mutagenesis, Impairment of Fertility**
  - **Allergic:**
  - Photosensitization: This reaction has been reported for other tricyclics and may be idiosyncratic, meaning it is not necessarily related to the dose of SILENOR but could be associated with the drug class.
 

 In summary, SILENOR itself was associated with several dermatological reactions, including skin irritation, cold sweat, dermatitis, erythema, hyperhidrosis, pruritis, rash, and rosacea. Additionally, photosensitization has been reported for other tricyclics, which may include SILENOR, but this reaction is considered idiosyncratic and not necessarily dose-related.",Most,Yes,3,1,,less
DOXAZOSIN MESYLATE,"### Summary of Dermatological and Cutaneous Risks and Reactions for CARDURA XL
 

 1. **Contraindications (Section 4)**
  - **Allergic Reactions**: CARDURA XL is contraindicated in patients with a known hypersensitivity to doxazosin or other quinazolines. Allergic reactions to doxazosin and other quinazolines have included skin rash, urticaria, pruritus, angioedema, and respiratory symptoms.
  - **Summary**: CARDURA XL is associated with causing skin rash, urticaria, pruritus, and angioedema in patients with hypersensitivity.
 

 2. **Warnings and Precautions (Section 5.9)**
  - **Priapism**: Rarely, alpha-1 antagonists, including doxazosin, have been associated with priapism.
  - **Summary**: CARDURA XL is associated with causing priapism, which is a condition that can lead to permanent impotence if not treated promptly.
 

 3. **Adverse Reactions (Section 6.1)**
  - **Clinical Trials Experience**: The most commonly reported adverse reactions leading to discontinuation in the CARDURA XL group included dizziness, dyspnea, asthenia, headache, hypotension, postural hypotension, and somnolence.
  - **Summary**: No specific dermatological reactions were reported in clinical trials leading to discontinuation.
  - **Table 1**: Lists adverse reactions occurring in ≥ 1% of BPH patients treated with CARDURA XL, but no dermatological reactions are listed.
  - **Summary**: No dermatological reactions were reported in ≥ 1% of patients in clinical trials.
  - **Additional Adverse Events**: Reported by less than 1% of patients include skin rash and pruritus.
  - **Summary**: CARDURA XL is associated with causing skin rash and pruritus in less than 1% of patients.
 

 4. **Postmarketing Experience (Section 6.2)**
  - **Skin Disorders**: Includes alopecia, urticaria, skin rash, and pruritus.
  - **Summary**: CARDURA XL is associated with causing alopecia, urticaria, skin rash, and pruritus based on postmarketing reports.
 

 ### Conclusion
 CARDURA XL has been associated with several dermatological and cutaneous reactions, including skin rash, urticaria, pruritus, and alopecia. These reactions have been observed in clinical trials, postmarketing reports, and in patients with known hypersensitivity to the drug or related compounds.",Less,Yes,1,1,,
