,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
220,Kit for the Preparation of Technetium Tc99m Pyrophosphate,TECHNETIUM TC99M PYROPHOSPHATE,TECHNETIUM TC-99M PYROPHOSPHATE,,no,no,"diagnosis of acute
myocardial infarction",,test
221,INDIUM IN 111 CHLORIDE,INDIUM IN 111 CHLORIDE,INDIUM CHLORIDE IN-111,,no,no,,,train
222,Totect,DEXRAZOXANE HYDROCHLORIDE,DEXRAZOXANE HYDROCHLORIDE,,sp,ambiguous,Monitor cardiac function before and periodically during therapy,,test
223,ETOPOPHOS,ETOPOSIDE PHOSPHATE,etoposide phosphate,,no,no,,,train
224,Jevtana,CABAZITAXEL,cabazitaxel,,sp,ambiguous,combination :ventricular fibrillation,mild,train
225,Gallium,GALLIUM CITRATE GA-67,GALLIUM CITRATE GA-67,,no,no,,,test
226,Cytalux,PAFOLACIANINE INJECTION,PAFOLACIANINE SODIUM,,no,no,,,test
227,Cosela,TRILACICLIB,trilaciclib dihydrochloride,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
228,Sodium Chloride,SODIUM CHLORIDE,SODIUM CHLORIDE,,sp,ambiguous,used with great care in patients with congestive heart failure,,train
229,MultiHance,GADOBENATE DIMEGLUMINE,gadobenate dimeglumine,Arrhythmia,wp,most,QTc prolongation,moderate,test
230,DaTscan,IOFLUPANE I-123,ioflupane I-123,,no,no,,,test
231,Myoview,TETROFOSMIN,Tetrofosmin,Mixed,ar,less,angina/ventricular tachycardia,moderate,test
232,Thallous Chloride Tl 201,THALLOUS CHLORIDE TL-201,THALLOUS CHLORIDE TL-201,,sp,ambiguous,care should be taken in patients with myocardial infarction or ischemia,,train
233,Drax Exametazime,KIT FOR THE PREPARATION OF TECHNETIUM TC 99M EXAMETAZIME FOR LEUKOCYTE LABELING,TECHNETIUM TC-99M EXAMETAZIME,Heart Damage,ar,less,blood pressure increase,mild,train
234,Nipent,PENTOSTATIN,PENTOSTATIN,Mixed,ar,less,Angina Pectoris/Arrhythmia,moderate,test
235,PYLARIFY,PIFLUFOLASTAT F-18,PIFLUFOLASTAT F-18,,no,no,,,test
236,Axumin,FLUCICLOVINE F-18,Fluciclovine F-18,,no,no,,,train
237,Acetaminophen,ACETAMINOPHEN,ACETAMINOPHEN,Heart Damage,ar,less,"hypertension, hypotension",mild,test
238,Pepaxto,MELPHALAN FLUFENAMIDE,melphalan flufenamide hydrochloride,,no,no,,,test
239,DALVANCE,DALBAVANCIN,DALBAVANCIN HYDROCHLORIDE,,CLINICAL PHARMACOLOGY,no,no  QT,,train
240,Glofil-125,SODIUM IOTHALAMATE I-125 INJECTION,IOTHALAMATE SODIUM I-125,,no,no,,,train
241,LEXISCAN(R) (REGADENOSON),LEXISCAN(R) (REGADENOSON),REGADENOSON,Mixed,wp,most,Fatal myocardial infarction/ventricular arrhythmias,severe,train
242,ZEPZELCA,LURBINECTEDIN,LURBINECTEDIN,,CLINICAL PHARMACOLOGY,no,No large mean increase in QTc,,train
243,Fluorodopa F18,FLUORODOPA F18,FLUORODOPA F-18,,no,no,,,test
244,BYFAVO,REMIMAZOLAM BESYLATE,remimazolam besylate,Mixed,bw,most,Bradycardia/Hypotension,mild,train
245,NutriLipid I.V. Fat Emulsion,SOYBEAN OIL,SOYBEAN OIL,,sp,ambiguous,Hypersensitivity Reactions :tachycardia,mild,test
246,Pemfexy,PEMETREXED,PEMETREXED MONOHYDRATE,Arrhythmia,ar,less,supraventricular arrhythmia,moderate,test
247,Ellence,EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,Mixed,bw,most,"cardiomyopathy/ventricular
tachycardia",severe,train
248,Sodium Citrate,ANTICOAGULANT SODIUM CITRATE SOLUTION,SODIUM CITRATE,,no,no,,,train
249,Ultratag RBC,TECHNETIUM TC 99M-LABELED RED BLOOD CELLS,STANNOUS CHLORIDE,,no,no,,,test
250,Gadavist,GADOBUTROL,GADOBUTROL,Arrhythmia,ar,less,Cardiac arrest,severe,train
251,Cleviprex,CLEVIPIDINE,CLEVIDIPINE,Mixed,wp,less,hypotension/reflex tachycardia,mild,test
252,Alfentanil Hydrochloride,ALFENTANIL HYDROCHLORIDE,Alfentanil Hydrochloride,Arrhythmia,wp,less,bradycardia,mild,train
253,PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Mixed,wp,most,sinus arrest/Hypotension,moderate,test
254,Visudyne,VERTEPORFIN FOR INJECTION,VERTEPORFIN,Mixed,ar,less,Atrial fibrillation/hypertension,mild,train
255,Korsuva,DIFELIKEFALIN,DIFELIKEFALIN ACETATE,Heart Damage,overdosage,less ,hypertension,mild,train
256,Asclera,POLIDOCANOL,POLIDOCANOL,Heart Damage,wp,most,myocardial infarction,severe,train
257,VIBATIV,TELAVANCIN HYDROCHLORIDE,telavancin hydrochloride,Arrhythmia,wp,most,"prolonged the QTc
interval",severe,train
258,Levothyroxine Sodium,LEVOTHYROXINE SODIUM ANHYDROUS,LEVOTHYROXINE SODIUM ANHYDROUS,Mixed,wp,most,congestive heart failure and death/arrhythmias,severe,train
259,ATROPINE SULFATE; Atropine Sulfate,ATROPINE SULFATE,ATROPINE SULFATE,Arrhythmia,wp,less,tachycardia,mild,test
260,Vyondys 53,GOLODIRSEN,golodirsen,Arrhythmia,ar,less,tachycardia,mild,test
261,Cytovene IV,GANCICLOVIR SODIUM,ganciclovir sodium,Arrhythmia,ar,less,cardiac arrest,severe,test
262,THAM,TROMETHAMINE,TROMETHAMINE,,no,no,,,test
263,ProHance,GADOTERIDOL,gadoteridol,Mixed,ar,less,Angina pectoris/palpitations,moderate,test
264,PROPOFOL,PROPOFOL,PROPOFOL,Mixed,wp,most,ECG changes and/or cardiac failure,severe,test
265,Levoleucovorin,LEVOLEUCOVORIN,LEVOLEUCOVORIN CALCIUM PENTAHYDRATE,,no,no,,,train
266,CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,Mixed,ar,less,myocardial infarction/arrhythmia,mild,test
267,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,Mixed,wp,most,heart failure/Bradycardia,severe,test
268,Ifosfamide,IFOSFAMIDE,IFOSFAMIDE,Mixed,wp,most,fatal cardiomyopathy/ventricular arrhythmias,severe,train
269,Daunorubicin Hydrochloride,DAUNORUBICIN HYDROCHLORIDE,DAUNORUBICIN HYDROCHLORIDE,Heart Damage,bw,most,fatal congestive heart failure,severe,train
270,Pancuronium Bromide,PANCURONIUM BROMIDE,PANCURONIUM BROMIDE,,sp,ambiguous,hypersensitivity reactions:tachycardia,mild,test
271,mitoXANTRONE,MITOXANTRONE,MITOXANTRONE HYDROCHLORIDE,Heart Damage,bw,most,Congestive heart failure,severe,test
272,Carmustine,CARMUSTINE,CARMUSTINE,Mixed,ar,less,Tachycardia/chest pain,mild,test
273,GEMCITABINE,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/arrhythmia,severe,train
274,CAFFEINE CITRATE,CAFFEINE CITRATE,CAFFEINE CITRATE,Mixed,wp,most,increase heart rate/ left ventricular outpu,severe,test
275,BIVALIRUDIN,BIVALIRUDIN,BIVALIRUDIN,Heart Damage,ar,less,cardiac tamponade,severe,test
276,VinCRIStine Sulfate,VINCRISTINE SULFATE,VINCRISTINE SULFATE,Heart Damage,ar,less,Hypertension ,mild,train
277,Arsenic Trioxide,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,Arrhythmia,bw,most,torsade de pointes,moderate,test
278,Micafungin,MICAFUNGIN SODIUM,MICAFUNGIN,Mixed,ar,less,cardiac arrest/myocardial infarction,severe,train
279,Cefoxitin,CEFOXITIN,cefoxitin sodium,Heart Damage,ar,less,Hypotension,mild,test
280,Sodium Tetradecyl Sulfate,SODIUM TETRADECYL SULFATE,SODIUM TETRADECYL SULFATE,Heart Damage,wp,most,myocardial infarction,severe,train
281,Paclitaxel,PACLITAXEL,paclitaxel,Mixed,wp,less,bradycardia/hypertension,mild,test
282,Mesna,MESNA,mesna,Mixed,ar,less,hypotension/tachycardia,mild,train
283,Eptifibatide,EPTIFIBATIDE,Eptifibatide,Heart Damage,ar,less,hypotension,mild,train
284,Technetium Tc 99m Sestamibi,TECHNETIUM TC 99M SESTAMIBI,TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE,Mixed,wp,most,myocardial infarction/arrhythmia,severe,test
285,Ibuprofen Lysine,IBUPROFEN LYSINE,IBUPROFEN LYSINE,Mixed,ar,less,Tachycardia/cardiac failure,severe,train
286,Vinblastine Sulfate,VINBLASTINE SULFATE,VINBLASTINE SULFATE,Heart Damage,ar,less,Hypertension,mild,train
287,Indium In 111 Oxyquinoline,INDIUM IN-111 OXYQUINOLINE,INDIUM IN-111 OXYQUINOLINE,,no,no,,,train
288,Esomeprazole Sodium,ESOMEPRAZOLE SODIUM,Esomeprazole Sodium,,no,no,,,train
289,CLARISCAN,GADOTERATE MEGLUMINE,gadoterate meglumine,Mixed,ar,less,"arrhythmia/hypotension, hypertension",mild,test
290,Adenosine,ADENOSINE,Adenosine,Arrhythmia,wp,most,thirddegree heart block,severe,train
291,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,Heart Damage,wp,most,angina,moderate,test
292,Ethacrynic Sodium,ETHACRYNIC SODIUM,ETHACRYNATE SODIUM,,sp,ambiguous,hypotension(drug interaction),,train
293,LMD in Dextrose; LMD in Sodium Chloride,DEXTRAN 40,DEXTRAN 40,Arrhythmia,wp,most,cardiac and respiratory arrest,severe,test
294,Azithromycin,AZITHROMYCIN,AZITHROMYCIN MONOHYDRATE,Arrhythmia,wp,most, torsades de pointes,moderate,test
295,CIDOFOVIR DIHYDRATE,CIDOFOVIR DIHYDRATE,CIDOFOVIR,Mixed,ar,less,congestive heart failure/tachycardia,severe,test
296,AMPICILLIN,AMPICILLIN SODIUM,AMPICILLIN SODIUM,,no,no,,,train
297,Linezolid,LINEZOLID,LINEZOLID,,sp,ambiguous,patients with uncontrolled hypertension,,train
298,Micafungin,MICAFUNGIN SODIUM,MICAFUNGIN SODIUM,Mixed,ar,less,cardiac arrest/myocardial infarction,severe,test
299,Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,Mixed,ar,less,rise in blood pressure/arrhythmias,mild,train
300,CEFEPIME,CEFEPIME,CEFEPIME HYDROCHLORIDE,,no,no,,,test
301,Rocuronium,ROCURONIUM,ROCURONIUM BROMIDE,Arrhythmia,ar,less,arrhythmia,mild,test
302,ENALAPRILAT,ENALAPRILAT,ENALAPRILAT,Heart Damage,wp,less,Hypotension,mild,train
303,Busulfan,BUSULFAN,Busulfan,Mixed,ar,less,left-sided heart failure/Arrhythmia,severe,train
304,Calcitriol,CALCITRIOL,Calcitriol,Mixed,ar,less,cardiac arrhythmias/hypertension,mild,train
305,Meropenem,MEROPENEM,MEROPENEM,Mixed,ar,less,heart failure/tachycardia,severe,test
306,Clindamycin,CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate,Mixed,ar,less,Cardiopulmonary arrest/hypotension,severe,test
307,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,Sodium Nitroprusside,Heart Damage,bw,most,decreases in blood pressure,mild,test
308,Fosaprepitant,FOSAPREPITANT DIMEGLUMINE,FOSAPREPITANT DIMEGLUMINE,,no,no,hypersensitivity reactions:hypotension,,test
309,Romidepsin,ROMIDEPSIN,ROMIDEPSIN,Arrhythmia,wp,less,changes in ECGs,mild,test
310,Ferumoxytol,FERUMOXYTOL,FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE,Heart Damage,wp,less,hypotension,mild,train
311,Aminophylline,AMINOPHYLLINE,Aminophylline Dihydrate,Arrhythmia,ar,less,cardiac arrhythmias,mild,train
312,PARAPLATIN,CARBOPLATIN,CARBOPLATIN,Heart Damage,ar,less,hypertension,mild,test
313,Gemcitabine,GEMCITABINE,GEMCITABINE,Mixed,ar,less,myocardial infarction/arrhythmia,severe,train
314,Azathioprine Sodium,AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,,no,no,,,train
315,Ammonia N 13,AMMONIA N-13,AMMONIA N-13,,no,no,,,train
316,Kit for the Preparation of Technetium Tc99m Mertiatide,BETIATIDE,Betiatide,Mixed,ar,less ,tachycardia/ hypertension,mild,train
317,TAZICEF,CEFTAZIDIME,CEFTAZIDIME,,no,no,,,test
318,Sodium Fluoride F 18,SODIUM FLUORIDE F 18,SODIUM FLUORIDE F-18,,no,no,,,test
319,Milrinone Lactate,MILRINONE LACTATE,Milrinone Lactate,Arrhythmia,wp,most, ventricular arrhythmias,moderate,train
320,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,Arrhythmia,wp,less,bradycardia,mild,train
321,Amiodarone Hydrochloride,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,Mixed,wp,less,bradycardia/Hypotension,mild,test
322,TECHNETIUM TC 99M SESTAMIBI,TECHNETIUM TC 99M SESTAMIBI,TECHNETIUM TC-99M SESTAMIBI,Mixed,ar,less,hypotension/arrhythmia,mild,train
323,acyclovir,ACYCLOVIR,ACYCLOVIR SODIUM,Heart Damage,ar,less,Hypertension,mild,test
324,Pamidronate Disodium,PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,Heart Damage,ar,less,Hypertension,mild,test
325,Chloramphenicol Sodium Succinate,CHLORAMPHENICOL SODIUM SUCCINATE,CHLORAMPHENICOL SODIUM SUCCINATE,,no,no,,,test
326,Zinc Chloride,ZINC CHLORIDE,ZINC CHLORIDE,Arrhythmia,overdosage,less,tachycardia,mild,test
327,Fomepizole,FOMEPIZOLE,Fomepizole,Mixed,ar,less,tachycardia/hypotension,,train
328,DOXOrubicin Hydrochloride,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,Mixed,bw,most,Cardiomyopathy/Arrhythmias,severe,test
329,Cisatracurium Besylate,CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE,Mixed,ar,less,Bradycardia/Hypotension,mild,test
330,Amphotericin B,AMPHOTERICIN B,AMPHOTERICIN B,Mixed,ar,less,cardiac arrest/cardiomegaly,severe,test
331,Topotecan,TOPOTECAN,TOPOTECAN,,no,no,,,train
332,Dacarbazine,DACARBAZINE,DACARBAZINE,,no,no,,,train
333,VECURONIUM BROMIDE,VECURONIUM BROMIDE,VECURONIUM BROMIDE,,sp,ambiguous,hypersensitivity reactions:tachycardia,,test
334,LEVOLEUCOVORIN,LEVOLEUCOVORIN,Levoleucovorin Calcium,,no,no,,,test
335,DECITABINE,DECITABINE,DECITABINE,Mixed,ar,less,Cardiac failure congestive/Tachycardia,mild,train
336,Tigecycline,TIGECYCLINE,TIGECYCLINE,,no,no,,,test
337,Zoledronic Acid,ZOLEDRONIC ACID,Zoledronic Acid,,sp,ambiguous,patients with underlying risk,,test
338,Tranexamic Acid,TRANEXAMIC ACID,Tranexamic Acid,,sp,ambiguous,Hypotension(injection is too rapid),mild,test
339,Etoposide,ETOPOSIDE,ETOPOSIDE,,no,no,,,test
340,fosaprepitant,FOSAPREPITANT,FOSAPREPITANT,,sp,ambiguous,hypersensitivity reaction:hypotension,mild,train
341,DOCETAXEL,DOCETAXEL ANHYDROUS,DOCETAXEL ANHYDROUS,Mixed,ar,less,heart failure/sinus tachycardia,mild,test
342,Dipyridamole,DIPYRIDAMOLE,Dipyridamole,Mixed,wp,most,myocardial infarction/ventricular tachycardia,severe,train
343,Sotradecol,TETRADECYL HYDROGEN SULFATE (ESTER),TETRADECYL HYDROGEN SULFATE (ESTER),Heart Damage,wp,most,myocardial infarction,severe,train
344,Nelarabine,NELARABINE,NELARABINE,,no,no,,,train
345,Idarubicin Hydrochloride,IDARUBICIN HYDROCHLORIDE,IDARUBICIN HYDROCHLORIDE,Mixed,bw,most,congestive heart failure/arrhythmias,severe,test
346,Valproate Sodium,VALPROATE SODIUM,VALPROATE SODIUM,Mixed,ar,less,Tachycardia/hypertension,mild,test
347,STRONTIUM CHLORIDE Sr-89,STRONTIUM CHLORIDE SR-89,STRONTIUM CHLORIDE SR-89,,no,no,,,train
348,epoprostenol,EPOPROSTENOL,EPOPROSTENOL SODIUM,Mixed,ar,less,tachycardia/hypotension,mild,test
349,SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,sp,ambiguous,used with care in patients with cardiac decompensation,,test
350,Acetazolamide,ACETAZOLAMIDE,ACETAZOLAMIDE SODIUM,,no,no,,,test
351,Allopurinol,ALLOPURINOL,ALLOPURINOL SODIUM,Mixed,ar,less,heart failure/ventricular fibrillation,severe,test
352,Flumazenil,FLUMAZENIL,FLUMAZENIL,Arrhythmia,wp,most,ventricular dysrhythmia,moderate,train
353,Atracurium Besylate,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,Mixed,ar,less,tachycardia/Hypotension,mild,train
354,Clindamycin in 5 Percent Dextrose,CLINDAMYCIN IN 5 PERCENT DEXTROSE,CLINDAMYCIN,,sp,ambiguous,hypotension(injection is too rapid),mild,train
355,Doxercalciferol,DOXERCALCIFEROL,DOXERCALCIFEROL,,sp,ambiguous,hypersensitivity reaction:hypotension/cardiopulmonary arrest,mild,train
356,Erythromycin Lactobionate,ERYTHROMYCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,Arrhythmia,wp,most,prolonged QT intervals,severe,test
357,Granisetron Hydrochloride,GRANISETRON HYDROCHLORIDE,Granisetron Hydrochloride,Arrhythmia,wp,most,QT prolongation,moderate,train
358,Dantrolene,DANTROLENE,DANTROLENE SODIUM,,sp,ambiguous,Cardiovascular collapse  (receiving dantrolene in combination with calcium channel blockers),,train
359,Vinorelbine,VINORELBINE,vinorelbine tartrate,Mixed,ar,less,tachycardia/myocardial infarction,mild,test
360,Fludarabine Phosphate,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,Mixed,ar,less,heart failure/arrhythmia,severe,test
361,Melphalan,MELPHALAN HYDROCHLORIDE,MELPHALAN HYDROCHLORIDE,,sp,ambiguous,tachycardia/hypotension(Hypersensitivity),,train
362,dactinomycin,DACTINOMYCIN,DACTINOMYCIN,,no,no,,,test
363,Fludeoxyglucose F 18,FLUDEOXYGLUCOSE F-18,Fludeoxyglucose F-18,,no,no,,,test
364,DOBUTAMINE,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,Mixed,wp,less,Increase in Heart Rate or Blood Pressure,mild,test
365,Indomethacin,INDOMETHACIN,INDOMETHACIN SODIUM,Mixed,ar,less,bradycardia/hypertension,mild,train
366,PROTAMINE SULFATE,PROTAMINE SULFATE,PROTAMINE SULFATE,Heart Damage,bw,most,cardiocascular collapse,severe,train
367,oxaliplatin,OXALIPLATIN,OXALIPLATIN,Arrhythmia,wp,most,fatal torsade de pointes,severe,train
368,Irinotecan Hydrochloride,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,Mixed,ar,less,Myocardial ischemic/dysrhythmias,severe,test
369,Ceftriaxone,CEFTRIAXONE,CEFTRIAXONE SODIUM,,no,no,,,test
370,Hypaque Sodium,DIATRIZOATE SODIUM,Diatrizoate Sodium,Mixed,wp,most,myocardial infarction/cardiac arrest,severe,test
371,Etesevimab,ETESEVIMAB,Etesevimab,Arrhythmia,wp,less,arrhythmia,mild,train
372,Neutrexin,TRIMETREXATE GLUCURONATE,trimetrexate glucuronate,,no,no,,,train
373,Feridex,FERUMOXIDES,ferumoxides,Mixed,ar,less,hypotension/arrhythmias,mild,train
374,Endrate,"EDETATE DISODIUM, ANHYDROUS","Edetate disodium, anhydrous",,sp,ambiguous,Caution is dictated in the use of this drug in patients with limited cardiac reserve ,,test
375,Kinlytic,UROKINASE,UROKINASE,,sp,ambiguous,infusion reactions:n tachycardia ,mild,train
376,Bamlanivimab,BAMLANIVIMAB,Bamlanivimab,Arrhythmia,wp,less,arrhythmia,mild,train
377,RadioGenix System,TECHNETIUM TC 99M GENERATOR,TECHNETIUM TC-99M SODIUM PERTECHNETATE,,no,no,,,test
378,TEMODAR,TEMOZOLOMIDE,Temozolomide,,no,no,,,train
379,Briviact,BRIVARACETAM,brivaracetam,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
380,SIVEXTRO,TEDIZOLID PHOSPHATE,tedizolid phosphate,Arrhythmia,ar,less,tachycardia,mild,train
381,Baxdela,DELAFLOXACIN MEGLUMINE,delafloxacin meglumine,Mixed,ar,less,sinus tachycardia/ hypertension,moderate,train
382,NOXAFIL,POSACONAZOLE,POSACONAZOLE; posaconazole,Arrhythmia,wp,most,torsades de pointes,severe,test
383,UPTRAVI; UPTRAVI Titration Pack,SELEXIPAG,SELEXIPAG,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
384,Vimpat,LACOSAMIDE,LACOSAMIDE,Arrhythmia,wp,most,Ventricular Tachyarrhythmia,severe,train
385,PREVYMIS,LETERMOVIR,LETERMOVIR,Arrhythmia,ar,less,"tachycardia, atrial fibrillation",mild,test
386,NUZYRA,OMADACYCLINE,omadacycline,Mixed,ar,less,tachycardia/Hypertension,mild,test
387,Trovan,TROVAFLOXACIN MESYLATE,trovafloxacin mesylate,Heart Damage,wp,most,Life-threatening hypotension,severe,train
388,Kit for the Prepartion of Technetium Tc99m Sulfur Colloid,TECHNETIUM TC 99M SULFUR COLLOID,TECHNETIUM TC-99M SULFUR COLLOID,Mixed,ar,less,hypotension/fatal cardiopulmonary arrest,severe,train
389,Heparin Sodium,HEPARIN SODIUM,HEPARIN SODIUM,,no,no,,,test
390,VELCADE,BORTEZOMIB,bortezomib,Mixed,wp,most,congestive heart failure/QT-interval prolongation,severe,train
391,AZACITIDINE,AZACITIDINE,AZACITIDINE,Mixed,ar,less,cardiac failure/ cardio respiratory arrest,severe,train
392,Octreotide Acetate,OCTREOTIDE ACETATE,OCTREOTIDE ACETATE,Arrhythmia,wp,most,higher degree atrioventricular blocks,severe,train
393,RIMSO-50,DIMETHYL SULFOXIDE,Dimethyl Sulfoxide,,no,no,,,test
394,Cysview,HEXAMINOLEVULINATE HYDROCHLORIDE,HEXAMINOLEVULINATE HYDROCHLORIDE,,no,no,,,test
395,Cystografin Dilute,DIATRIZOATE MEGLUMINE,diatrizoate meglumine,,no,no,,,train
396,Valstar,VALRUBICIN,VALRUBICIN,,no,no,,,train
397,CRESEMBA,ISAVUCONAZONIUM SULFATE,ISAVUCONAZONIUM SULFATE,Arrhythmia,ar,less,supraventricular tachycardia,mild,test
398,Aptivus,TIPRANAVIR,TIPRANAVIR,,no,no,"tachycardia, ventricular extrasystoles, cardiac arrest",,test
399,Metopirone,METYRAPONE,METYRAPONE,Heart Damage,ar,less,Hypotension,mild,train
400,Ravicti,GLYCEROL PHENYLBUTYRATE,GLYCEROL PHENYLBUTYRATE,,CLINICAL PHARMACOLOGY,no,QTcI) for RAVICTI was below 10 ms,,train
401,OPSUMIT,MACITENTAN,macitentan,Heart Damage,ar,less,hypotension,mild,test
402,ONGLYZA,SAXAGLIPTIN,saxagliptin hydrochloride,Heart Damage,wp,most, heart failure,severe,test
403,DIFICID; Dificid,FIDAXOMICIN,FIDAXOMICIN,,no,no,,,train
404,Wakix,PITOLISANT HYDROCHLORIDE,PITOLISANT HYDROCHLORIDE,Arrhythmia,wp,most,QT Interval Prolongation,moderate,train
405,Xadago,SAFINAMIDE MESYLATE,SAFINAMIDE MESYLATE,Heart Damage,wp,less,hypertension,mild,test
406,Turalio,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,Heart Damage,ar,less,Hypertension,mild,test
407,CAPRELSA,VANDETANIB,VANDETANIB,Mixed,bw,most,prolong the QT interval/Heart failure,severe,train
408,Zydelig,IDELALISIB,IDELALISIB,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
409,Benznidazole,BENZNIDAZOLE,BENZNIDAZOLE,,no,no,,,test
410,Dipentum,OLSALAZINE SODIUM,OLSALAZINE SODIUM,Mixed,ar,less,myocarditis,severe,test
411,PEMAZYRE,PEMIGATINIB,PEMIGATINIB,,sp,ambiguous,patients with electrocardiogram QT prolonged,,train
412,Isturisa,OSILODROSTAT,OSILODROSTAT PHOSPHATE,Arrhythmia,wp,most,QT interval prolongation,moderate,train
413,Prograf,TACROLIMUS,anhydrous tacrolimus,Heart Damage,wp,less,Myocardial Hypertrophy,mild,test
414,ONGENTYS,OPICAPONE,OPICAPONE,Heart Damage,wp,less,hypotension,mild,test
415,Priftin,RIFAPENTINE,RIFAPENTINE,Mixed,ar,less,tachycardia/pericarditis,mild,train
416,Matulane,PROCARBAZINE HYDROCHLORIDE,PROCARBAZINE HYDROCHLORIDE,Mixed,ar,less,Hypotension/tachycardia,mild,test
417,Katerzia,AMLODIPINE,Amlodipine Benzoate,Heart Damage,wp,most,acute myocardial infarction,severe,test
418,FACTIVE,GEMIFLOXACIN MESYLATE,GEMIFLOXACIN MESYLATE,Arrhythmia,wp,most,prolong the QT interval,severe,test
419,Juxtapid,LOMITAPIDE MESYLATE,LOMITAPIDE MESYLATE,Mixed,ar,less,Angina pectoris/Palpitations ,moderate,train
420,Dibenzyline,PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE,,sp,ambiguous,tachycardia(Drug Interactions),,train
421,NUBEQA,DAROLUTAMIDE,DAROLUTAMIDE,Mixed,ar,less,cardiac failure/arrest,severe,train
422,Lynparza,OLAPARIB,OLAPARIB,,no,no,,,test
423,Sovaldi,SOFOSBUVIR,SOFOSBUVIR,,sp,ambiguous,"requiring pacemaker
intervention(Coadministered with Amiodarone)",,train
424,Edarbi,AZILSARTAN KAMEDOXOMIL,Azilsartan kamedoxomil,,sp,ambiguous,Hypotens ionin Volume- or Salt-Depleted Patients,,train
425,PYtest,"UREA, C-14",Urea C-14,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,train
426,Pranactin-Citric,UREA C-13,UREA C-13,,no,no,,,train
427,Odomzo,SONIDEGIB,SONIDEGIB PHOSPHATE,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
428,TEPMETKO,TEPOTINIB HYDROCHLORIDE,Tepotinib Hydrochloride,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
429,Keveyis,DICHLORPHENAMIDE,DICHLORPHENAMIDE,Heart Damage,ar,less,cardiac failure,severe,train
430,Fanapt,ILOPERIDONE,ILOPERIDONE,Mixed,wp,most,QTc prolongation/hypotension,moderate,train
431,Agrylin,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE ANHYDROUS,Mixed,wp,most,increases the QTc interval /Hypertension,mild,test
432,Livmarli,MARALIXIBAT CHLORIDE,maralixibat chloride,,no,no,,,train
433,Lucemyra,LOFEXIDINE HYDROCHLORIDE,LOFEXIDINE HYDROCHLORIDE,Mixed,wp,most,prolongs the QT interval/hypotension,severe,test
434,SYMPROIC,NALDEMEDINE,naldemedine tosylate,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
435,Otezla,APREMILAST,APREMILAST,,no,no,,,train
436,Invirase,SAQUINAVIR MESYLATE,SAQUINAVIR MESYLATE,Mixed,wp,most, Torsade de pointes,severe,test
437,Inrebic,FEDRATINIB HYDROCHLORIDE,FEDRATINIB HYDROCHLORIDE,Heart Damage,wp,most,myocardial infarction,severe,test
