Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,021673,Clolar,CLOFARABINE,2023/11/15,Nucleoside Metabolic Inhibitor,2004,SANOFI AVENTIS U S LLC,2013/04/01-,0024-5860,762RDY0Y2H,CLOFARABINE,CLOFARABINE,762RDY0Y2H,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/55d3c78b-dca5-436b-97b5-73d166217415/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=55d3c78b-dca5-436b-97b5-73d166217415,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=55d3c78b-dca5-436b-97b5-73d166217415,55d3c78b-dca5-436b-97b5-73d166217415,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,019906,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,2023/12/07,Tricyclic Antidepressant,,SPECGX LLC,2015/06/01-,0406-8806; 0406-8807; 0406-8808,2LXW0L6GWJ,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE,NUV44L116D,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d7cee3fa-d05c-4702-8f75-f446627bdb49/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d7cee3fa-d05c-4702-8f75-f446627bdb49,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d7cee3fa-d05c-4702-8f75-f446627bdb49,d7cee3fa-d05c-4702-8f75-f446627bdb49,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,019906,ANAFRANIL,CLOMIPRAMINE HYDROCHLORIDE,2023/11/29,Tricyclic Antidepressant,,SPECGX LLC,1989/12/29-,0406-9906; 0406-9907; 0406-9908,2LXW0L6GWJ,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE,NUV44L116D,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4074b555-7635-41a9-809d-fae3b3610059/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4074b555-7635-41a9-809d-fae3b3610059,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4074b555-7635-41a9-809d-fae3b3610059,4074b555-7635-41a9-809d-fae3b3610059,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,017533,Klonopin,CLONAZEPAM,2023/12/07,Benzodiazepine,,H PHARMA LLC,1975/06/02-,61269-605; 61269-610; 61269-620,5PE9FDE8GB,CLONAZEPAM,CLONAZEPAM,5PE9FDE8GB,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/cfa0d79a-843c-4b88-95a1-e9511d649ca1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cfa0d79a-843c-4b88-95a1-e9511d649ca1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cfa0d79a-843c-4b88-95a1-e9511d649ca1,cfa0d79a-843c-4b88-95a1-e9511d649ca1,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",EPIDURAL,NDA,020615,Duraclon,CLONIDINE HYDROCHLORIDE,2021/03/17,Central alpha-2 Adrenergic Agonist,,MYLAN INSTITUTIONAL LLC,1997/01/26-,67457-218,W76I6XXF06,CLONIDINE HYDROCHLORIDE,CLONIDINE,MN3L5RMN02,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/8c126bb8-732a-4949-8754-2f50b5543638/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8c126bb8-732a-4949-8754-2f50b5543638,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8c126bb8-732a-4949-8754-2f50b5543638,8c126bb8-732a-4949-8754-2f50b5543638,,,
HUMAN PRESCRIPTION DRUG LABEL,PATCH,TRANSDERMAL,NDA,018891,"Clonidine Transdermal System USP, 0.1 mg/day; Clonidine Transdermal System USP, 0.2 mg/day; Clonidine Transdermal System USP, 0.3 mg/day",CLONIDINE TRANSDERMAL SYSTEM,2023/06/30,Central alpha-2 Adrenergic Agonist,,TRUPHARMA LLC,2023/06/30-,52817-610; 52817-611; 52817-612,MN3L5RMN02,CLONIDINE,CLONIDINE,MN3L5RMN02,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/05d520bf-3ab7-4337-9f38-4418e5e7e1e9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=05d520bf-3ab7-4337-9f38-4418e5e7e1e9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=05d520bf-3ab7-4337-9f38-4418e5e7e1e9,05d520bf-3ab7-4337-9f38-4418e5e7e1e9,,,
HUMAN PRESCRIPTION DRUG LABEL,PATCH,TRANSDERMAL,NDA,018891,Catapres-TTS-1; Catapres-TTS-2; Catapres-TTS-3,CLONIDINE TRANSDERMAL SYSTEM,2023/03/25,Central alpha-2 Adrenergic Agonist,,TECHNOMED INC,completed:2022/03/01-2026/10/30,82089-101; 82089-102; 82089-103,MN3L5RMN02,CLONIDINE,CLONIDINE,MN3L5RMN02,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d4a55825-7041-42f4-b3b2-dd7a25dbe793/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4a55825-7041-42f4-b3b2-dd7a25dbe793,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d4a55825-7041-42f4-b3b2-dd7a25dbe793,d4a55825-7041-42f4-b3b2-dd7a25dbe793,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,020839,Plavix,CLOPIDOGREL,2022/09/22,P2Y12 Platelet Inhibitor,1997,SANOFI AVENTIS U S LLC,1997/11/17-; 2009/05/09-,0024-1171; 0024-1332,08I79HTP27,CLOPIDOGREL BISULFATE,CLOPIDOGREL,A74586SNO7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/de8b0b67-eb25-4684-83b5-7ad785314227/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=de8b0b67-eb25-4684-83b5-7ad785314227,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=de8b0b67-eb25-4684-83b5-7ad785314227,de8b0b67-eb25-4684-83b5-7ad785314227,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,019758,Clozaril,CLOZAPINE,2023/05/23,Atypical Antipsychotic,1989,HLS THERAPEUTICS USA INC,2016/05/06-; 2019/12/17-,69809-0126; 69809-0127; 69809-0130; 69809-0135,J60AR2IKIC,CLOZAPINE,CLOZAPINE,J60AR2IKIC,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/90876802-0e3a-44c9-9ff7-1754dfbe736a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=90876802-0e3a-44c9-9ff7-1754dfbe736a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=90876802-0e3a-44c9-9ff7-1754dfbe736a,90876802-0e3a-44c9-9ff7-1754dfbe736a,,,
HUMAN PRESCRIPTION DRUG LABEL,SUSPENSION,ORAL,NDA,203479,VERSACLOZ,CLOZAPINE,2023/03/24,Atypical Antipsychotic,1989,TRUPHARMA LLC,2018/06/15-,52817-601,J60AR2IKIC,CLOZAPINE,CLOZAPINE,J60AR2IKIC,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/2592c9a8-fd74-4e0d-a895-b07b014cf355/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2592c9a8-fd74-4e0d-a895-b07b014cf355,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2592c9a8-fd74-4e0d-a895-b07b014cf355,2592c9a8-fd74-4e0d-a895-b07b014cf355,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,203094,Tybost,COBICISTAT,2021/09/15,Cytochrome P450 3A Inhibitor,2012,GILEAD SCIENCES INC,2014/09/24-,61958-1401,LW2E03M5PG,COBICISTAT,COBICISTAT,LW2E03M5PG,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/3784c35c-e87f-410c-900b-8fd6313c6010/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3784c35c-e87f-410c-900b-8fd6313c6010,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3784c35c-e87f-410c-900b-8fd6313c6010,3784c35c-e87f-410c-900b-8fd6313c6010,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,206192,Cotellic,COBIMETINIB,2023/06/09,Kinase Inhibitor,2015,GENENTECH INC,2015/11/10-,50242-717,6EXI96H8SV,COBIMETINIB FUMARATE,COBIMETINIB,ER29L26N1X,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/c387579e-cee0-4334-bd1e-73f93ac1bde6/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c387579e-cee0-4334-bd1e-73f93ac1bde6,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c387579e-cee0-4334-bd1e-73f93ac1bde6,c387579e-cee0-4334-bd1e-73f93ac1bde6,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,NASAL,NDA,209963,GOPRELTO,COCAINE HYDROCHLORIDE,2023/08/08,,2017,GENUS LIFESCIENCES INC,2018/01/08-,64950-359,XH8T8T6WZH,cocaine hydrochloride,cocaine,I5Y540LHVR,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/689750b7-8e51-47d9-a428-078f3f6c9dec/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=689750b7-8e51-47d9-a428-078f3f6c9dec,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=689750b7-8e51-47d9-a428-078f3f6c9dec,689750b7-8e51-47d9-a428-078f3f6c9dec,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,022402,Codeine sulfate,CODEINE SULFATE,2023/12/15,Opioid Agonist,1950,HIKMA PHARMACEUTICALS USA INC,2009/07/16-,0054-0243; 0054-0244; 0054-0245,11QV9BS0CB,CODEINE SULFATE,CODEINE ANHYDROUS,UX6OWY2V7J,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/010905f9-3bcb-4b50-9fe8-a3ad0010f14c/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=010905f9-3bcb-4b50-9fe8-a3ad0010f14c,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=010905f9-3bcb-4b50-9fe8-a3ad0010f14c,010905f9-3bcb-4b50-9fe8-a3ad0010f14c,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,204820,Colchicine,COLCHICINE,2024/05/22,Alkaloid,1961,HIKMA PHARMACEUTICALS USA INC,2014/10/01-,0143-3018,SML2Y3J35T,COLCHICINE,COLCHICINE,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ee1583ac-c308-4beb-b602-9ecac4977026/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ee1583ac-c308-4beb-b602-9ecac4977026,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ee1583ac-c308-4beb-b602-9ecac4977026,ee1583ac-c308-4beb-b602-9ecac4977026,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,204820,MITIGARE,COLCHICINE,2024/05/16,Alkaloid,1961,HIKMA SPECIALTY USA INC,2014/10/01-,59467-318,SML2Y3J35T,COLCHICINE,COLCHICINE,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/cb5f9d85-6b81-49f8-bcd6-17b7bfbc10f2/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cb5f9d85-6b81-49f8-bcd6-17b7bfbc10f2,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cb5f9d85-6b81-49f8-bcd6-17b7bfbc10f2,cb5f9d85-6b81-49f8-bcd6-17b7bfbc10f2,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,022352,Colcrys,COLCHICINE,2023/12/29,Alkaloid,1961,TAKEDA PHARMACEUTICALS AMERICA INC,2009/09/01-,64764-119,SML2Y3J35T,Colchicine,Colchicine,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/56c130d1-7581-4152-99a2-0014ee9366c0/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56c130d1-7581-4152-99a2-0014ee9366c0,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=56c130d1-7581-4152-99a2-0014ee9366c0,56c130d1-7581-4152-99a2-0014ee9366c0,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,ORAL,NDA,210942,Gloperba,COLCHICINE,2023/12/28,Alkaloid,1961,SCILEX PHARMACEUTICALS INC,2024/01/31-,69557-222,SML2Y3J35T,Colchicine,Colchicine,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/467cd83f-d695-4040-9434-10e80b4271da/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=467cd83f-d695-4040-9434-10e80b4271da,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=467cd83f-d695-4040-9434-10e80b4271da,467cd83f-d695-4040-9434-10e80b4271da,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,ORAL,NDA,210942,Gloperba,COLCHICINE,2019/02/05,Alkaloid,1961,ROMEG THERAPEUTICS LLC,2019/08/01-,72690-010,SML2Y3J35T,COLCHICINE,COLCHICINE,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6971137c-deef-4309-909e-552f1930999d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6971137c-deef-4309-909e-552f1930999d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6971137c-deef-4309-909e-552f1930999d,6971137c-deef-4309-909e-552f1930999d,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,022352,Colcrys,COLCHICINE,2012/03/15,Alkaloid,1961,AR SCIENTIFIC INC,2009/09/01-,13310-119,SML2Y3J35T,Colchicine,Colchicine,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/5ecaa34e-1bed-49a5-b97c-a8f8c0d885a7/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5ecaa34e-1bed-49a5-b97c-a8f8c0d885a7,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5ecaa34e-1bed-49a5-b97c-a8f8c0d885a7,5ecaa34e-1bed-49a5-b97c-a8f8c0d885a7,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,215727,LODOCO,COLCHICINE TABLETS 0.5 MG,2023/08/24,Alkaloid,,AGEPHA PHARMA USA LLC,2023/06/16-,82867-001,SML2Y3J35T,COLCHICINE,COLCHICINE,SML2Y3J35T,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ff06d68f-d65f-d097-e053-6294a90a7e5f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ff06d68f-d65f-d097-e053-6294a90a7e5f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ff06d68f-d65f-d097-e053-6294a90a7e5f,ff06d68f-d65f-d097-e053-6294a90a7e5f,,,
HUMAN PRESCRIPTION DRUG LABEL,"FOR SUSPENSION; TABLET, FILM COATED",ORAL,NDA,021176;022362,COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,2022/09/12,Bile Acid Sequestrant,2000,COSETTE PHARMACEUTICALS INC,2022/08/01-,0713-0935; 0713-0936,P4SG24WI5Q,COLESEVELAM HYDROCHLORIDE,COLESEVELAM,1XU104G55N,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/15ceb7db-ef59-4182-99b6-09b6c3c5430a/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=15ceb7db-ef59-4182-99b6-09b6c3c5430a,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=15ceb7db-ef59-4182-99b6-09b6c3c5430a,15ceb7db-ef59-4182-99b6-09b6c3c5430a,,,
HUMAN PRESCRIPTION DRUG LABEL,"FOR SUSPENSION; TABLET, FILM COATED",ORAL,NDA,021176;022362,Welchol,COLESEVELAM HYDROCHLORIDE,2022/09/07,Bile Acid Sequestrant,2000,COSETTE PHARMACEUTICALS INC,2022/09/01-,0713-0879; 0713-0880,P4SG24WI5Q,COLESEVELAM HYDROCHLORIDE,COLESEVELAM,1XU104G55N,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/89cbd0a3-2d1b-41db-8c97-35ec67b7b09f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=89cbd0a3-2d1b-41db-8c97-35ec67b7b09f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=89cbd0a3-2d1b-41db-8c97-35ec67b7b09f,89cbd0a3-2d1b-41db-8c97-35ec67b7b09f,,,
HUMAN PRESCRIPTION DRUG LABEL,"BAR, CHEWABLE; FOR SUSPENSION; TABLET, FILM COATED",ORAL,NDA,021176;022362;210895,Welchol,COLESEVELAM HYDROCHLORIDE,2022/06/10,Bile Acid Sequestrant,2000,DAIICHI SANKYO INC,completed:2000/09/01-2025/09/30; completed:2010/01/01-2019/01/16; completed:2010/01/01-2026/02/28; completed:2019/04/04-2019/04/04,65597-208; 65597-209; 65597-210; 65597-701; 65597-902; 65597-903,P4SG24WI5Q,COLESEVELAM HYDROCHLORIDE,COLESEVELAM,1XU104G55N,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4a06d3b2-7229-4398-baba-5d0a72f63821/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4a06d3b2-7229-4398-baba-5d0a72f63821,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4a06d3b2-7229-4398-baba-5d0a72f63821,4a06d3b2-7229-4398-baba-5d0a72f63821,,,
HUMAN PRESCRIPTION DRUG LABEL,"GRANULE, FOR SUSPENSION",ORAL,NDA,017563,Colestid; Flavored Colestid,COLESTIPOL HYDROCHLORIDE,2023/11/29,Bile Acid Sequestrant,,PHARMACIA AND UPJOHN COMPANY LLC,1977/06/01-; completed:1977/06/01-2024/04/30,0009-0260; 0009-0370,X7D10K905G,COLESTIPOL HYDROCHLORIDE,COLESTIPOL,K50N755924,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/21b37725-fc0c-4365-a7dc-1a473d42502d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=21b37725-fc0c-4365-a7dc-1a473d42502d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=21b37725-fc0c-4365-a7dc-1a473d42502d,21b37725-fc0c-4365-a7dc-1a473d42502d,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,020222,Colestid,COLESTIPOL HYDROCHLORIDE,2023/08/30,Bile Acid Sequestrant,,PHARMACIA AND UPJOHN COMPANY LLC,1994/07/19-,0009-0450,X7D10K905G,COLESTIPOL HYDROCHLORIDE,COLESTIPOL,K50N755924,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/3e270911-f27b-44d4-b0a2-33506418cc1d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3e270911-f27b-44d4-b0a2-33506418cc1d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3e270911-f27b-44d4-b0a2-33506418cc1d,3e270911-f27b-44d4-b0a2-33506418cc1d,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,NDA,050108,Coly-Mycin M,COLISTIMETHATE,2018/12/03,Polymyxin-class Antibacterial,,PAR PHARMACEUTICAL INC,2007/11/01-,42023-107,XW0E5YS77G,COLISTIMETHATE SODIUM,COLISTIMETHATE,DL2R53P963,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6d6e13e2-dc33-4b7b-84d0-66146a57c552/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6d6e13e2-dc33-4b7b-84d0-66146a57c552,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6d6e13e2-dc33-4b7b-84d0-66146a57c552,6d6e13e2-dc33-4b7b-84d0-66146a57c552,,,
HUMAN PRESCRIPTION DRUG LABEL,SUSPENSION,AURICULAR (OTIC),NDA,050356,Cortisporin TC,"COLISTIN SULFATE, NEOMYCIN SULFATE, THONZONIUM BROMIDE AND HYDROCORTISONE ACETATE",2019/01/15,Aminoglycoside Antibacterial; Corticosteroid,,ENDO PHARMACEUTICALS INC,2019/06/03-,63481-529,057Y626693; 3X7931PO74; JI2B19CR0R; WP15DXU577,COLISTIN SULFATE; HYDROCORTISONE ACETATE; NEOMYCIN SULFATE; THONZONIUM BROMIDE,COLISTIN; HYDROCORTISONE; NEOMYCIN; THONZONIUM,I16QD7X297; WI4X0X7BPJ; Z05ZE98FV8; Z67X93HJG1,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9c6fc1c7-3350-42ae-b999-aca48e704bb1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9c6fc1c7-3350-42ae-b999-aca48e704bb1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9c6fc1c7-3350-42ae-b999-aca48e704bb1,9c6fc1c7-3350-42ae-b999-aca48e704bb1,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,VAGINAL,NDA,020216,Premarin Vaginal,CONJUGATED ESTROGENS,2024/02/28,Estrogen,1946,WYETH PHARMACEUTICALS LLC A SUBSIDIARY OF PFIZER INC,1978/11/01-,0046-0872,IU5QR144QX,"ESTROGENS, CONJUGATED","ESTROGENS, CONJUGATED",IU5QR144QX,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/96609623-528e-4aba-cabe-7254aed816d5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=96609623-528e-4aba-cabe-7254aed816d5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=96609623-528e-4aba-cabe-7254aed816d5,96609623-528e-4aba-cabe-7254aed816d5,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA,010402,Premarin,CONJUGATED ESTROGENS,2024/02/28,Estrogen,,WYETH PHARMACEUTICALS LLC A SUBSIDIARY OF PFIZER INC,1956/12/01-,0046-0749,IU5QR144QX,"ESTROGENS, CONJUGATED","ESTROGENS, CONJUGATED",IU5QR144QX,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/87e2da8d-432c-4ed5-67a1-dc26294b2295/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=87e2da8d-432c-4ed5-67a1-dc26294b2295,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=87e2da8d-432c-4ed5-67a1-dc26294b2295,87e2da8d-432c-4ed5-67a1-dc26294b2295,,,
HUMAN PRESCRIPTION DRUG LABEL,"KIT; TABLET, SUGAR COATED",ORAL,NDA,020527,Premphase; Prempro,CONJUGATED ESTROGENS AND MEDROXYPROGESTERONE ACETATE,2024/02/20,Estrogen; Progestin,1995,WYETH PHARMACEUTICALS LLC A SUBSIDIARY OF PFIZER INC,2009/09/21-; 2012/03/01-; 2012/12/03-,0046-1105; 0046-1106; 0046-1107; 0046-1108; 0046-2575,C2QI4IOI2G; IU5QR144QX,"ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE",HSU1C9YRES; IU5QR144QX,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/fd0c0836-5d23-2183-da81-9dc7f4287052/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd0c0836-5d23-2183-da81-9dc7f4287052,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fd0c0836-5d23-2183-da81-9dc7f4287052,fd0c0836-5d23-2183-da81-9dc7f4287052,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,022247,Duavee,CONJUGATED ESTROGENS/BAZEDOXIFENE,2024/03/13,Estrogen; Estrogen Agonist/Antagonist,2013,WYETH PHARMACEUTICALS LLC A SUBSIDIARY OF PFIZER INC,2013/10/03-,0008-1123,IU5QR144QX; J70472UD3D,"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","BAZEDOXIFENE; ESTROGENS, CONJUGATED",IU5QR144QX; Q16TT9C5BK,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e1b75458-2e5b-46b9-92c6-fa6daba3770f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e1b75458-2e5b-46b9-92c6-fa6daba3770f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e1b75458-2e5b-46b9-92c6-fa6daba3770f,e1b75458-2e5b-46b9-92c6-fa6daba3770f,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,022247,Duavee,CONJUGATED ESTROGENS/BAZEDOXIFENE,2023/11/01,Estrogen; Estrogen Agonist/Antagonist,2013,U S PHARMACEUTICALS,2013/11/15-,63539-122,IU5QR144QX; J70472UD3D,"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","BAZEDOXIFENE; ESTROGENS, CONJUGATED",IU5QR144QX; Q16TT9C5BK,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e16705d8-4472-4f83-96ac-69fa2be066cb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e16705d8-4472-4f83-96ac-69fa2be066cb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e16705d8-4472-4f83-96ac-69fa2be066cb,e16705d8-4472-4f83-96ac-69fa2be066cb,,,
